SPK_SPKC04a (inhibited),SPK_SPKC16a (short excitation)
63.914675,43.951225
63.976575,43.96195
64.105275,43.9711
64.1759,43.996525
64.253225,44.015025
64.268875,44.046825
64.314125,44.0624
64.329425,44.1165
64.35475,44.14715
64.410875,44.168625
64.453575,44.2099
64.48055,44.273075
64.522375,44.313925
64.545125,44.338775
64.562475,44.36505
64.5739,44.382675
64.5972,44.401425
64.62295,44.43365
64.658,44.46035
64.675275,44.56045
64.705825,44.576575
64.728625,44.6212
64.752125,44.642525
64.76805,44.681425
64.8003,44.707825
64.828225,44.73145
64.8548,44.75345
64.969075,44.7699
64.9972,44.7892
65.050825,44.794475
65.0732,44.861125
65.098375,44.890375
65.129875,44.90795
65.156675,44.943525
65.1747,45.0001
65.222425,45.023325
65.242325,45.054325
65.26285,45.086275
65.297325,45.118425
65.31215,45.186775
65.343275,45.239425
65.36015,45.276
65.43665,45.326475
65.532825,45.35635
65.56345,45.394825
65.5879,45.418725
65.607525,45.431125
65.64165,45.44325
65.677625,45.51675
65.7894,45.53335
65.822675,45.5785
65.843775,45.622925
65.85815,45.642025
65.872575,45.671225
66.005225,45.6979
66.032075,45.722675
66.06175,45.757825
66.139175,45.784325
66.15925,45.79735
66.1861,45.839525
66.214225,45.853775
66.2503,45.864
66.278575,45.874875
66.30125,45.8867
66.321275,45.920675
66.36665,45.931375
66.401,45.9515
66.447675,45.96255
66.48865,45.990575
66.5053,46.051275
66.5194,46.0883
66.643225,46.103725
66.67715,46.121875
66.71065,46.1612
66.7482,46.170025
66.80485,46.17925
66.823725,46.1961
66.8657,46.23555
66.8867,46.249025
66.921275,46.2593
66.936375,46.32265
66.9599,46.3353
67.001775,46.362025
67.020725,46.391125
67.04535,46.427775
67.06665,46.44495
67.10025,46.49985
67.131975,46.51535
67.156625,46.558475
67.18835,46.6143
67.206425,46.663325
67.26135,46.680425
67.28475,46.700525
67.307425,46.713525
67.341075,46.726325
67.367825,46.735575
67.457725,46.747025
67.526375,46.7763
67.536075,46.8026
67.5671,46.836825
67.611775,46.847975
67.625175,46.862775
67.659825,46.87095
67.678625,46.88635
67.718625,46.91485
67.730325,46.924625
67.743325,46.938175
67.7756,46.95915
67.800525,46.981825
67.8874,47.06695
67.983025,47.100175
68.0023,47.1219
68.043125,47.137575
68.095,47.147575
68.108225,47.16965
68.132825,47.181475
68.1455,47.19595
68.171975,47.201225
68.197425,47.210075
68.258425,47.22005
68.320925,47.256125
68.398175,47.2813
68.4178,47.331375
68.44595,47.40135
68.500325,47.417475
68.717475,47.45525
68.74545,47.50685
68.800525,47.5408
68.909275,47.58555
68.9353,47.603225
68.9642,47.69555
69.05675,47.75335
69.0921,47.791225
69.117025,47.8206
69.22395,47.8315
69.2536,47.959225
69.282025,47.9989
69.31705,48.01345
69.347375,48.03105
69.359125,48.0353
69.397225,48.05755
69.41335,48.0854
69.437225,48.096225
69.474375,48.1145
69.499675,48.13515
69.56865,48.16355
69.639025,48.18755
69.6615,48.20625
69.75765,48.353125
69.8156,48.411875
69.842575,48.530875
69.869975,48.56645
69.95945,48.598125
69.9984,48.631925
70.029525,48.678225
70.05225,48.70035
70.087925,48.759
70.147425,48.770325
70.18845,48.78615
70.30805,48.801375
70.338425,48.826825
70.420025,48.8507
70.4827,48.894025
70.51595,48.9172
70.555125,48.949925
70.6053,49.0048
70.630725,49.026175
70.715825,49.045875
70.735175,49.058275
70.82665,49.0656
70.91755,49.07775
70.976075,49.091625
70.993875,49.095425
71.01435,49.10275
71.11425,49.140925
71.13595,49.16705
71.241175,49.193325
71.274925,49.204925
71.312975,49.230875
71.37075,49.325225
71.390625,49.3601
71.410875,49.375625
71.501825,49.415525
71.544675,49.4328
71.571575,49.510375
71.613275,49.6201
71.632675,49.6481
71.651675,49.74575
