SPK_SPKC03a (inhibited),SPK_SPKC07b (inhibited),SPK_SPKC08b (no effect),SPK_SPKC08c (excited),SPK_SPKC10a (weak inhibition)
8.475425,134.97785,24.46505,34.20965,10.928825
8.4979,135.018975,24.507125,34.37165,10.945
8.5131,135.4369,24.53355,34.466525,10.956175
8.524275,135.487475,24.5511,34.524375,10.97145
8.53815,135.7653,24.573625,34.576875,10.982975
8.5618,136.01,24.6194,34.5814,10.9945
8.5677,136.202525,24.681775,34.6955,11.003225
8.5872,136.223525,24.717825,34.73915,11.016025
8.607275,136.29925,24.737575,34.777725,11.026725
8.615975,136.34045,24.7569,34.80035,11.038475
8.65,136.459525,24.790075,34.83075,11.051275
8.669,136.48565,24.835875,34.84795,11.0652
8.680725,136.567025,24.940375,34.867775,11.096625
8.6972,136.85725,25.000075,34.9738,11.11175
8.7093,136.9083,25.0425,34.9902,11.136625
8.72895,136.921725,25.1025,35.124375,11.169025
8.73765,137.138975,25.150675,35.136925,11.188925
8.76105,137.38075,25.219025,35.148925,11.220725
8.769625,137.4381,25.26065,35.190175,11.232275
