SPK_SPKC01a (no response),SPK_SPKC03a (late inhi?),SPK_SPKC10a (inhi),SPK_SPKC12a (inhi)
462.999925,419.763425,430.8136,462.278425
463.011425,419.7899,430.84215,462.3447
463.05645,419.810725,430.933275,462.42
463.09605,419.829025,430.99605,462.495375
463.762325,419.858275,431.035475,462.5498
463.799225,419.88855,431.166375,462.787275
464.401375,419.9223,431.209475,462.851625
464.480625,419.95575,431.269075,462.944925
465.505725,420.001375,431.3074,462.97715
465.595125,420.035125,431.33975,463.007675
465.628625,420.074575,431.429875,463.07015
465.6801,420.102325,431.474575,463.154525
466.046075,420.1221,431.549775,463.16575
466.060425,420.147575,431.603775,463.199575
466.09605,420.1638,431.6373,463.2691
466.100775,420.176725,431.661725,463.4066
466.1083,420.1904,431.699925,463.4436
466.11665,420.1992,431.7804,463.4897
466.139475,420.21205,431.853775,463.5999
466.1544,420.225075,431.8878,463.629575
466.190275,420.237275,431.912075,463.650075
466.2027,420.24675,431.9913,463.68135
466.244775,420.25835,432.022075,463.750875
466.260575,420.27125,432.10185,463.803925
466.270875,420.281,432.135325,463.8538
466.6168,420.291675,432.1999,463.933775
466.823625,420.3147,432.242725,464.195025
466.85575,420.331875,432.282925,464.21795
466.8632,420.354225,432.4278,464.3758
466.889275,420.385375,432.454375,464.42115
466.913975,420.4071,432.4855,464.4632
466.923875,420.43225,432.5382,464.567625
466.933925,420.463725,432.5765,464.692775
466.961675,420.4917,432.67705,464.7224
467.31515,420.5148,432.6797,464.993
467.362075,420.53825,432.78715,465.019775
467.441375,420.5607,432.8831,465.11925
467.457375,420.58485,432.91315,465.1447
467.46805,420.601325,432.940725,465.41805
467.496675,420.6191,432.980125,465.6454
467.5352,420.791625,433.0034,465.6731
467.5907,420.819925,433.101625,465.7051
467.60345,420.86395,433.166075,465.818275
467.777175,420.898225,433.20325,466.061075
467.8037,420.92985,433.2387,466.119725
467.888325,420.960425,433.27595,466.143575
467.91955,420.997075,433.310525,466.2228
468.948875,421.048625,433.36025,466.24685
470.038325,421.073,433.39025,466.267625
470.5503,421.10225,433.44435,466.3175
470.85805,421.135225,433.4912,466.497125
470.93595,421.1882,433.545075,466.51365
470.958575,421.224825,433.569025,466.62785
471.3451,421.2543,433.6106,466.675425
471.5415,421.2959,433.67755,466.85995
471.639475,421.3256,433.78355,467.2104
472.322125,421.355225,433.916625,467.52345
472.3694,421.3807,433.94755,467.5614
472.392375,421.40515,434.02225,467.965675
472.4258,421.45135,434.121175,468.127325
472.4639,421.488325,434.2114,468.1825
472.509725,421.513275,434.252425,468.33285
472.5316,421.544975,434.304075,468.4334
