SPK_SPKC01a (excited),SPK_SPKC08b (excited),SPK_SPKC09a (excited),SPK_SPKC11a (no effect)
27.168775,199.469375,13.358375,248.117325
27.185725,199.8476,13.395275,269.4627
27.21065,200.089225,13.417575,269.731875
27.271075,200.2806,13.44665,270.4565
27.2914,200.80545,13.4661,270.46985
27.32865,201.29365,13.48715,270.50045
27.340525,201.33375,13.521225,270.70845
27.38035,201.6929,13.557025,270.781325
27.3985,201.83885,13.59045,270.837175
27.42555,202.183175,13.6183,271.085375
27.4593,203.014775,13.64615,271.127775
27.52445,203.04375,13.657625,271.18545
27.5399,203.770625,13.677325,271.37185
27.555075,204.86935,13.69605,271.6873
27.569425,205.11365,13.752,272.11505
27.584775,205.5176,13.78765,272.1979
27.607925,205.539425,13.813375,272.298975
27.631425,205.548125,13.8282,272.335225
27.63685,205.69045,13.839325,272.4
27.64495,205.773875,13.872425,272.764925
27.65115,205.9913,13.897275,272.8633
27.65445,206.323375,13.915525,272.981825
27.661375,206.33955,13.940375,273.02025
27.6722,207.3486,13.9542,273.138075
27.6853,207.6269,13.9711,273.1778
27.702825,207.6479,13.98985,273.246225
27.72415,207.709675,14.01195,273.304025
27.746075,207.843225,14.025725,273.350325
27.760025,207.977925,14.038475,273.458775
27.7697,208.29025,14.050325,273.69925
27.78035,208.5048,14.063,273.7561
27.793075,208.6958,14.095375,273.79415
27.812125,208.81335,14.1179,273.901
27.83015,208.95945,14.144625,273.939925
27.84235,209.2372,14.16665,274.0012
27.851225,209.9093,14.188975,274.072075
27.854725,210.1751,14.229625,274.121875
27.867325,210.637075,14.250125,274.13095
27.8805,210.719425,14.266875,274.151275
27.903975,210.8411,14.2808,274.17195
27.9172,211.3298,14.304,274.21795
27.934125,211.366125,14.34565,274.238025
27.964475,211.436475,14.380775,274.25255
27.979975,211.66945,14.40195,274.276525
27.994225,211.6787,14.4194,274.2962
28.0051,211.784675,14.442875,274.309575
28.050425,211.942825,14.463075,274.370025
28.084575,212.01985,14.487125,274.3856
28.093225,212.118725,14.509475,274.4053
28.112425,212.387925,14.53305,274.42635
28.118725,212.5648,14.55755,274.45
28.1288,212.987925,14.588475,274.47215
28.136375,213.088025,14.610925,274.490375
28.187925,213.635275,14.6278,274.51695
28.19925,213.756,14.651025,274.53075
28.2014,213.893075,14.68275,274.570275
28.2104,214.4411,14.702875,274.59515
28.2195,214.5801,14.7352,274.61855
28.22825,215.05895,14.75385,274.6446
28.237925,215.0634,14.7709,274.658425
28.2444,215.13235,14.7989,274.666025
28.2584,215.17105,14.832,274.67705
28.33005,215.55625,14.847525,274.698725
28.343675,215.658975,14.869175,274.716075
28.36225,215.86665,14.896675,274.731475
28.429625,215.92885,14.916825,274.754575
28.47635,216.4737,14.942475,274.812625
28.5231,216.585075,14.977325,274.8403
28.533725,216.764175,15.010975,274.863075
28.6646,216.85525,15.030975,274.88035
28.675525,217.4386,15.054,274.910375
28.690325,217.626325,15.078075,274.933225
28.711875,217.7068,15.1037,274.951175
28.729725,217.740175,15.131925,274.9613
28.74005,218.05425,15.1538,274.978875
28.778175,219.07815,15.18075,274.99675
28.7979,219.793225,15.198225,275.0105
28.8339,219.915225,15.216175,275.021975
28.844525,219.962,15.2311,275.03945
28.87465,220.102875,15.25015,275.06275
28.9181,220.241225,15.266625,275.079
28.95845,220.28335,15.27775,275.101375
28.99375,220.53325,15.293225,275.1167
29.00025,220.6247,15.305325,275.133275
29.006125,221.3208,15.32225,275.1536
29.0071,221.42065,15.337325,275.17375
29.0137,221.796075,15.351225,275.19665
29.02415,221.83775,15.36225,275.235475
29.028825,222.3398,15.3779,275.251675
29.046275,222.4856,15.3945,275.265375
29.068725,222.6412,15.40705,275.302725
29.08075,223.0235,15.417375,275.35845
29.113425,223.189,15.42875,275.39455
29.14325,223.323525,15.4385,275.413825
29.2014,223.3846,15.458725,275.433875
29.210925,223.451275,15.485325,275.449625
29.240175,223.48945,15.50575,275.467525
29.2497,223.5126,15.518425,275.484425
29.269475,223.707475,15.5285,275.517825
29.285525,224.410975,15.53665,275.53225
29.2993,224.5226,15.550125,275.5504
29.3184,224.7744,15.5645,275.567925
29.3281,225.090375,15.578475,275.5817
29.363075,225.377425,15.593325,275.5915
29.37735,225.413525,15.620975,275.615325
29.387925,225.696875,15.64215,275.63305
29.402375,226.0884,15.677275,275.64775
29.494875,226.252925,15.70695,275.66345
29.6011,227.697425,15.726625,275.68015
29.62045,227.867225,15.744025,275.7157
29.6455,227.897025,15.7579,275.73435
29.6515,228.9642,15.776825,275.761625
29.682,229.09015,15.793475,275.79775
29.7816,229.203275,15.80975,275.813575
29.79095,229.557925,15.819625,275.852775
29.7978,229.711125,15.837,275.86835
29.805875,230.283625,15.86255,275.88395
29.81325,230.75,15.8842,275.904325
29.824625,231.160825,15.909325,275.924125
29.845,231.212375,15.931975,275.9643
29.865375,231.639775,15.9516,275.987125
