SPK_SPKC02a (no response),SPK_SPKC09a (no response)
187.97385,186.4458
188.00055,186.70635
188.589725,186.83825
188.6044,186.842975
188.61265,187.004025
188.7219,187.019475
188.837375,187.073125
189.2886,187.08395
189.59695,187.09245
189.7632,187.172725
189.796525,187.29325
189.83275,187.387975
189.84645,187.4095
189.8482,187.433525
189.921425,187.522175
190.0181,187.625925
190.0435,187.870475
190.078825,187.973825
190.25185,188.557225
190.286225,188.589725
190.344075,188.612625
190.494725,188.7219
190.538325,188.837375
190.816175,189.2886
191.0314,189.59695
191.0471,189.7632
191.06205,189.7808
191.073125,189.796525
191.103775,189.832725
191.34035,189.846425
191.351325,189.9214
191.3784,190.018075
191.423875,190.043475
191.444525,190.078825
191.4752,190.251825
191.9494,190.286225
191.97225,190.34405
192.002775,190.4947
192.0133,190.5035
192.0344,190.538325
192.041275,190.81615
192.068775,191.031375
192.14845,191.04705
194.181775,191.062025
194.343575,191.0731
194.935125,191.103725
194.99235,191.34035
194.99775,191.351325
195.01295,191.3784
195.343175,191.423875
195.386125,191.444525
195.395925,191.475225
195.7677,191.949375
195.8217,191.972225
197.7871,192.002775
198.15995,192.0133
198.2589,192.0344
198.6877,192.04125
199.03495,192.06875
199.081825,192.1484
199.1193,193.25965
199.123475,194.181775
199.140175,194.32605
199.15695,194.34355
199.169775,194.3472
199.19165,194.9351
199.19595,194.992325
199.299475,194.99775
199.359225,195.012925
199.3665,195.34315
199.452025,195.363475
199.58925,195.38095
199.976675,195.386125
,195.395925
,195.7677
,195.8217
,198.159925
,198.193025
,198.2589
,198.687675
,199.03495
,199.0818
,199.1193
,199.14015
,199.1569
,199.195925
,199.2817
,199.29945
,199.3592
,199.4407
,199.452
,199.976625
