SPK_SPKC01a (no effect),SPK_SPKC03a (no effect),SPK_SPKC12a (no effect),SPK_SPKC13a (no effect)
146.76775,25.0002,13.101525,102.83305
146.79145,25.002425,13.1204,103.053125
146.832625,25.00605,13.155075,103.13525
148.0943,25.04095,13.17995,103.20035
148.461,25.056075,13.210875,103.289075
148.876875,25.130525,13.2256,103.350225
149.225675,25.167725,13.23045,103.37125
149.3389,25.1876,13.235725,103.430825
149.426,25.232775,13.2441,103.4985
149.479925,25.248025,13.251075,103.602875
149.722025,25.2701,13.254025,103.611175
149.7841,25.312075,13.265,103.623375
149.983925,25.3179,13.2831,103.664575
150.1602,25.4036,13.293575,103.90975
151.4794,25.429725,13.331825,103.9233
151.51595,25.45845,13.340725,103.986925
151.52835,25.47045,13.350225,104.06865
151.588,25.476125,13.36075,104.128425
151.938075,25.49035,13.39545,104.21995
152.308225,25.5495,13.417575,104.24775
153.099025,25.5767,13.4267,104.273675
153.363175,25.5889,13.448425,104.50345
153.383025,25.63135,13.47545,104.5412
154.7288,25.653625,13.491775,105.090125
154.747775,25.6628,13.50375,105.114375
154.783725,25.71525,13.530675,105.18405
154.801675,25.7438,13.552825,105.704775
154.83805,25.77225,13.591325,105.95475
155.7468,25.8485,13.611,106.274175
156.204,25.9378,13.6824,106.58485
156.324925,26.02415,13.736825,106.596475
156.407175,26.04265,13.7613,106.622575
157.2759,26.095525,13.804025,106.707475
158.3849,26.1388,13.86305,106.7842
158.630225,26.1801,13.888975,106.905375
158.745575,26.1853,13.91115,106.968275
159.74695,26.19755,13.936675,107.018325
159.759075,26.202025,13.97445,107.2744
160.1442,26.215525,13.99235,107.28665
160.372125,26.27285,14.01265,107.28925
160.381725,26.3889,14.027225,107.31035
160.869275,26.422,14.06625,107.315275
161.144525,26.44095,14.139125,107.32155
162.49115,26.446025,14.156075,107.373625
163.22865,26.4769,14.196425,107.392575
163.26115,26.479025,14.20975,107.4303
163.429625,26.510025,14.2439,107.555475
163.6368,26.5499,14.266475,107.56295
164.0152,26.630275,14.294725,107.645575
164.084725,26.63555,14.3119,107.996925
164.234975,26.65265,14.343975,108.014825
164.24385,26.65585,14.3657,108.12335
164.2555,26.83575,14.398175,108.14555
164.4819,26.86355,14.412725,108.2773
165.2954,26.923275,14.458625,108.363175
165.35495,26.966025,14.516575,108.50445
165.38,27.00015,14.532175,108.5212
165.5594,27.088625,14.572,108.58785
165.88385,27.099825,14.59035,108.5901
166.04345,27.11065,14.617125,109.02875
166.0617,27.116225,14.637075,109.0568
166.680775,27.19485,14.6746,109.068475
166.858625,27.21355,14.68595,109.218525
167.155775,27.242525,14.720925,109.40905
167.248725,27.2581,14.72975,109.411025
167.26745,27.27165,14.734325,109.43865
167.9358,27.309325,14.76135,109.755775
168.5717,27.450775,14.785,110.06905
168.656425,27.502975,14.812875,110.11635
168.7115,27.52315,14.852075,110.49475
169.014025,27.68505,14.86635,110.49895
169.185325,27.75235,14.908475,110.5064
169.28765,27.7945,14.9361,110.5543
169.575875,27.8232,14.9686,110.6155
170.015,27.849125,15.080625,110.623325
170.202575,27.899475,15.118275,110.8421
170.385075,27.905975,15.135725,110.852425
170.9593,27.9481,15.148775,111.00855
171.592625,27.9806,15.16415,111.01515
171.67755,28.041825,15.206575,111.3624
173.401125,28.097675,15.227425,111.3971
173.621275,28.11505,15.25585,111.461175
173.831125,28.11895,15.2742,111.524425
173.83865,28.1636,15.2998,111.760525
174.304375,28.235325,15.33945,111.811375
174.3255,28.368675,15.357225,111.9581
175.49445,28.39165,15.38095,112.27565
176.409625,28.42755,15.4184,112.3307
176.44605,28.483975,15.4361,112.5184
178.2033,28.55155,15.471525,112.530775
180.7375,28.575125,15.4892,112.54005
181.203325,28.58715,15.51245,112.618025
182.6395,28.66295,15.550225,112.64915
182.794225,28.6897,15.564225,112.6743
182.92075,28.72565,15.5892,112.688325
182.93375,28.7509,15.6278,113.0232
182.946475,28.829425,15.638875,113.10055
183.2435,28.847175,15.646975,113.2229
183.4395,28.88365,15.679875,113.289275
183.5347,28.9571,15.699025,113.310425
183.9443,28.967625,15.716375,113.392475
184.10005,29.024025,15.732375,113.4994
184.1859,29.0633,15.737625,113.578925
185.21695,29.1068,15.739775,113.9268
185.42305,29.1604,15.7683,113.942275
185.654425,29.27825,15.814325,114.0317
185.74125,29.33545,15.834,114.1715
185.992525,29.4573,15.84625,114.2427
187.7938,29.499325,15.8475,114.25415
188.25235,29.5547,15.8605,114.261625
188.8209,29.57805,15.871625,114.4294
188.8452,29.6041,15.8902,114.513475
188.8703,29.622975,15.8999,114.57285
188.915725,29.65425,15.907375,114.801275
189.27365,29.655675,15.935725,114.928925
190.097175,29.7081,15.948125,115.02405
191.14285,29.759825,15.9581,115.0666
191.5163,29.810225,15.9653,115.2171
191.551975,29.919475,15.97735,115.269425
191.560675,29.935875,15.9863,115.347875
191.57165,29.99535,15.992475,115.4227
191.582,30.0345,16.00625,115.509375
191.5921,30.241325,16.015275,115.697875
191.620275,30.263,16.04685,115.722125
194.6055,30.278625,16.101575,115.773625
195.189575,30.326675,16.120875,115.780125
195.68525,30.35685,16.150725,115.8675
195.7404,30.4881,16.175175,115.912475
196.294825,30.527475,16.242825,116.012525
196.31845,30.56915,16.26965,116.284725
196.34255,30.65275,16.306425,116.49935
197.1561,30.81245,16.32995,116.52835
198.408075,30.820525,16.366125,116.541175
