SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC05b,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC15a
36.996375,52.00965,177.9325,,61.76245,10.633275,49.015975,66.4397,29.022475
37.0973,52.156675,180.9704,,61.94945,10.640375,49.202175,66.664725,29.233875
37.63945,52.208625,182.6791,,61.9892,10.663,49.358975,66.752575,29.558925
37.6566,52.2607,183.152425,,62.01025,10.673225,49.825675,66.783275,29.876325
37.67555,52.280175,183.6781,,62.361825,10.69195,49.88285,66.886225,29.918475
38.190525,52.322825,183.993675,,62.6859,10.7552,49.944825,67.033375,29.951375
38.221325,52.4268,184.435325,,63.2187,10.76925,49.99985,67.216125,29.994475
38.376175,52.555425,184.57995,,63.6445,10.7912,50.1209,67.5096,30.32845
38.455825,52.59665,185.190175,,63.6751,10.808875,50.358375,67.525975,30.637625
38.494475,52.719975,185.72065,,65.549575,10.81365,50.707725,67.6503,30.6417
38.5324,52.917325,185.813875,,65.7694,10.82355,50.98115,68.28705,31.137075
38.5833,53.077425,189.111975,,65.9715,10.8399,50.990725,68.3461,31.192975
38.639575,54.9576,190.70175,,66.500075,10.843525,51.0742,68.5371,31.325025
38.70975,55.14455,191.58735,,68.11695,10.84935,51.322275,68.6046,31.675425
38.79095,55.307325,192.231875,,68.208775,10.852625,51.5272,68.8723,31.689525
38.895,55.479375,194.6263,,68.404225,10.857375,51.5781,68.897275,31.7208
39.011325,55.58425,194.7891,,68.5379,10.860475,51.60655,69.74925,31.8022
39.02665,55.782225,196.63735,,68.602775,10.8657,51.642375,70.217925,32.128275
39.078175,56.0716,196.8032,,68.638475,10.8756,51.74765,70.345475,32.363375
39.169375,56.1623,198.30805,,68.762725,10.88075,51.820875,70.67715,32.3866
39.3296,56.382075,198.68475,,68.8018,10.886925,51.904175,70.920475,32.443675
39.6244,56.51445,199.28735,,68.825125,10.9122,52.1114,70.9739,32.487125
39.823125,56.554375,200.41255,,68.97855,10.928175,52.469575,71.03275,32.602475
39.839475,56.78655,201.087425,,69.418475,10.93795,52.5296,71.0751,32.7609
39.93005,57.46485,201.951775,,69.732,10.940325,52.654525,71.210075,32.859675
40.329675,57.6336,202.525325,,70.443825,10.95115,52.983475,71.4041,32.894475
40.400325,57.80825,202.76075,,70.48575,11.15085,53.1405,71.5222,33.1472
40.500775,58.0545,202.919675,,70.502525,11.24745,53.69405,71.53865,33.34525
40.541175,58.220675,203.4241,,70.565525,11.404625,53.782975,71.818425,33.3744
40.562775,58.284925,203.8245,,70.68045,11.515825,53.806125,71.97935,33.67265
40.5983,58.426025,204.9993,,70.69575,11.5194,54.43635,72.021625,33.69565
40.70685,58.456075,205.1837,,70.74865,11.537875,54.610775,72.035,33.7055
40.753525,58.600225,205.2534,,70.798725,11.5557,54.88945,72.2084,33.71005
41.013125,58.828925,205.268225,,70.867575,11.577925,55.051575,73.455125,33.741925
41.789625,59.231825,205.385225,,71.048175,11.673925,55.1578,73.670825,33.777025
41.79465,59.332925,205.9777,,71.70125,11.700575,55.25055,73.722875,33.787625
41.830525,59.58555,206.23695,,72.781125,11.713,55.27465,73.9687,34.37145
41.8648,59.6978,207.04305,,72.836325,11.740675,55.352175,74.225025,34.484075
41.883,59.85585,208.8305,,72.888025,11.767025,55.35755,74.3497,34.5168
41.92595,59.976725,210.363625,,73.063075,11.781375,55.4298,74.62425,34.73205
41.9599,60.29945,211.697275,,73.06705,11.813975,55.471475,74.6798,34.87135
41.975825,60.3315,212.93105,,73.6141,11.8548,55.56265,74.75115,34.906775
42.050375,60.3793,213.1107,,73.92875,11.872825,55.605875,74.81,35.11765
42.072425,60.4437,213.232625,,74.33425,11.8824,55.643475,74.996875,35.2257
42.2353,60.6611,213.501375,,74.471575,11.8994,55.7159,75.020875,35.279425
42.2648,60.748025,215.81145,,74.5119,11.931875,55.98545,75.062425,35.93475
42.349725,60.854075,215.82405,,74.558025,11.941075,56.26805,75.230175,35.944775
42.539725,61.0526,215.971875,,75.59445,11.998075,56.455525,75.5287,36.0713
42.548625,61.373,216.11365,,75.63825,12.003575,56.483125,75.5875,36.3211
42.552875,61.526075,216.128325,,76.069925,12.00755,56.595025,75.67815,36.750125
42.599775,61.85465,216.413825,,76.168575,12.0164,56.8718,75.737675,36.783525
42.6059,62.1784,216.876175,,77.1775,12.025475,56.949775,76.495325,36.78965
42.729325,62.215925,217.649225,,77.240175,12.06415,57.323125,76.8899,36.8125
42.94525,62.99625,219.091925,,77.418225,12.263075,57.43065,76.929225,36.81515
43.14555,63.01275,219.956075,,77.53475,12.454025,57.471425,77.1771,36.846575
43.210625,64.456075,220.128925,,77.595275,12.496625,57.6263,77.9467,36.84935
43.505425,64.84995,220.2716,,77.61475,12.613,57.865775,78.0023,36.856375
43.660775,65.7658,220.4937,,77.6228,12.6742,58.00025,78.094625,37.0491
43.71855,67.450525,220.9958,,77.717475,12.829675,58.0277,78.127,37.4085
43.8913,68.21035,221.58695,,77.7433,12.922075,58.073125,78.16095,38.1209
43.920275,68.281025,221.97495,,77.798725,13.03245,58.150225,78.395975,38.141175
44.00365,68.385875,225.1599,,77.884225,13.15255,58.2543,78.397375,38.1815
44.22595,68.38945,225.403725,,77.909975,13.209325,58.287725,78.553825,38.276175
44.7603,68.530475,226.2813,,78.028775,13.250575,58.570975,78.59595,38.339575
44.878625,68.621975,227.287025,,78.071575,13.2959,58.59015,78.890325,38.426475
