SPK_SPKC05a,SPK_SPKC05b,SPK_SPKC05c,SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC14a
440.869975,423.1726,478.973875,416.244525,421.2186,426.3886
440.922925,423.204475,479.15295,416.2692,421.238125,426.432825
440.9578,423.2586,479.392075,416.312525,421.29225,426.46585
440.98955,423.324675,479.8741,416.3655,421.3293,426.5497
440.998125,423.35145,479.932525,416.43125,421.350875,426.713475
441.02615,423.39885,480.395025,416.452775,421.3609,426.773975
441.05465,423.43885,480.557175,416.460575,421.401375,426.8215
441.172525,423.527875,480.627025,416.493075,421.4328,426.85165
441.198425,423.6163,480.730725,416.589675,421.4662,426.88465
441.214475,423.746825,481.039,416.70395,421.49165,426.918775
441.28595,423.798875,481.203475,416.71175,421.522,426.94855
441.3442,423.84055,481.25075,416.75295,421.54995,427.011025
441.447525,423.8803,481.354025,416.823225,421.5769,427.05925
441.487075,423.9752,481.93195,416.869275,421.619525,427.11825
441.496225,424.0108,482.1748,416.942525,421.6814,427.1513
441.585475,424.066025,482.2675,417.1073,421.73715,427.1655
441.72495,424.105975,482.39205,417.1644,421.797,427.238
441.8027,424.185975,482.4427,417.175575,421.839275,427.262425
442.162025,424.2408,482.451825,417.192475,421.870725,427.29855
442.2049,424.2778,482.478675,417.2986,421.9167,427.3466
442.2435,424.431475,483.104425,417.336,422.0277,427.371075
442.2937,424.48,483.21675,417.408825,422.08835,427.447875
442.3136,424.51805,483.442725,417.43405,422.1416,427.648925
442.32715,424.5381,484.25185,417.4837,422.178275,427.836175
442.3673,424.605875,484.409725,417.553225,422.238525,427.88175
442.38045,424.651375,484.461475,417.5751,422.2623,427.9667
442.399525,424.750375,484.8837,417.57895,422.3048,428.0189
442.439975,424.80595,484.922425,417.6086,422.334025,428.092825
442.457525,424.861225,485.20845,417.68075,422.4162,428.214925
442.8014,424.914725,486.05185,417.68645,422.471725,428.3075
442.995875,424.9588,486.25455,417.718575,422.5136,428.357825
443.0681,424.9975,487.570175,417.791525,422.537175,428.40335
443.079525,425.02355,487.865375,417.823775,422.58765,428.486975
443.091525,425.053,488.177125,417.866675,422.63735,428.546025
443.484175,425.102175,488.250575,417.9754,422.711225,428.5663
443.58755,425.137775,488.758175,417.9847,422.714175,428.612825
443.6238,425.197725,489.1032,418.04855,422.7583,428.6373
443.654925,425.257425,489.541575,418.05505,422.8136,428.688775
443.7201,425.3114,489.589575,418.147875,422.8831,428.7399
443.772825,425.3613,489.92755,418.276625,422.916375,428.771175
443.9134,425.453,490.1165,418.301625,422.977775,428.8025
444.0181,425.517075,490.273725,418.307275,423.0052,428.843975
444.255775,425.622225,490.314275,418.343775,423.062725,429.011775
444.5022,425.671075,490.3524,418.348875,423.0786,429.04835
444.8614,425.7159,491.49085,418.35945,423.140575,429.15815
444.95725,425.772175,492.61265,418.377175,423.163325,429.187025
445.6488,425.896625,493.087875,418.44065,423.189225,429.21045
445.74755,425.921725,493.6059,418.443225,423.209425,429.368425
445.83185,425.95755,493.71085,418.463275,423.25385,429.518925
446.282775,426.002425,493.789525,418.499925,423.30375,429.611275
446.492525,426.060175,493.90885,418.5195,423.34575,429.7046
446.620875,426.14245,494.150825,418.525,423.39145,429.744725
446.64995,426.197775,494.23955,418.532575,423.430075,429.757875
446.7005,426.242975,494.251975,418.598475,423.531625,429.798575
446.768725,426.286175,494.268525,418.6502,423.559575,429.847475
446.8024,426.415625,494.394925,418.667825,423.64365,429.8594
446.963425,426.4541,495.2963,418.692,423.677775,429.922925
447.0738,426.489,495.583475,418.69505,423.8022,429.9894
447.103375,426.50775,495.5878,418.702225,423.831325,430.023225
447.168475,426.53775,496.0524,418.8514,423.892675,430.06605
447.19565,426.5616,496.724275,418.881325,423.988375,430.095925
447.2634,426.605975,496.73785,418.913775,424.024675,430.13795
447.296825,426.6334,496.8549,418.95665,424.05565,430.1841
447.3037,426.663425,497.2804,419.061475,424.11695,430.268225
447.364975,426.7649,497.3924,419.248175,424.1694,430.3228
447.37005,426.84555,497.40895,419.2864,424.20565,430.3505
447.416975,426.902425,498.81855,419.33135,424.280275,430.416725
447.674,426.9409,498.888525,419.3502,424.340025,430.432
