SPK_SPKC03a (inhi),SPK_SPKC04a (no response),SPK_SPKC16a (no opto-tagging)
335.10575,344.937,343.154475
335.131975,345.034525,343.188275
335.26675,345.064675,343.198475
335.3013,345.07945,343.209925
335.37765,345.107575,343.215325
335.4559,345.12935,343.21895
335.47635,345.1847,343.225975
335.550675,345.2166,343.233225
335.5715,345.343725,343.342225
335.600975,345.41195,343.4529
335.787325,345.6073,343.629875
335.8232,345.715175,343.769275
335.85435,345.77325,343.79865
335.88695,345.88515,343.824725
335.9238,345.9355,343.9231
335.9498,345.977,343.934
335.985675,346.1624,344.26405
336.062475,346.25165,344.270175
336.076875,346.4983,344.308875
336.10385,346.586125,344.375325
336.1562,346.7576,344.432525
336.180225,346.840975,344.4764
336.20575,346.9381,344.545075
336.244675,346.970575,344.59085
336.2828,347.0218,344.8699
336.3124,347.107575,345.157075
336.3324,347.1436,345.255875
336.38125,347.18035,345.4553
336.41625,347.233625,345.46085
336.463075,347.257575,345.5938
336.545925,347.3014,345.6198
336.610875,347.345225,345.649075
336.69345,347.406525,345.767875
336.730275,347.429175,346.077725
336.758225,347.479675,346.08435
336.799475,347.509325,346.281475
336.866,347.56045,346.384225
336.892625,347.651625,346.44115
336.939725,347.7549,346.616875
336.9938,347.891375,347.04215
337.0419,347.919875,347.18995
337.109975,347.9681,347.202625
337.149975,348.0618,347.330975
337.216825,348.293175,347.6624
337.261425,348.428475,347.743875
337.297225,348.47525,347.91795
337.36385,348.607825,347.9421
337.408725,348.67055,348.18005
337.462125,348.6832,348.188925
337.547825,348.7794,348.206025
337.5635,348.820425,348.67245
337.583425,348.90825,348.688425
337.601325,349.120825,348.762025
337.667175,349.21625,348.9789
337.685775,349.2976,349.0032
337.740525,349.34755,349.008375
337.7898,349.415075,349.0745
337.88275,349.54735,349.078475
337.977825,349.672175,349.088475
337.9984,349.80255,349.090975
338.04365,349.884475,349.245275
338.059525,350.055375,349.2921
338.069725,350.12265,349.312
338.081825,350.2092,349.3458
338.0925,350.316475,349.376875
338.10385,350.3353,349.436925
338.178325,350.415725,349.5455
338.1957,350.454575,349.58565
338.27285,350.5276,349.713875
338.294025,350.565525,349.891025
338.31365,350.599075,350.05785
338.3398,350.658925,350.07955
338.407475,350.6872,350.27555
338.434125,350.72665,350.29795
338.476075,350.771075,350.516325
338.528525,350.830275,350.547025
338.641025,350.848375,350.801925
338.66105,350.899875,350.8519
338.671475,350.946875,350.961625
338.694825,350.99235,351.06715
338.7159,351.052625,351.109075
338.729575,351.150075,351.223925
338.737925,351.22335,351.43735
338.755775,351.286025,351.4525
338.784175,351.3756,351.532075
338.817575,351.426125,351.58955
338.830675,351.509275,351.626975
338.845625,351.583875,351.634175
338.89015,351.663125,351.855025
338.92165,351.7759,351.9028
338.959875,351.8304,351.962975
338.99125,351.87775,352.029625
339.025425,351.954525,352.10705
339.05225,352.073125,352.12945
339.081075,352.235225,352.214725
339.11495,352.2646,352.317075
339.192475,352.340425,352.51585
339.2233,352.384075,352.5517
339.2511,352.457875,352.5917
339.2981,352.51605,352.661975
339.331625,352.55935,352.8726
339.355125,352.622775,352.880625
339.383775,352.64355,352.892475
339.423425,352.69335,353.07885
339.456125,352.746225,353.087225
339.53395,352.806075,353.2226
339.571325,352.879125,353.2285
339.607925,352.9504,353.2334
339.65215,353.0075,353.237075
339.744725,353.054975,353.37175
339.837675,353.1019,353.430475
339.924875,353.183025,353.681525
340.096375,353.344675,353.77365
340.137375,353.3888,353.8458
340.18155,353.476125,353.887975
340.23625,353.58375,354.1089
340.328625,353.625275,354.120125
340.43005,353.7069,354.23555
340.49335,353.80585,354.3319
340.553575,353.933625,354.411
340.5941,353.9684,354.43005
340.6491,354.01435,354.6203
340.68095,354.103,354.6792
340.70385,354.156975,354.691
340.726125,354.2959,354.9791
340.74075,354.31025,355.0945
340.753175,354.3895,355.101775
340.7708,354.55685,355.217925
340.7987,354.655475,355.568925
340.867175,354.73195,355.57825
340.968125,354.88365,355.58665
341.00125,354.9321,355.763
341.0492,355.003775,355.947
341.125675,355.08365,355.96075
341.1541,355.2559,356.12375
341.1791,355.299325,356.228925
341.2193,355.32955,356.301425
341.266775,355.4094,356.30875
341.3091,355.459975,356.500475
341.3544,355.49715,356.51095
341.3994,355.53685,356.588875
341.44685,355.595975,356.738175
341.468425,355.613175,356.98505
341.492525,355.672075,357.201325
341.5057,355.722875,357.256825
341.5733,355.81025,357.481325
341.6209,355.942525,357.5169
341.678175,355.980925,357.55
341.7206,356.065675,357.607575
341.81525,356.2089,357.647525
341.8558,356.269325,357.7427
341.88755,356.358225,357.786725
341.967925,356.4159,357.975875
342.060525,356.5387,358.0583
342.100975,356.621,358.253125
342.1492,356.708775,358.431975
342.2421,356.7713,358.483475
342.2987,356.78995,358.833025
342.3245,356.802775,358.9788
342.363025,356.915825,359.195325
342.4022,356.953775,359.2364
342.449525,356.985475,359.315625
342.5155,357.09645,359.483725
342.563425,357.151475,359.543625
342.682575,357.18555,359.57625
342.7364,357.2441,359.749375
342.7919,357.32845,359.753
342.83365,357.4182,359.757825
342.86475,357.466725,359.761625
342.894825,357.55495,359.7834
342.932025,357.783025,359.914875
342.9719,357.81805,360.100975
343.0453,357.88485,360.36195
343.08105,357.93565,360.508625
343.111175,358.2599,360.514175
343.14595,358.333475,360.6283
343.1815,358.41605,360.6348
343.22785,358.583325,360.7649
343.26795,358.6927,361.092125
343.3655,358.739125,361.12695
343.4294,358.77545,361.3185
343.4662,358.840625,361.5196
343.515375,358.877225,361.55795
343.5408,358.925025,361.61655
343.5593,358.99265,361.885375
343.57885,359.0544,362.09395
343.6048,359.093925,362.148875
343.6392,359.128425,362.206375
343.68435,359.170525,362.404625
343.70485,359.26345,362.407825
343.73,359.320675,362.479575
343.858675,359.376075,362.5976
343.91595,359.58925,362.614325
343.9639,359.6373,362.651225
344.007025,359.671725,363.194475
344.0781,359.72065,363.4144
344.10685,359.8717,363.485975
344.125525,359.954375,363.60645
344.1609,360.180975,363.67225
344.1873,360.215975,363.72065
344.2266,360.258675,363.896925
344.2903,360.357175,363.9392
344.339275,360.390975,364.006775
344.4261,360.43095,364.026575
344.46105,360.506825,364.22935
344.510475,360.588675,364.257
344.674075,360.61445,364.428075
344.698975,360.656325,364.52845
344.736675,360.707275,364.6368
344.772275,360.7743,364.674275
344.847725,360.8868,364.77005
344.8618,360.945875,364.847275
344.8768,360.975975,364.854175
344.903125,361.059725,365.1969
344.94445,361.100875,365.414775
344.963325,361.113375,365.5509
344.987275,361.1534,365.703875
345.0413,361.194475,365.72885
345.0942,361.276275,365.82025
345.22345,361.33785,365.8267
345.27295,361.37465,365.915525
345.49865,361.45185,365.919425
345.53605,361.52525,365.92555
345.563225,361.567775,366.039375
345.6306,361.6349,366.13015
345.6634,361.661275,366.33055
345.69285,361.710575,366.345425
345.727525,361.75315,366.40485
345.766875,361.76695,366.4084
345.784975,361.81825,366.42175
345.8155,361.856,366.4253
345.876175,361.888625,366.4303
345.9144,361.9542,366.441725
345.977275,362.013575,366.456775
346.00815,362.03545,366.8654
346.039175,362.072975,366.87245
346.073525,362.10515,367.222875
346.139725,362.1545,367.22955
346.188975,362.1915,367.29105
346.228125,362.239475,367.304375
346.275975,362.289,367.3074
346.320375,362.367375,367.314075
346.367,362.4941,367.389775
346.41375,362.5883,367.3987
346.43925,362.6643,367.43055
346.522875,362.732,367.718475
346.59915,362.780925,367.722875
346.6307,362.87765,367.73655
346.70445,362.979175,367.7671
346.742225,363.038975,367.8406
346.814725,363.078975,367.892775
346.841375,363.155,367.907625
346.884325,363.189125,368.313125
346.913,363.20865,368.361525
346.94035,363.251475,368.43545
346.970475,363.286825,368.448025
346.988975,363.3077,368.455625
347.0347,363.358325,368.66705
347.0525,363.42205,368.67125
347.0673,363.568575,369.030575
347.121825,363.66285,369.03655
347.1558,363.727025,369.059025
347.220625,363.791025,369.0657
347.238425,363.836,369.570875
347.259725,363.914525,369.589475
347.28235,363.96795,369.5945
347.31785,364.042975,369.673325
347.4073,364.148525,369.688125
347.455025,364.191475,370.04425
347.4955,364.23485,370.065425
347.548275,364.2754,370.244125
347.609,364.35855,370.2494
347.64505,364.503225,370.4704
347.78595,364.63995,370.486425
347.8172,364.714225,370.834275
347.850375,364.8383,370.902325
347.95115,364.89255,371.0216
347.99065,364.956875,371.07365
348.0346,365.0423,371.259375
348.07785,365.350275,371.2672
348.175,365.43305,371.553275
348.215025,365.51825,371.5582
348.288625,365.57675,371.6537
348.35885,365.6757,371.7167
348.44145,365.72575,371.753775
348.46795,365.854625,371.8757
348.48195,365.943675,371.921025
348.51315,366.1431,371.93665
348.531025,366.284725,372.002475
348.5481,366.3658,372.120175
348.56825,366.49415,372.177675
348.58275,366.62375,372.265175
348.6035,366.732375,372.27835
348.641475,366.826725,372.4017
348.666275,366.92625,372.489225
348.6917,367.147375,372.514725
348.7091,367.2788,372.5239
348.7384,367.381125,372.76605
348.8201,367.43055,372.849625
348.86675,367.4791,372.8754
348.92055,367.528,372.981625
348.976225,367.68195,373.2739
349.076975,367.7548,373.33375
349.126175,367.8206,373.340175
349.1677,367.874525,373.6724
349.215125,367.94365,373.847375
349.25035,368.1345,373.930675
349.290125,368.176475,374.13465
349.330375,368.2288,374.16575
349.41905,368.304275,374.2146
349.45855,368.423975,374.602125
349.4841,368.562025,374.74265
349.525825,368.67435,374.81315
349.5968,368.80045,374.81985
349.6408,368.848025,374.89475
349.699875,368.9552,374.9105
349.759125,369.166125,374.913875
349.81965,369.369575,374.934525
349.85995,369.547825,374.939225
349.8849,369.8474,375.0203
349.9526,369.904925,375.0264
349.99465,369.95385,375.0665
350.02565,369.9866,375.27645
350.070775,370.056875,375.370325
350.106675,370.180075,375.3739
350.149225,370.246775,375.378125
350.217175,370.3284,375.464475
350.263775,370.392875,375.631775
350.3326,370.517875,375.746525
350.342775,370.578525,375.761225
350.363525,370.7523,375.839425
350.375875,370.8448,375.896975
350.393725,370.94705,376.04035
350.422625,371.02595,376.113675
350.45115,371.205375,376.318525
350.5119,371.31415,376.337175
350.6066,371.3419,376.3578
350.6271,371.410875,376.37155
350.659775,371.478825,376.393325
350.7047,371.516975,376.428575
350.7733,371.58665,376.46505
350.79835,371.63175,376.522875
350.83115,371.68365,376.6613
350.95285,371.723075,376.74595
351.008125,371.7564,376.75725
351.08405,371.81245,376.792825
351.129375,371.8703,376.8158
351.1569,371.947925,376.829875
351.214475,371.9894,376.9839
351.247,372.046525,377.3971
351.28,372.0782,377.413425
351.312125,372.161725,377.51
351.347775,372.250225,377.515175
351.407575,372.447725,377.60255
351.4579,372.493225,377.6434
351.505975,372.55775,377.670375
351.535125,372.634075,377.688075
351.580475,372.699175,377.70535
351.6108,372.74095,377.7433
351.6861,372.768775,377.7493
351.764175,372.818125,377.86675
351.81385,372.98225,377.87185
351.839,373.178175,377.912925
351.871025,373.2537,377.999875
351.910125,373.3124,378.061025
351.959125,373.38075,378.225625
351.998375,373.475525,378.6548
352.03365,373.5557,378.9127
352.106925,373.583575,378.9201
352.186025,373.616025,379.10995
352.219675,373.659375,379.176
352.25305,373.7471,379.186875
352.2822,373.84775,379.192425
352.329775,373.9264,379.21305
352.35025,374.00685,379.3508
352.370125,374.07145,379.622975
352.404075,374.1185,379.644775
352.4431,374.22,379.7515
352.473375,374.309,379.777325
352.495575,374.35935,379.7916
352.518375,374.505475,379.797975
352.590675,374.557475,379.949675
352.627775,374.610675,379.982725
352.68835,374.679375,380.019225
352.726275,374.731925,380.21425
352.7685,375.057975,380.252325
352.807175,375.112875,380.263775
352.84705,375.214175,380.2825
352.9006,375.246375,380.291
352.93465,375.34745,380.381025
353.003575,375.4854,380.6557
353.03805,375.570375,380.6968
353.11305,375.9342,380.7641
