SPK_SPKC02a,SPK_SPKC06b,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a
11.355275,,9.10265,23.180175,14.325475
11.356975,,9.122575,23.1846,14.4028
11.36815,,9.143325,23.2075,14.580925
11.3805,,9.418525,23.3019,14.623825
11.452175,,9.431275,23.3043,14.632825
11.4675,,9.43625,23.326875,14.66235
11.5769,,9.440625,23.44445,14.742375
11.58275,,9.44275,23.58505,14.9873
11.594575,,9.447325,23.589425,15.002725
11.5959,,9.44995,23.5948,15.017375
11.668775,,9.45225,23.603175,15.030075
12.044125,,9.45875,23.605675,15.06355
12.11465,,9.460875,23.619675,15.395725
12.12565,,9.465775,23.642625,15.425425
12.134575,,9.469025,23.65915,15.6136
12.154025,,9.47345,24.687225,15.84375
12.159925,,9.478775,24.693475,15.857525
12.188375,,9.48575,24.70785,15.86765
12.237575,,9.488425,24.718825,15.875225
12.245175,,9.492875,24.7213,15.883575
12.249625,,9.5042,24.740175,15.894475
12.2789,,9.514075,24.896575,15.906475
12.310375,,9.521325,24.9076,15.917025
12.311375,,9.545675,24.9246,15.92385
12.333025,,9.5677,25.110075,15.948325
12.352925,,9.595375,25.54955,15.9667
12.363575,,9.604675,25.554825,16.25535
12.38315,,9.61835,25.634975,16.266525
12.41295,,9.735875,25.9246,16.277025
12.436525,,9.831,25.9285,16.289875
12.446875,,9.84505,25.95915,16.29665
12.515425,,9.87435,26.001225,16.3041
12.547725,,9.898875,26.020375,16.305325
12.5546,,10.101125,26.029725,16.31655
12.565675,,10.244625,26.0388,16.33115
12.58805,,10.253075,26.45135,16.363425
12.60155,,10.259075,26.46525,16.453775
12.624,,10.272275,26.47005,16.497525
12.7442,,10.275125,26.4894,16.513425
12.883125,,10.28335,26.511375,16.5341
12.8902,,10.289675,27.04375,16.5542
12.899775,,10.2939,27.584425,16.581675
12.904075,,10.30215,27.5888,16.608375
12.915475,,10.361825,27.59445,16.6362
12.9381,,10.3884,27.597325,16.683675
12.998275,,10.426075,27.606575,16.704125
13.024275,,10.708025,27.918025,16.825075
13.0986,,10.718475,27.92255,16.86835
13.133175,,10.723525,27.927825,16.921225
13.1526,,10.759975,28.030825,16.9518
13.172875,,10.772925,28.265475,17.07365
13.296325,,10.807425,28.269075,17.24395
13.30475,,10.964675,28.34125,17.26165
13.342,,10.9693,28.3443,17.2801
13.35565,,10.97175,28.37235,17.378225
13.3731,,10.976275,28.63135,17.6284
13.38175,,10.98165,28.643525,17.648025
13.39435,,10.989325,28.651925,17.675
13.4121,,10.99425,28.654875,17.6912
13.432725,,11.0137,28.671825,17.701325
13.468725,,11.016925,28.674625,17.72085
13.4947,,11.026225,28.685,17.74645
13.5265,,11.029,28.69215,17.775275
13.540325,,11.03425,28.708875,17.882325
13.59005,,11.04365,28.72315,17.979425
13.623175,,11.056675,28.80715,18.02405
13.699675,,11.061125,28.810375,18.165325
13.802625,,11.064275,28.8349,18.299675
13.813575,,11.07065,29.476475,18.341775
13.84115,,11.0753,29.49095,18.36675
13.859875,,11.085675,29.5003,18.3948
13.86285,,11.0893,29.820975,18.42255
13.884675,,11.1199,30.105825,18.53865
13.99555,,11.138225,30.110725,18.574475
14.006725,,11.148925,30.11855,18.59365
14.029075,,11.163575,30.1237,18.62965
14.197975,,11.193,30.142625,18.914025
14.250325,,11.2225,30.2174,18.940475
14.264075,,11.229875,30.48215,18.9467
14.26975,,11.235925,30.484175,18.953975
14.2786,,11.2554,30.4905,18.954975
14.2937,,11.277875,30.4992,18.966525
14.309575,,11.2944,30.51495,18.974425
14.34325,,11.3079,30.837525,18.985975
14.354225,,11.320475,30.839975,18.992075
14.4284,,11.332275,30.842175,18.9936
14.43355,,11.338775,30.8509,19.008925
14.44865,,11.34895,31.024875,19.02605
14.449875,,11.362775,31.027775,19.04405
14.5363,,11.376825,31.2063,19.19575
14.605175,,11.38145,31.2125,19.214575
14.66385,,11.3854,31.240825,19.260625
14.679125,,11.394,31.6738,19.273925
14.7524,,11.39815,31.678175,19.310875
14.79525,,11.410225,31.6812,19.460025
14.859875,,11.4232,31.692125,19.4796
14.934425,,11.4312,31.698575,19.5193
15.03565,,11.445575,31.707125,19.551275
15.052225,,11.451525,31.731625,19.556
15.06775,,11.471,31.764,19.599525
15.150825,,11.506175,31.922725,19.6302
15.2306,,11.51695,32.192675,19.658675
15.256725,,11.52115,32.4227,19.69535
15.2766,,11.53725,32.42735,19.725975
15.2852,,11.548125,32.4392,19.745925
15.2901,,11.555375,32.44285,20.343
15.297875,,11.598275,32.4461,20.55535
15.307975,,11.6811,32.453275,20.601725
15.325475,,11.68545,32.46825,20.6137
15.3355,,11.696275,32.4819,20.660775
15.344375,,11.71765,32.508675,20.68425
15.345475,,12.170225,32.99715,20.718325
15.351975,,12.9304,33.020725,20.7407
15.3956,,12.935625,33.272625,20.763075
15.410625,,12.953325,33.275325,20.786875
15.417975,,12.958775,33.9427,20.811925
15.44375,,12.961425,33.99015,20.8391
15.493425,,12.963875,34.001,20.9211
15.502875,,12.96695,34.0071,20.957575
15.5325,,12.9738,34.015625,21.117075
15.582975,,12.977125,34.0817,21.143725
15.728025,,12.9809,34.08415,21.146725
15.7495,,12.98615,34.086425,21.5901
15.765075,,12.99155,34.089275,21.60385
15.807925,,12.99765,34.112925,21.62875
15.856525,,13.0011,34.147225,21.65975
15.918075,,13.003575,34.1928,21.90885
15.920325,,13.00995,34.632925,21.955875
15.949425,,13.013125,34.64385,21.97245
16.02985,,13.018825,34.674225,21.991525
16.08335,,13.023575,34.69035,22.0149
16.2125,,13.02605,34.7017,22.028975
16.22895,,13.02975,34.904475,22.053725
16.29295,,13.034525,34.922525,22.0681
16.315,,13.03755,34.9501,22.079975
16.365775,,13.04235,34.975025,22.08315
16.37085,,13.04915,34.980675,22.09095
16.374075,,13.051275,34.985475,22.101325
16.389825,,13.056675,35.0448,22.109825
16.3982,,13.06115,35.0495,22.121475
16.40875,,13.063725,35.05585,22.13735
16.414125,,13.070425,35.059925,22.151725
16.421575,,13.07745,35.0626,22.164175
16.42345,,13.08005,35.07315,22.18135
16.488075,,13.082225,35.554875,22.197175
16.5162,,13.08525,35.566425,22.21035
16.572875,,13.087375,35.607175,22.22855
16.6548,,13.092325,35.609375,22.236925
16.687375,,13.0945,35.687275,22.246
16.718725,,13.0967,35.70735,22.2702
16.84015,,13.098775,35.713975,22.27705
16.95885,,13.102925,35.72415,22.305475
16.97915,,13.1069,35.730075,22.31335
17.00585,,13.110825,35.738725,22.31925
17.030575,,13.11385,35.753,22.325025
17.25395,,13.11635,36.080125,22.335025
17.2612,,13.121775,36.087475,22.343875
17.26845,,13.125425,36.08955,22.35195
17.291875,,13.1284,36.1063,22.376175
17.3083,,13.13165,36.670575,22.389725
17.32185,,13.13585,36.69275,22.409375
17.351425,,13.14155,36.782025,22.420875
17.3969,,13.14695,36.8624,22.445175
17.4321,,13.1519,36.866675,22.455925
17.512725,,13.15845,36.871575,22.474525
17.54345,,13.16305,37.195,22.4869
17.54995,,13.3143,37.197325,22.505475
17.585975,,13.3177,37.584925,22.516375
17.61535,,13.32125,37.58775,22.5278
17.618675,,13.3302,37.610175,22.53845
17.657375,,13.332625,37.7465,22.547425
17.6905,,13.335275,38.147075,22.56
17.7081,,13.33805,38.15105,22.5771
17.76115,,13.3422,38.1593,22.588075
17.78045,,13.345975,38.16705,22.601975
17.78205,,13.350975,38.171,22.6149
17.835325,,13.3551,38.194875,22.617025
17.896825,,13.359975,38.212425,22.6259
17.927375,,13.37455,38.549575,22.64565
17.940175,,13.3782,38.552425,22.944275
17.966175,,13.381,38.565,22.9665
17.969625,,13.386275,38.57485,22.981225
18.000975,,13.389775,38.57755,23.011325
18.0453,,13.39495,38.810575,23.098175
18.111125,,13.397125,39.23155,23.131375
18.1271,,13.402275,39.237175,23.1634
18.143025,,13.4078,39.2393,23.18835
18.153,,13.41015,39.243225,23.198425
18.15805,,13.4178,39.250725,23.214625
18.175925,,13.422775,39.260725,23.30595
18.34645,,13.427575,39.278375,23.3528
18.36815,,13.43015,39.507125,23.4353
18.369575,,13.441275,39.510475,23.59735
18.3823,,13.446125,39.512875,23.6202
18.413575,,13.4509,39.51745,23.664125
18.456975,,13.476,39.527175,23.67755
18.458125,,13.483525,39.549575,23.690925
18.48445,,13.486975,39.5547,23.747975
18.5854,,13.4932,39.56875,23.76625
18.59865,,13.4983,39.575525,23.7879
18.61235,,13.50855,39.589225,23.8309
18.615525,,13.513975,39.5925,23.856025
18.630575,,13.520475,39.609725,23.896675
18.640375,,13.524925,39.6691,23.913975
18.747425,,13.53115,39.68165,23.934025
18.846,,13.537175,39.686475,23.98375
18.9442,,13.54495,39.79735,23.998625
18.953775,,13.54915,40.29665,24.015925
19.034625,,13.551875,40.312,24.026225
19.0564,,13.5556,40.492325,24.035125
19.0769,,13.558425,40.52075,24.038225
19.22225,,13.5644,40.537925,24.049825
19.247075,,13.572425,40.55665,24.0591
19.262675,,13.579125,40.572175,24.069175
19.275075,,13.5912,40.586575,24.077475
19.30355,,13.59485,40.596125,24.084675
19.3156,,13.60145,40.616725,24.09055
19.331025,,13.610825,40.63865,24.097425
19.380125,,13.6152,40.6479,24.121275
19.381925,,13.619125,40.667575,24.16535
19.393825,,13.622525,40.67705,24.1782
19.3989,,13.629875,40.688875,24.1967
19.4006,,13.63275,40.69845,24.241825
19.427825,,13.64,40.708325,24.264275
19.4444,,13.643775,40.713725,24.27785
19.471525,,13.6476,40.7225,24.291325
19.507175,,13.65245,40.758925,24.302225
19.51275,,13.663075,40.8584,24.321875
19.51495,,13.6723,40.9228,24.3328
