SPK_SPKC01a (inhibited),SPK_SPKC04a (excited),SPK_SPKC07a (excited),SPK_SPKC12a (NA)
11.841025,15.743725,207.82315,22.268075
11.86705,15.7812,208.065975,22.271775
11.881825,15.810325,208.471525,22.272825
11.8876,15.822425,208.7168,22.274875
11.926975,15.845125,210.014975,22.277875
11.9957,15.871325,210.81945,22.281075
12.059075,15.913825,211.1012,22.2843
12.0862,15.95215,211.284725,22.293525
12.11475,15.9719,211.487025,22.29635
12.13815,15.99345,211.779075,22.30545
12.175525,16.004825,212.060225,22.307175
12.23355,16.019675,213.98755,22.318975
12.2349,16.136375,214.37725,22.3237
12.278525,16.16595,215.36445,22.3565
12.282,16.18685,215.748775,22.364
12.307775,16.21445,216.17835,22.37375
12.322525,16.2453,216.412475,22.378125
12.33035,16.264175,216.582325,22.38985
12.37445,16.319275,218.494025,22.394225
12.402925,16.3426,220.82775,22.427575
12.451525,16.365525,221.7177,22.431025
12.459275,16.41385,222.201725,22.436125
12.468325,16.4421,223.24455,22.457625
12.4809,16.57285,223.527425,22.4666
12.51335,16.6146,223.6101,22.493675
12.54575,16.646675,225.029375,23.664625
12.559175,16.664125,225.373725,23.66735
12.6247,16.6736,227.259025,23.675475
12.6338,16.692025,227.467275,23.678425
12.649525,16.713375,229.345925,23.681275
12.6594,16.73755,230.144025,23.684025
12.7265,16.755075,230.731225,23.6869
12.744175,16.81215,230.824475,23.6895
12.78765,16.825575,231.8485,23.69245
12.862425,16.857675,231.983725,23.698975
12.883175,16.90685,232.640575,23.702125
12.895975,16.92695,233.248575,23.717475
12.90985,16.945375,234.22985,23.73005
12.95925,16.987575,237.135525,23.73255
12.98125,17.005375,237.58435,23.73835
12.996125,17.0509,237.9999,23.743825
13.01265,17.077425,238.219325,23.75225
13.0356,17.110675,238.704075,23.756825
13.0711,17.137575,239.845875,23.7782
13.101775,17.145925,241.522525,23.79505
13.104,17.164,242.278475,23.8238
13.1282,17.1902,242.5359,23.833225
13.1366,17.20115,243.265975,23.861
13.164175,17.212725,243.357925,23.875075
13.2762,17.237125,243.611325,23.879775
13.29075,17.266725,246.1655,23.888725
13.323975,17.3022,246.390825,23.89355
13.338225,17.337275,246.830575,23.914275
13.3616,17.35835,247.1462,23.922125
13.395425,17.3851,247.6025,23.958025
13.401475,17.404025,248.3592,24.966075
13.433375,17.44155,248.85935,26.692175
13.441875,17.494675,249.301575,26.696975
13.460375,17.51095,250.0764,26.701675
13.466725,17.580625,250.2029,26.70425
13.474625,17.629,250.98025,26.70685
13.495425,17.6629,251.124625,26.71825
13.508225,17.692875,251.19065,26.721725
13.51095,17.711275,251.202675,26.724725
13.5324,17.87365,252.740725,26.727475
13.53985,17.900175,252.895075,26.7353
13.567375,17.955275,253.100825,26.740725
13.6689,17.980875,254.064125,26.767625
13.696125,18.025575,254.36875,26.776975
13.711225,18.0537,254.571325,26.79345
13.729925,18.071225,254.960675,26.8084
13.735175,18.3729,255.637075,26.8251
13.76335,18.392125,256.985475,26.834075
13.808575,18.401075,258.507075,26.854975
13.8203,18.47535,260.952025,26.865625
13.851125,18.4923,261.17435,26.873075
13.95815,18.567775,262.9083,26.889275
13.9699,18.6104,264.88035,26.893225
13.98035,18.623225,266.4757,26.903675
14.013825,18.65805,267.484375,26.909725
14.033275,18.686875,270.37195,26.91455
14.0539,18.761925,271.963125,26.919175
14.088825,18.9132,272.607375,26.9542
14.110275,18.952075,272.80545,26.95855
14.141075,19.001775,275.164025,26.979375
14.1673,19.028475,276.444025,26.99465
14.183225,19.05855,278.97005,27.02485
14.208675,19.084925,281.321025,27.0502
14.229925,19.12805,282.062075,27.07195
14.2424,19.1594,282.290375,27.075975
14.263175,19.1889,282.320975,27.088575
14.303825,19.21285,283.599325,27.095375
14.348725,19.23765,283.9764,27.1187
14.37455,19.270725,291.4641,27.1283
14.4128,19.3048,294.48285,27.148225
14.46355,19.375,294.6078,27.155725
14.48445,19.443725,295.30395,27.1721
14.502875,19.46895,296.449525,27.175625
14.517875,19.516525,297.247925,27.196875
14.526975,19.53985,298.0874,27.20795
14.537525,19.561525,298.4833,27.227025
14.576675,19.576625,299.922125,27.731575
14.5853,19.5955,,27.7341
14.59505,19.62325,,27.7366
14.6084,19.679075,,27.741775
14.625275,19.705025,,27.74425
14.640175,19.763375,,27.746675
14.65525,19.856,,27.752025
14.67065,19.87245,,27.79435
14.67825,19.95345,,27.80885
14.7111,19.98795,,27.8347
14.71815,20.052175,,27.845175
14.736125,20.095625,,27.852275
14.805525,20.321925,,27.871
14.837,20.3233,,27.876625
14.88425,20.403075,,27.903725
14.905425,20.497925,,27.908225
14.945425,20.554875,,27.913725
15.013025,20.595325,,27.963625
15.052225,20.643475,,27.98225
15.0779,20.6809,,27.9891
15.0885,20.711525,,27.992575
15.127025,20.735025,,28.00185
15.149525,20.766125,,28.475
15.165025,20.808725,,28.477775
15.211175,20.894725,,28.48075
15.247225,20.9404,,28.483325
15.2727,20.98395,,28.4859
15.330825,21.014475,,28.4885
15.35485,21.0249,,28.491325
15.3709,21.03595,,28.49385
15.399075,21.05565,,28.51465
15.41835,21.094275,,28.530725
15.439575,21.1343,,28.5346
15.464475,21.16515,,28.5379
15.493325,21.190975,,28.555025
15.49995,21.21435,,28.573725
15.520425,21.239425,,28.581125
15.5311,21.273475,,28.599725
15.545375,21.3022,,28.6191
15.60185,21.442325,,28.62475
15.616725,21.47385,,28.6331
15.627425,21.51455,,28.63815
15.715175,21.693375,,28.6501
15.73415,21.730375,,28.674675
15.76005,21.758375,,28.68825
15.79,21.9537,,28.73595
15.8044,22.060575,,28.784525
15.850075,22.101875,,29.8202
15.871575,22.124475,,29.99335
15.894425,22.19905,,32.862175
15.91415,22.305275,,32.871625
15.976275,22.327275,,32.87505
16.07585,22.3896,,32.878875
16.113075,22.416225,,32.8819
16.124325,22.46965,,32.8847
16.1463,22.486725,,32.887325
16.156525,22.503675,,32.889825
16.17665,22.509,,32.892575
16.219625,22.545975,,32.895625
16.235375,22.590325,,32.898525
16.24335,22.618,,32.9167
16.317475,22.633125,,32.93835
16.32925,22.641425,,32.951775
16.3855,22.6574,,32.967575
16.39275,22.6794,,32.976675
16.414125,22.7589,,33.2634
16.46725,22.77705,,33.266
16.486825,22.80275,,33.280625
16.502125,22.8256,,33.2935
16.534425,22.925575,,33.29735
16.5531,23.04795,,33.301
16.557825,23.073075,,33.32935
16.612275,23.106075,,33.3381
16.629825,23.178375,,33.4786
16.660825,23.22915,,33.4831
16.67595,23.312225,,33.490775
16.679575,23.3765,,33.495475
16.71985,23.387925,,33.500275
16.75085,23.4126,,33.5069
16.8145,23.435075,,33.52975
16.827025,23.4757,,33.536575
16.843325,23.4966,,33.5429
16.8591,23.5744,,33.547575
16.869675,23.61765,,33.5524
16.897275,23.663775,,33.57515
16.9169,23.728875,,33.589
16.93425,23.774975,,33.619975
16.9362,23.805525,,33.636125
16.949325,23.847175,,33.651175
16.952425,23.9206,,33.67025
16.9726,23.94795,,33.68935
16.984275,24.00565,,33.70935
17.007,24.186725,,33.736125
17.02405,24.274275,,33.749925
17.04725,24.29855,,33.7703
17.0577,24.3666,,33.779575
17.0775,24.387725,,33.787575
17.10425,24.411425,,33.79645
17.1346,24.458625,,33.815725
17.145425,24.471975,,33.828825
17.160975,24.4796,,33.83495
17.199775,24.510925,,33.86295
17.21,24.5186,,33.92795
17.24135,24.560875,,33.93605
17.25495,24.606825,,33.9465
17.27495,24.6692,,33.967425
17.283225,24.7081,,33.996525
17.29375,24.81035,,34.211875
17.305875,24.829275,,34.650775
17.3393,24.85945,,34.6542
17.3663,24.887275,,34.658875
17.395425,24.9201,,34.661525
17.409375,24.9519,,34.667125
17.446475,24.99295,,34.672725
17.462025,25.0604,,34.67805
17.491975,25.172575,,34.68675
17.501975,25.22245,,34.692775
17.51305,25.262075,,34.713025
17.518,25.29975,,34.718375
17.52805,25.320025,,34.752725
17.5695,25.34935,,34.7574
17.57785,25.3704,,34.76955
17.5978,25.40095,,34.7768
17.60525,25.4149,,34.78455
17.615925,25.4293,,34.7962
17.634925,25.678475,,34.826825
17.65465,25.699425,,34.83125
17.668525,25.77855,,34.83475
17.688975,25.83565,,34.9506
17.6928,25.858575,,34.960075
17.725525,25.878175,,34.976475
17.73525,25.90495,,34.98035
17.764575,25.963575,,34.988625
17.804775,25.993025,,35.0267
17.8334,26.00335,,35.0356
17.840875,26.0119,,35.039525
17.856375,26.06755,,35.07165
17.875475,26.101675,,35.07715
17.900625,26.147175,,35.089275
17.91445,26.185475,,35.0954
17.932725,26.193125,,35.0989
17.940575,26.230325,,35.1101
17.947825,26.266375,,35.1227
17.9813,26.39045,,35.773375
17.992425,26.41715,,36.16235
18.0022,26.519025,,36.719525
18.03765,26.54625,,36.734125
18.0431,26.662925,,36.73735
18.060575,26.7713,,36.74015
18.068525,26.8458,,36.74265
18.10225,26.887725,,36.747975
18.108275,26.942125,,36.775175
18.117875,26.96275,,36.77845
18.1326,27.006775,,36.78565
18.14015,27.047175,,36.7939
18.165925,27.05725,,36.805375
18.17715,27.065425,,36.8139
18.223,27.098775,,36.874375
18.2411,27.15545,,36.878325
18.290275,27.17745,,36.89795
18.327775,27.199875,,36.911575
18.341825,27.211925,,36.931975
18.3591,27.215875,,36.95775
18.362425,27.267825,,36.9731
18.372,27.27405,,36.97825
18.386,27.310825,,36.981575
18.408375,27.374225,,36.983375
18.42645,27.388975,,37.017925
18.4422,27.415075,,41.2116
18.463975,27.4554,,42.093825
18.5037,27.54235,,43.1702
18.5229,27.607125,,43.7508
18.53795,27.673125,,43.7532
18.552925,27.7448,,43.7609
18.567175,27.775675,,43.763325
18.5864,27.81125,,43.76585
18.611025,27.83965,,43.7708
18.6185,27.886,,43.773725
18.64955,27.92055,,43.78005
18.6626,27.948475,,43.79175
18.665725,27.978025,,43.805125
18.6728,28.010275,,43.808675
18.68605,28.178175,,43.82925
18.693625,28.201125,,43.852675
18.708975,28.24505,,43.8819
18.772325,28.2855,,43.889
18.7739,28.369025,,43.89555
18.812,28.4427,,43.91365
