SPK_SPKC01a (NA),SPK_SPKC04a (NA),SPK_SPKC11a (excited)
34.23725,,31.37925
34.242975,,31.459275
34.2452,,31.521025
34.2841,,31.56165
34.287925,,31.596675
34.300425,,31.6446
34.303925,,31.7001
34.331575,,31.741775
34.33935,,31.7726
34.345975,,31.79845
34.38225,,31.84115
34.402725,,31.8781
34.4197,,31.9245
34.448075,,31.998975
34.457025,,32.056025
34.484675,,32.130875
34.536075,,32.18235
34.679,,32.21265
34.687025,,32.2299
34.721275,,32.266875
34.74325,,32.3362
34.75235,,32.36405
34.785075,,32.4053
34.797175,,32.442675
34.906275,,32.46845
34.9649,,32.50165
34.982125,,32.54435
35.021825,,32.57215
35.05895,,32.611975
35.1502,,32.6549
35.17035,,32.697175
35.22305,,32.74435
35.46365,,32.799425
35.49575,,32.865325
35.5519,,32.906425
35.858475,,32.928975
36.075125,,32.95975
36.087975,,32.9884
36.105125,,33.021925
36.120075,,33.052
36.131325,,33.11
36.14715,,33.16405
36.169675,,33.20615
36.182725,,33.225925
36.235725,,33.251525
36.2431,,33.275375
36.24845,,33.326975
36.25555,,33.3626
36.260725,,33.410375
36.2922,,33.448475
36.332325,,33.4849
36.336675,,33.51765
36.34085,,33.554975
36.3519,,33.592625
36.362125,,33.62535
36.411175,,33.672975
36.44135,,33.714275
36.5748,,33.74735
36.596475,,33.78895
36.621625,,33.8934
36.627375,,33.9784
36.776275,,34.04965
36.782125,,34.0814
36.82665,,34.1123
36.909375,,34.1518
36.989025,,34.2056
36.994025,,34.252775
37.023475,,34.301975
37.0324,,34.4214
37.115275,,34.4501
37.1307,,34.47205
37.167275,,34.5062
37.2458,,34.56
37.28295,,34.59335
37.345675,,34.644525
37.351075,,34.6839
37.48915,,34.718225
37.530925,,34.807025
37.540675,,34.855225
37.630825,,34.878775
37.750175,,34.894975
37.82575,,34.92235
37.945325,,34.95285
37.9866,,35.003925
38.051175,,35.045675
38.2626,,35.107925
38.333375,,35.175725
38.371175,,35.25635
38.394625,,35.286175
38.423925,,35.299025
38.45825,,35.31225
38.528225,,35.33915
38.551825,,35.364825
38.55505,,35.3892
38.66035,,35.412175
38.700025,,35.426
38.7348,,35.450825
38.7543,,35.4851
38.9078,,35.506575
38.985275,,35.542225
38.995725,,35.579325
39.1623,,35.60245
39.238775,,35.709
39.243925,,35.7664
39.25835,,35.830775
39.40855,,35.8863
39.4602,,35.925575
39.47475,,35.95085
39.481175,,35.967875
39.5463,,35.999075
39.558775,,36.027825
39.588,,36.075825
39.5924,,36.122725
39.676975,,36.169925
