SPK_SPKC10a (inhibited),SPK_SPKC14a (weak inhibition)
203.214625,133.089025
203.78375,133.201325
203.9824,133.254175
204.159925,133.36595
204.778325,133.381275
204.8111,133.434875
204.8488,133.724025
204.865375,133.83
205.169475,134.003675
205.18025,134.26095
205.234175,134.31045
205.2738,134.653975
205.535925,134.7962
205.57885,134.8485
205.691875,134.89225
206.211325,135.2873
206.22805,135.314125
206.246875,135.431075
206.687775,135.525125
206.785775,135.60165
207.21615,135.666625
207.2625,135.829175
207.333225,135.90305
207.383675,135.94435
207.81715,136.10735
207.85025,136.1774
207.952025,136.21385
208.640925,136.269425
208.64675,136.41175
208.752425,136.4353
209.135075,136.843525
209.158425,136.883875
209.1938,136.955875
209.524875,137.301225
209.8832,137.3163
210.004775,137.4362
210.060775,138.0885
210.453875,138.13075
210.562075,138.167675
210.729175,138.43535
210.775375,138.549275
210.800925,138.7029
211.044625,138.742375
211.441875,139.001675
211.982475,139.0231
212.1375,139.299175
212.209425,139.480625
212.264425,139.5254
212.467325,139.5454
212.803425,139.93455
212.819125,139.991225
212.828925,140.0301
213.431725,140.1388
213.760425,140.1653
214.05755,140.22445
214.793875,140.45955
214.845625,140.52605
215.144025,140.56775
215.48755,140.607625
215.886875,140.6999
216.498025,140.768475
216.5035,141.13035
216.510425,141.156375
217.0233,141.20415
217.18935,141.309475
217.5317,141.59205
217.685175,141.72055
217.897325,141.8403
217.918225,142.271325
217.935875,142.3205
218.02765,142.35505
218.070375,142.418375
218.138575,142.536625
218.4661,142.587375
218.4692,142.668975
218.558325,142.760125
218.9215,142.9416
219.1454,142.975975
219.44055,143.032275
219.82335,143.21295
219.851625,143.26465
219.9146,143.32255
219.94365,143.414825
220.42575,143.469875
220.435225,143.530025
220.45035,143.563275
220.476525,143.60355
220.5008,143.629125
220.768125,143.7073
221.182825,143.776725
221.550675,143.811275
221.584125,143.83455
221.851825,143.91195
222.278025,144.040125
222.616125,144.127325
222.92925,144.193525
222.9447,144.235375
223.519875,144.309575
223.605975,144.3982
223.71225,144.454775
223.75685,144.509475
223.80035,144.732775
223.92155,145.1068
224.21255,145.66495
224.281375,145.723425
224.64965,145.975475
224.739125,146.187475
225.0506,146.4084
225.347675,146.869975
225.792875,147.116525
225.821425,147.23435
226.01715,147.330225
226.056625,148.048125
226.3718,148.128375
226.67755,148.177175
227.042675,148.468975
227.054625,148.860825
227.153375,148.905
227.3539,148.96885
227.4049,149.214925
227.783,149.5642
228.02855,149.856475
228.156325,149.871875
228.268025,149.888425
228.432925,149.982125
228.4815,150.062775
228.553475,150.2967
228.580575,150.367425
228.63985,150.691
228.822375,150.732125
228.9066,150.757775
228.9488,150.7884
228.97225,151.0989
229.289825,151.121125
229.2967,151.161675
229.6246,151.217975
229.62705,151.3792
229.668025,151.770625
230.0197,151.8273
230.02815,152.020325
230.04625,152.112375
230.050675,152.296225
230.111,152.31995
230.246875,152.66715
230.252175,152.7678
230.428625,152.85285
230.460775,152.918975
230.510025,152.96545
230.6087,153.0273
230.88265,153.085
231.45285,153.17605
231.49895,153.23685
232.024575,153.300375
232.346775,153.3545
232.6716,153.418525
232.710575,153.492575
232.888675,153.60245
233.234075,153.654025
233.253675,153.7773
233.259225,153.86215
233.6822,154.16155
233.6854,154.323975
233.70315,154.503025
234.118725,154.676
234.765675,154.867225
234.802575,155.012375
235.127525,155.3236
235.52445,155.4049
235.58115,156.08605
235.686775,156.28405
235.930975,156.411
235.9683,156.5146
236.02135,156.56575
236.249975,156.589875
236.611725,156.608275
236.6913,156.888575
236.9827,156.9534
236.997725,157.002575
237.0502,157.04795
237.45875,157.167725
237.60695,157.256525
237.65975,157.3684
237.67805,157.450325
238.0659,157.4957
238.27455,157.5705
238.36455,157.72925
238.385575,157.922275
238.77195,157.947225
238.885125,158.10625
239.189375,158.1872
239.558425,158.20995
239.605525,158.23975
239.95955,158.28495
239.967225,158.330325
240.4973,158.66415
240.6072,158.7134
240.7319,158.8027
241.021925,158.843075
241.030475,158.898175
241.575025,159.342725
241.909575,159.42485
241.937275,159.454675
242.047575,159.4834
242.0792,159.50475
242.35445,159.594625
242.768625,159.638075
242.804975,159.67895
242.820975,159.918075
242.849675,159.98765
242.8691,160.271625
243.1165,161.084725
243.1282,161.20745
243.245525,161.7257
243.6917,161.788275
243.721225,161.82545
243.739075,161.883025
244.0849,161.938875
244.498925,162.193375
244.6632,162.2651
244.691925,162.3125
245.177,162.55855
245.443475,162.87395
245.83725,162.88525
245.916125,162.953875
246.08125,163.034575
246.476425,163.129625
246.491,163.464875
246.493125,163.584625
246.778425,163.73235
247.13335,163.821075
247.680625,163.9257
248.104125,164.0716
248.15325,164.10185
248.696875,164.11765
248.722375,164.27545
248.759375,164.324275
248.805825,164.421025
248.8524,164.468575
249.240825,164.58575
249.8074,164.69415
249.9765,164.723575
250.018175,164.782675
250.11445,164.8232
250.147075,164.973025
250.15295,165.274875
250.57615,165.327175
250.656725,165.43265
250.69225,165.484975
250.969,165.56425
251.016025,165.6645
251.0906,165.715725
251.103575,165.887475
251.3726,166.156525
251.419475,166.185
251.45035,166.2047
251.473,166.262425
251.822525,166.47925
251.8347,166.5602
251.869825,166.8096
252.3502,166.856
252.363375,166.8873
252.396675,166.9813
252.439375,167.01335
252.604225,167.058775
252.698375,167.142925
252.986425,167.21485
253.760025,167.452775
254.176,167.47385
254.73525,167.490825
254.7552,167.543025
254.7723,167.563775
254.991625,167.793775
255.270675,167.914925
255.29345,168.07315
255.431075,168.196075
255.572075,168.271
255.9421,168.413225
256.098475,168.7139
256.454725,168.725925
256.478175,168.751775
256.60495,168.77235
256.630275,168.79625
256.655375,168.875975
257.209825,168.907225
257.223675,169.008775
257.78505,169.094125
258.4284,169.171425
258.461175,169.2774
258.5378,169.333925
259.4506,169.37465
259.464775,169.491475
259.5456,169.5948
259.602575,169.640575
259.970925,169.65895
260.070675,169.680175
260.916125,169.858325
261.101675,169.941
261.5526,169.965525
261.5557,169.98585
261.591725,170.067025
261.6588,170.188425
261.8824,170.338225
261.96305,170.4198
262.19095,170.529625
262.259875,170.772475
262.285575,170.82095
262.753225,170.899075
263.058375,171.079375
263.310375,171.2226
263.6985,171.236675
263.710575,171.51365
