SPK_SPKC04a (inh/exc),SPK_SPKC06a (inhi),SPK_SPKC09a (inhi)
314.988625,351.678475,323.927725
315.00185,351.725125,323.957075
315.008625,351.729825,323.99805
315.01675,351.7414,324.0416
315.021425,351.7466,324.06135
315.031625,351.764475,324.071675
315.0502,351.8082,324.108125
315.066975,351.81205,324.12085
315.08485,351.81655,324.130875
315.100775,351.826175,324.13805
315.114525,351.838275,324.166425
315.12645,351.8501,324.18375
315.1383,351.8727,324.192
315.148025,351.9161,324.20085
315.1779,351.921425,324.226525
315.18615,351.947025,324.254225
315.2354,352.009675,324.2719
315.263125,352.09295,324.288225
315.280875,352.11195,324.310225
315.305375,352.1712,324.344975
315.326,352.27135,324.380275
315.334075,352.3102,324.421175
315.362375,352.420275,324.43895
315.392375,352.4695,324.514
315.400775,352.479525,324.52755
315.44205,352.492825,324.542325
315.458775,352.518125,324.575825
315.4734,352.591325,324.599575
315.4756,352.6006,324.61915
315.496925,352.609675,324.66245
315.56165,352.638625,324.738125
315.562925,352.64585,324.886325
315.576975,352.663325,324.9116
315.597125,352.683675,324.922575
315.610525,352.757125,324.946575
315.62075,352.7732,324.968975
315.638475,352.793475,324.991175
315.646525,352.80835,324.99485
315.676675,352.830975,325.154575
315.71535,352.8518,325.2457
315.74475,352.86845,325.318425
315.76825,352.87725,325.409275
315.78155,352.899625,325.435825
315.798975,352.90555,325.457475
315.830225,352.9111,325.47345
315.84545,352.928125,325.490375
315.852425,352.941025,325.50415
315.879525,352.97185,325.518425
315.89595,352.982475,325.53085
315.900325,353.0099,325.546775
315.91475,353.044675,325.5504
315.92895,353.063725,325.59685
315.935175,353.08605,325.62195
315.94625,353.12815,325.664775
315.97875,353.145,325.7826
315.98915,353.18595,325.79605
316.017675,353.293575,325.808075
316.04545,353.299125,325.834725
316.065425,353.30925,325.8613
316.092625,353.31285,325.881775
316.1195,353.324225,325.902775
316.139475,353.339375,325.923325
316.14815,353.346825,325.94695
316.191,353.351,325.974725
316.2071,353.3635,326.022975
316.241925,353.37215,326.05725
316.261075,353.37745,326.29655
316.279425,353.403675,326.325925
316.293825,353.4718,326.34595
316.308975,353.504675,326.35835
316.31665,353.5654,326.384325
316.326825,353.589925,326.40975
316.35335,353.65245,326.450825
316.36965,353.658,326.510125
316.38565,353.692775,326.552775
316.404525,353.7024,326.564475
316.42975,353.75075,326.6194
316.4515,353.78405,326.637525
316.474775,353.8567,326.658925
316.50105,353.862425,326.6954
316.549225,353.900825,326.716925
316.58235,353.916,326.731175
316.606325,353.926675,326.746775
316.627825,353.9616,326.757025
316.68305,353.980625,326.7755
316.70305,353.991425,326.800575
316.71945,354.0026,326.811825
316.73215,354.011425,326.8304
316.769775,354.0509,326.8428
316.796025,354.09875,326.859625
316.806275,354.14295,326.8692
316.8272,354.2292,326.885625
