SPK_SPKC05a (inh),SPK_SPKC09a (inhi),SPK_SPKC14a (no response or late inhi),SPK_SPKC15a (inhi)
111.439425,107.449925,65.23,95.483325
111.915225,107.688675,65.400925,95.614675
112.0901,107.924025,65.483225,95.7014
112.12075,109.7799,65.53705,95.828325
112.133475,110.3195,65.65435,96.007575
112.602175,110.6509,65.722575,96.13165
112.787475,110.8122,65.72605,96.5459
113.01455,111.12315,65.929925,96.7174
113.540025,111.3425,66.004275,97.297
113.66555,111.4684,66.256525,97.447275
113.6726,111.546125,66.35135,97.582925
113.793225,111.6417,66.4039,97.847475
114.173575,111.7189,66.589675,97.982025
114.383775,111.825675,66.79655,98.15585
114.5528,112.097825,66.9555,98.436575
115.6983,112.160125,67.047775,98.55775
116.03065,112.25135,67.1674,99.0038
116.07285,112.62085,67.244525,99.284825
116.530375,115.173075,67.319725,99.502125
116.98125,115.4509,67.439925,99.673825
117.25995,116.57145,67.574675,99.745575
117.338375,117.014775,67.7212,99.8047
117.504225,117.154025,67.95915,99.848225
117.5567,117.3372,67.991675,99.957175
117.6057,117.8644,68.17785,100.197925
117.6747,118.914625,68.261175,100.3717
117.772125,119.41665,68.291875,100.512075
118.1547,119.4783,68.3637,100.693925
118.201175,119.62825,68.49305,100.7755
118.3359,120.1618,68.5906,101.142075
118.393475,122.437375,68.83045,101.231475
118.433375,123.417025,69.0113,101.40915
118.49785,123.59695,69.032,101.612075
119.1451,124.6515,69.0918,101.620025
119.3803,124.796225,69.1603,101.784875
119.68375,125.035025,69.240075,101.817075
120.079925,125.278225,69.377825,101.888525
120.383325,125.699775,69.49145,101.946225
120.640025,126.07465,69.537325,102.117975
120.893725,127.04975,69.57405,102.279075
121.281725,127.228225,69.6332,102.3813
121.6865,127.3358,69.78695,102.49665
121.90295,127.397425,69.90225,102.634975
122.15735,127.891375,70.104425,102.7669
122.5399,128.832725,70.165975,102.877925
122.641025,128.9512,70.274825,102.98955
122.74935,129.119775,70.4967,103.1341
122.9709,129.49145,70.758725,103.252675
123.149975,129.733575,70.8338,103.362075
123.2432,130.4341,70.9519,103.52145
123.54375,130.788275,71.0972,103.55145
123.6023,131.840825,71.174325,103.681875
123.7656,133.2938,71.4351,103.816225
124.119825,133.78125,71.47845,103.99565
124.188025,134.868375,71.6347,104.125575
124.39015,135.500025,71.837425,104.36505
124.531875,135.617575,72.060575,104.464825
124.94185,136.256425,72.157575,104.5743
125.605825,136.269325,72.5083,104.667975
125.796425,136.543375,72.5812,104.7858
125.8023,136.92415,72.802425,104.920525
126.17205,137.467975,72.8944,105.043825
126.4329,137.670725,73.106,105.21055
126.606175,137.88215,73.39605,105.31735
126.832625,138.008925,73.53845,105.529575
127.389275,138.416725,73.643275,105.6725
127.5098,138.866775,73.96355,105.739475
127.68745,139.003,74.28345,105.9921
