SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC08a,SPK_SPKC10b,SPK_SPKC11a
155.471325,187.625725,156.7961,237.2756,162.535475
155.47925,187.99175,156.8351,237.416425,162.566175
155.514025,188.105475,156.857625,238.44775,162.5971
155.53725,188.11755,156.88085,238.459325,162.6108
155.543825,188.216375,156.919075,238.48115,162.6261
155.551225,188.231325,156.9443,238.599825,162.642675
155.55625,188.249225,156.999275,238.668675,162.6616
155.5599,188.500075,157.037525,238.82415,162.6883
155.5651,188.532425,157.05885,238.843875,162.7479
155.56835,188.57045,157.071375,239.217975,162.769975
155.572375,188.63875,157.090825,239.2367,162.9009
155.5782,188.6868,157.101625,239.280375,162.927625
155.5849,188.719225,157.1123,239.307625,162.99595
155.594175,188.982325,157.13255,239.3397,163.0238
155.596475,188.997025,157.1454,239.351475,163.0391
155.602625,189.0493,157.171325,239.6469,163.0865
155.636875,189.0812,157.189275,239.66215,163.100525
155.640275,189.206925,157.205125,239.682975,163.132275
155.66165,189.487875,157.23125,239.69945,163.21185
155.702375,189.534575,157.241075,240.547875,163.22135
155.71825,189.9352,157.26195,240.5618,163.354525
155.7331,190.070025,157.286625,240.596975,163.367425
155.74545,190.238,157.3044,240.6116,163.3855
155.7644,190.46075,157.315925,240.673675,163.485575
155.766825,190.47045,157.33705,240.71725,163.5169
155.7827,190.53835,157.356,240.756925,163.5324
155.812775,190.5898,157.372475,240.78865,163.546675
155.817475,190.634425,157.387525,241.059975,163.606275
155.8267,190.70155,157.406025,241.071375,163.619575
155.86315,190.70965,157.44605,241.078875,163.6887
155.86975,190.768925,157.461975,241.09235,163.71855
155.894125,190.77935,157.48875,241.106275,163.7614
155.92015,190.7885,157.536625,241.12555,163.770575
155.934525,190.87775,157.597775,241.212025,163.77885
155.948475,190.898775,157.6368,241.28525,163.829725
155.9561,190.933675,157.661,241.65555,163.850875
155.96755,190.988075,157.7301,241.666525,163.87255
155.982525,191.32895,157.761625,241.6951,163.930925
156.0041,191.333725,157.80175,241.724225,164.08375
156.02575,191.5436,157.830875,241.757625,164.1227
156.04905,191.551675,157.897525,241.84085,164.172125
156.068925,191.587325,157.904725,242.1782,164.183625
156.09225,191.652125,157.912175,242.20665,164.1961
156.11725,191.74255,157.921325,242.214475,164.2039
