SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC12c,SPK_SPKC14a
116.176425,190.20135,111.768125,109.197825,126.57875
116.200525,190.22015,111.780725,109.21915,126.6183
116.253825,190.371475,111.818125,109.23965,126.62505
116.286225,190.4184,111.8435,109.256275,126.637425
116.3073,190.974775,111.8678,109.27105,126.65635
116.332325,191.35555,111.8817,109.284925,126.67515
116.37425,191.372975,111.906925,109.34085,126.690425
116.385275,191.528425,111.91585,109.360025,126.755075
116.400225,191.5815,111.9306,109.3829,126.7969
116.4673,191.5935,111.9791,109.45075,126.8232
116.48795,191.630575,112.0101,109.502925,126.8588
116.516725,191.869025,112.023175,109.522275,126.89375
116.546625,192.0238,112.0509,109.5373,126.90725
116.5757,192.191825,112.06265,109.5733,126.995125
116.58085,192.262125,112.105675,109.594875,127.07055
116.6789,192.35695,112.11915,109.624975,127.076175
116.770375,192.4413,112.130875,109.635975,127.115525
116.78055,192.56975,112.142875,109.6737,127.142775
116.838725,192.60515,112.152675,109.696425,127.25445
116.85855,192.66055,112.1637,109.71895,127.27615
116.98305,192.952925,112.177425,109.7392,127.29865
117.005275,193.0652,112.18815,109.76715,127.30185
117.01685,193.609975,112.197075,109.800825,127.4426
117.040575,193.623625,112.21005,109.84375,127.5791
117.061675,193.97825,112.215075,109.868075,127.60495
117.09165,194.05175,112.2257,109.8831,127.633725
117.108725,194.446225,112.266525,109.901175,127.66865
117.11395,194.467975,112.2897,109.912725,127.720525
117.1578,194.68775,112.3124,109.94225,127.745325
117.170175,194.868025,112.321075,109.9596,127.7788
117.19375,194.99595,112.355725,109.981575,127.8479
117.202075,195.1283,112.364125,109.999025,127.97075
117.2167,195.4651,112.378875,110.0245,127.983575
117.2276,195.52645,112.4248,110.0302,128.006975
117.2394,195.579925,112.437325,110.06085,128.04025
117.261775,195.62605,112.48075,110.078525,128.053425
117.276125,195.819025,112.50825,110.100925,128.11595
117.287,195.845,112.531825,110.142475,128.15265
117.33695,195.928025,112.563775,110.163075,128.195975
117.4128,196.044675,112.57865,110.20945,128.2789
