SPK_SPKC01a (inhi),SPK_SPKC04a (inhi),"SPK_SPKC05a (sharp exc, maybe artef)",SPK_SPKC10a (inhi)
22.88855,63.111925,22.681,75.083875
22.930075,63.128225,22.692575,75.3256
22.987925,63.410125,22.70955,75.40465
22.997075,63.4388,22.7386,75.93835
23.03855,63.7284,22.76625,75.96025
23.076925,63.743375,22.780525,76.1979
23.265675,63.7709,22.800425,76.3985
23.295875,63.930325,22.816875,76.493525
23.313325,64.5763,22.83235,76.579425
23.347075,64.8675,22.843425,76.954925
23.4107,65.278575,22.8626,77.004575
23.494225,65.288,22.902,77.03295
23.522125,65.309675,22.953425,77.057375
23.56175,65.335475,23.430175,77.095725
23.57935,65.6128,23.448525,77.1234
23.615775,65.964975,23.46,77.160825
23.61935,66.002075,23.475575,77.2445
23.639075,66.03125,23.503075,77.3297
23.68265,66.343425,23.511825,77.365475
23.6978,66.350375,23.5225,77.698675
23.71985,66.37885,23.54195,77.7621
23.988275,66.38595,23.55655,78.066
24.067925,66.40845,23.601225,78.144025
24.0869,66.763175,23.645375,78.184925
24.095325,66.768825,23.705025,78.333675
24.21685,66.7751,23.738275,78.642725
24.289125,66.84865,23.74695,78.6721
24.324475,67.05205,23.76745,78.718875
24.364025,67.05615,23.77185,78.811575
24.45555,67.123325,23.79705,79.120275
24.484025,67.56755,23.805725,79.147625
24.733475,68.0115,23.807725,79.1595
24.792325,68.025075,23.87675,79.252375
24.874775,68.04325,23.9121,79.44155
24.907875,68.069075,23.98855,79.5426
24.919325,68.312925,24.0158,79.89795
25.004675,68.770975,24.02615,79.91035
25.06515,68.777225,24.046825,80.102725
25.12685,69.073875,24.0565,80.356025
25.192625,69.3612,24.08145,80.61385
25.23435,69.3772,24.463775,80.661825
25.44235,69.397725,24.4802,80.6896
25.458925,69.43715,24.50505,80.719425
25.479325,69.8416,24.52545,80.75195
25.54275,69.880425,24.531325,80.7774
25.7451,69.935775,24.54535,80.7967
25.76005,69.961575,24.555625,80.934875
25.769275,70.0485,24.570525,80.982525
25.783475,70.0758,24.5845,81.045275
25.85015,70.12255,25.164875,81.138775
25.934675,70.15325,25.17645,81.149
25.94625,70.242175,25.1878,81.423275
25.986325,70.4562,25.199025,81.527625
26.1012,70.475075,25.209425,81.555375
26.130875,70.4833,25.22565,81.5986
26.1542,70.49205,25.240325,81.6702
26.206875,70.502225,25.25525,81.6891
26.24355,70.739625,25.273525,82.152175
26.2932,70.74945,25.295525,82.246275
26.3671,70.805475,25.346925,82.606475
