SPK_SPKC01a (no effect),SPK_SPKC09a (inhibited)
38.52705,124.10365
38.54825,124.1748
38.575625,124.213575
38.625625,124.22985
38.648825,124.247675
38.679075,124.261
38.701225,124.276875
38.7834,124.3145
38.820025,124.336225
38.869925,124.37505
38.894775,124.412325
38.9309,124.422075
38.9423,124.45225
38.979525,124.4965
38.998175,124.522225
39.03215,124.552675
39.053675,124.577125
39.0929,124.59125
39.128875,124.63725
39.166125,124.6547
39.203675,124.683875
39.23105,124.700225
39.305025,124.72765
39.34605,124.74585
39.3686,124.766575
39.38655,124.77925
39.4134,124.79745
39.4357,124.839475
39.471525,124.8638
39.48315,124.895775
39.50795,124.91425
39.540125,124.93065
39.58815,124.962775
39.64195,125.032425
39.687725,125.081425
39.729175,125.09815
39.816625,125.11215
39.87135,125.121225
39.935725,125.1473
39.976925,125.205075
40.049275,125.23155
40.1208,125.276475
40.19075,125.295525
40.210325,125.3243
40.25105,125.341975
40.273775,125.35155
40.301725,125.37875
40.345475,125.4
40.398875,125.41335
40.45165,125.4242
40.4582,125.434125
40.4797,125.4536
40.5361,125.504125
40.5998,125.596575
40.63495,125.610275
40.674325,125.64915
40.697925,125.688325
40.734325,125.697975
40.7596,125.735575
40.818275,125.761775
40.86255,125.7808
40.912475,125.832075
40.93855,125.844075
40.9854,125.870525
40.9868,125.89225
41.0195,125.9192
41.0508,125.9326
41.09265,125.94425
41.127,125.9821
41.150275,125.998425
41.17085,126.02445
41.197475,126.0331
41.22325,126.04105
41.24455,126.08135
41.28565,126.180275
41.3127,126.2322
41.35765,126.29905
41.38255,126.34745
41.431,126.363025
41.470075,126.384575
41.49015,126.401775
41.5237,126.434
41.555075,126.455275
41.599325,126.494825
41.648025,126.52155
41.6606,126.546625
41.689825,126.5766
41.7094,126.59935
41.7492,126.640575
41.78285,126.65655
41.7968,126.695125
41.82895,126.7052
41.840825,126.7163
41.854875,126.768175
41.8597,126.78185
41.897775,126.8227
41.97225,126.83785
42.007375,126.860375
42.03235,126.876225
42.05415,126.942025
42.1061,126.95085
42.13405,126.9653
42.155275,127.041025
42.1757,127.063
42.198875,127.081625
42.23235,127.114075
42.247025,127.1364
42.282,127.175825
42.321975,127.19985
42.35325,127.265775
42.396525,127.278825
42.423725,127.29185
42.45045,127.308225
42.4882,127.361175
42.523325,127.415575
42.55555,127.5099
42.607375,127.562625
42.63185,127.598475
42.6651,127.65645
42.70765,127.67525
42.73435,127.702875
42.77755,127.74225
42.824075,127.770175
42.8516,127.7949
42.907975,127.817575
42.9549,127.916425
42.9977,127.950525
43.05365,127.9989
43.108875,128.027625
43.1674,128.087025
43.20625,128.098225
43.24675,128.11185
43.2655,128.1447
43.309275,128.1684
43.361725,128.18705
43.410075,128.207275
43.436725,128.319975
43.4583,128.353025
43.5022,128.4341
43.5496,128.45745
43.572,128.469325
43.61285,128.49045
43.684975,128.512425
43.7216,128.552775
43.7698,128.5612
43.8244,128.575625
43.880325,128.581875
43.899125,128.60395
43.94035,128.617875
43.980625,128.640625
44.032825,128.6606
44.088925,128.69335
44.1414,128.7482
44.2435,128.77855
44.275975,128.811675
44.315725,128.81685
44.3341,128.8326
44.377825,128.847125
44.4299,128.8827
44.4737,128.9422
44.508575,128.964775
44.5337,128.984925
44.547075,128.9963
44.601525,129.0429
44.62745,129.0903
44.66965,129.109725
44.707675,129.147725
44.74375,129.2268
44.778925,129.228175
44.850025,129.2534
44.90135,129.2729
44.9301,129.289375
44.9798,129.308475
45.004625,129.3819
45.045275,129.416275
45.0949,129.428375
45.1444,129.486675
45.17925,129.50005
45.224125,129.50875
45.279375,129.52315
45.31575,129.5348
45.3712,129.5557
45.390625,129.57715
45.4155,129.615325
45.464475,129.628575
45.491125,129.750025
45.523225,129.75995
45.5599,129.77285
45.625025,129.8248
45.7054,129.8576
45.74395,129.879025
45.80925,129.8934
45.8403,129.912075
45.888125,129.966075
45.918125,129.980625
45.9565,130.056475
46.005825,130.18535
46.0605,130.265675
46.07965,130.32675
46.127125,130.36125
46.130625,130.41605
46.208725,130.6208
46.24615,130.650325
46.270425,130.676125
46.3352,130.72535
46.39895,130.751725
46.432875,130.794175
46.4825,130.81195
46.51655,130.828625
46.5715,130.85925
46.621225,130.9285
46.6619,130.95325
46.708025,130.9642
46.7284,130.993975
46.76685,131.013975
46.7869,131.06385
46.811325,131.0825
46.8261,131.12865
46.83695,131.1535
46.85325,131.20835
46.88005,131.250875
46.909675,131.2763
46.931025,131.29575
46.970425,131.31435
47.0099,131.35475
47.03795,131.377025
47.068375,131.466075
47.10095,131.5264
47.14265,131.55735
47.183025,131.6085
47.209225,131.678175
47.229125,131.71555
47.257425,131.87765
47.281875,131.894
47.299025,131.9238
47.328075,131.98765
47.352075,132.009475
47.3833,132.03805
47.4209,132.0779
47.45215,132.150325
47.477725,132.29515
47.51745,132.331475
47.5495,132.39845
47.584,132.457475
47.616775,132.4797
47.628225,132.5308
47.640575,132.5729
47.6727,132.60055
47.71445,132.776225
47.74185,132.794825
47.813625,132.800625
47.8412,132.81095
47.880325,132.817
47.9209,132.82645
47.953975,132.836725
47.98215,132.8472
48.003925,132.851275
48.028075,132.85965
48.047475,132.8725
48.062,132.926675
48.0918,132.971
48.119025,132.98525
48.133575,133.051425
48.153175,133.07775
48.1978,133.13745
48.2031,133.203375
48.2376,133.258125
48.260025,133.3157
48.28285,133.34625
48.309325,133.3814
48.33005,133.4227
48.367075,133.53735
48.394075,133.564075
48.4391,133.590625
48.48525,133.6006
48.519875,133.628975
48.557775,133.683325
48.586275,133.721825
48.6123,133.7568
48.631375,133.836375
48.654875,133.854875
48.686525,133.8718
48.70585,133.91215
48.726425,133.9472
48.755375,133.97525
48.7959,134.014275
