SPK_SPKC09a (exc),SPK_SPKC14a (no opto-tagging)
206.16995,171.9915
206.5086,172.0935
206.699825,172.18905
206.847625,172.39
206.94685,172.49265
207.005075,172.594325
207.258125,172.68965
207.515225,172.97035
207.63325,173.046875
207.783825,173.147575
207.934025,173.250625
208.0322,173.358625
208.132725,173.4545
208.287025,173.5313
208.47455,173.6082
208.7119,173.70015
208.8485,173.78765
208.93555,173.867775
209.0203,173.957825
209.124025,174.053125
209.200975,174.177375
209.38115,174.379175
209.45755,174.470175
209.54475,174.565275
209.632725,174.632375
209.727,174.728025
209.8303,174.8443
210.3373,174.904775
210.501675,174.99555
210.842075,175.0681
210.949075,175.25685
211.043775,175.3272
211.11195,175.425675
211.216775,175.491775
211.532475,175.555725
211.599475,175.633775
211.706325,175.69075
211.9307,175.7437
212.0487,175.86525
212.141325,175.9287
212.357725,175.974825
212.463075,176.0417
212.50155,176.1222
212.6406,176.2434
212.75185,176.353425
212.885075,176.48615
212.97095,176.622875
213.05215,176.741825
213.16755,176.822375
213.303325,176.964225
213.3722,177.060825
213.442225,177.172725
213.7321,177.40975
213.825225,177.486975
213.91555,177.614375
214.0276,177.720025
214.0622,177.7387
214.106925,177.78125
214.160375,177.861975
214.238775,177.98175
214.3255,178.0513
214.399225,178.126325
214.578525,178.328375
214.627925,178.512425
214.720425,178.582875
214.971825,178.708075
215.0695,178.8619
215.160525,178.964
215.278975,179.039475
215.398225,179.2952
215.45885,179.398825
215.524,179.532175
215.5761,179.640425
215.7026,179.7917
215.8158,179.96355
215.92065,180.08865
216.012975,180.259175
216.07085,180.349225
216.233525,180.394825
216.35225,180.4633
216.4797,180.60645
216.5882,180.711175
216.720875,180.81425
216.779975,180.988675
216.85805,181.13025
216.937,181.231125
216.991175,181.3032
217.1034,181.3662
217.1572,181.4355
217.237775,181.5716
217.338,181.612875
217.419475,181.659675
217.48065,181.75365
217.582825,181.850475
217.686075,181.9543
217.7697,182.031925
217.92415,182.110025
217.984475,182.2143
218.0698,182.31665
218.126675,182.460025
218.17315,182.629975
218.233475,182.7242
218.302875,182.78975
218.363675,183.031875
218.42685,183.104575
218.516125,183.1782
218.61115,183.22915
218.666725,183.3323
218.7177,183.421575
218.82375,183.4395
218.8935,183.4976
218.9814,183.770675
219.199775,183.86035
219.333625,183.94045
219.4612,184.0264
219.5481,184.180175
219.6177,184.2724
219.709725,184.664425
219.780125,184.75945
219.89425,184.87195
220.040425,184.9719
220.114,185.024375
220.27015,185.0993
220.419,185.15945
220.49805,185.24185
220.5602,185.319
220.6284,185.39555
220.700875,185.472675
220.825125,185.717075
220.898,185.805775
221.04815,185.885925
221.17655,185.955025
221.2525,186.0403
221.344825,186.102425
221.4519,186.16355
221.514975,186.219875
221.626775,186.294425
221.6889,186.37555
221.799175,186.501875
221.94995,186.512225
222.021925,186.596675
222.1071,186.704975
222.27495,186.805775
222.32625,186.885975
222.403675,186.9584
222.48685,187.0557
222.580975,187.188875
222.67565,187.206775
222.763225,187.378675
222.838375,187.471025
222.91605,187.5441
222.971925,187.61825
223.029825,187.7405
223.122475,187.90325
223.2305,187.999275
223.316275,188.108975
223.41035,188.21485
223.667725,188.3247
223.72475,188.44885
223.778975,188.754475
223.9497,188.8467
224.06335,188.9541
224.224775,189.03035
224.340325,189.24445
224.801725,189.3637
224.851775,189.441775
224.9426,189.532925
225.007325,189.6288
225.105075,189.82825
225.231225,189.906675
225.31735,189.9856
225.38235,190.17615
225.494425,190.28335
225.5509,190.47725
225.6825,190.55265
225.747125,190.6466
225.791625,190.769625
225.939775,190.8323
226.03405,190.91105
226.087,190.999925
226.146,191.099725
226.22535,191.207225
226.2899,191.316225
226.362375,191.397925
226.426875,191.518125
226.641825,191.6533
226.69225,191.809725
226.817175,191.91295
226.9107,191.990025
226.99805,192.1267
227.03925,192.2191
227.092975,192.303375
227.170925,192.4186
227.3297,192.5105
227.4363,192.707
227.51785,193.0153
227.675325,193.116925
227.813925,193.228775
227.86535,193.33735
227.93,193.4311
228.00045,193.545775
228.123525,193.655925
228.175925,193.810875
228.3827,193.904675
228.43685,194.025625
228.4721,194.150225
228.66675,194.210525
228.72415,194.286125
228.806775,194.461325
228.8751,194.5367
228.9454,194.630925
229.08715,194.712725
229.1624,194.82795
229.24045,194.929875
229.2941,195.025425
229.3465,195.124225
229.432625,195.23615
229.507925,195.32235
229.561475,195.42015
229.635125,195.503625
229.693675,195.718175
229.7504,195.8202
229.812975,195.925475
229.85665,196.021225
229.8599,196.222075
229.9244,196.357875
