SPK_SPKC01a (no clear),SPK_SPKC02b (exc),SPK_SPKC07a (exc),SPK_SPKC09c (inhi),SPK_SPKC12b (exc),SPK_SPKC14a (exc),SPK_SPKC15a (inhi/exc),SPK_SPKC16a (inhi/exc?)
359.57395,384.90525,371.4414,356.546425,377.9928,358.4908,371.243675,374.40965
359.608275,385.148925,371.45195,356.57265,378.042075,358.50155,371.30795,374.4774
359.645025,385.462,371.49955,356.596425,378.13945,358.520925,371.377975,374.71245
359.68325,385.521725,371.55365,356.619,378.3461,358.542875,371.43985,374.744525
359.722975,386.62295,371.790875,356.642475,378.39425,358.55875,371.51635,374.759275
359.7539,386.734275,372.2079,356.662175,378.462725,358.61875,371.557275,375.164
359.779425,386.7683,372.219575,356.710225,378.578125,358.6732,371.606725,375.203775
359.811825,386.78145,372.488875,356.741375,378.6062,358.7096,371.657725,375.333875
359.86175,386.829725,372.5326,356.7668,378.68505,358.7418,371.710575,375.60055
359.908275,386.8636,372.804975,356.78835,378.738575,358.7789,371.773025,375.68625
359.967525,386.91315,373.116275,356.8452,378.760475,358.799,371.83545,375.728
359.994575,387.0012,373.373475,356.850875,378.793925,358.8253,371.87075,376.08305
360.03315,387.1406,373.4619,356.866175,378.827975,358.840625,371.891625,376.1285
360.092875,387.221525,373.4955,356.8812,378.9399,358.889425,371.95285,376.306225
360.16785,387.2399,373.5862,356.89725,378.993525,358.90035,372.0755,376.345175
360.1984,387.270625,373.771475,356.923175,379.078925,358.965425,372.128725,376.368
360.211625,387.3579,373.778425,356.94785,379.114625,359.01355,372.25785,376.3838
360.2388,387.396575,373.799525,356.96805,379.487125,359.1126,372.37705,376.43065
360.285125,387.489575,374.02425,356.9882,379.6174,359.129025,372.44175,376.587025
360.314175,387.68235,374.037825,357.00185,379.8305,359.150025,372.50885,376.612275
360.3426,387.720975,374.1595,357.028575,380.076325,359.1786,372.634075,376.807975
360.37885,387.78225,374.172,357.06105,380.168025,359.21145,372.695325,376.82115
360.41515,387.795775,374.198425,357.112325,380.4658,359.251325,372.889775,377.0743
360.48575,387.81835,374.2248,357.11555,380.507475,359.2529,372.96445,377.164
360.5592,387.830375,374.26395,357.14605,380.606,359.27855,373.040225,377.22365
360.577225,388.575425,374.33075,357.16965,380.772525,359.30395,373.104525,377.278325
360.5909,388.608475,374.35795,357.1892,380.835275,359.32685,373.16765,377.33085
360.6073,388.7118,374.3811,357.204725,381.0335,359.369275,373.2263,377.358625
360.6234,388.77425,374.384125,357.220475,381.135675,359.51095,373.2977,377.418025
360.639725,388.822975,374.439375,357.242825,381.29355,359.5432,373.36875,377.613175
360.665575,388.8789,374.6437,357.267625,381.5084,359.5842,373.45065,377.630375
360.69075,388.9385,374.7798,357.2966,381.5883,359.630875,373.5222,377.706825
360.7465,389.096,374.782775,357.311125,381.610175,359.6543,373.593725,377.907075
360.805575,389.2391,375.07845,357.341225,381.76595,359.677975,373.66385,378.191275
360.8292,389.508775,375.0912,357.374,381.8795,359.70555,373.7365,378.2227
360.886225,390.1893,375.121775,357.3964,381.8857,359.8083,373.897575,378.292325
360.944675,390.294225,375.38415,357.4113,382.04265,359.8329,374.02475,378.3433
360.949575,390.5878,375.5136,357.44235,382.135175,359.86585,374.08405,378.373125
360.95535,390.72965,375.704125,357.49335,382.219275,359.9088,374.1527,378.377525
360.97895,391.0569,375.728075,357.5196,382.232825,359.954125,374.218375,379.00535
361.0164,391.14765,375.733875,357.5346,382.367,360.0079,374.28035,379.040175
361.076,391.35055,375.772875,357.549025,382.412825,360.0194,374.4081,379.07245
361.10345,391.428725,375.9703,357.572525,382.44275,360.05995,374.465625,379.119875
361.1395,391.487875,376.037275,357.589225,382.464375,360.06185,374.5248,379.149425
361.19285,391.52835,376.05925,357.70705,382.49515,360.1013,374.58525,379.2893
361.211875,391.61765,376.061875,357.72075,382.519025,360.126375,374.64705,379.339725
361.219325,391.98505,376.14375,357.775125,382.6227,360.149175,374.77115,379.47125
361.244075,392.290225,376.169225,357.81005,382.701975,360.15795,374.8358,379.5165
361.31675,392.6907,376.2232,357.8404,382.760175,360.28135,374.901775,379.52105
361.3361,392.89345,376.2375,357.894475,382.94495,360.316325,374.965025,379.5512
361.348175,392.938,376.277625,357.913575,383.033725,360.337,375.028075,379.56615
361.39165,393.032275,376.320125,357.93055,383.08985,360.404875,375.094,379.620175
361.41735,393.042675,376.343975,357.971525,383.332975,360.427425,375.1535,379.667875
361.46515,393.227875,376.365475,357.996475,383.40205,360.451075,375.216625,379.75055
361.500475,393.319475,376.39015,358.018825,383.5557,360.4841,375.2801,380.065425
361.545875,393.32975,376.461975,358.045775,383.62935,360.50475,375.3458,380.201275
361.68615,393.442325,376.620425,358.087775,383.8849,360.526925,375.409675,380.240225
361.728375,393.495775,376.867925,358.119675,384.2335,360.5474,375.49335,380.2481
361.76895,393.590075,376.8842,358.13515,384.288875,360.5824,375.558375,380.57975
361.8237,393.6957,377.10775,358.18945,384.3258,360.6281,375.628375,380.59425
361.8741,393.955375,377.254325,358.215825,384.88855,360.706875,375.701025,380.600575
361.904275,393.972375,377.298175,358.26235,385.105925,360.71505,375.77565,380.646325
361.93625,394.078625,377.311775,358.2841,385.19585,360.771525,375.8491,380.91545
361.97845,394.463175,377.347075,358.30325,385.358875,360.831025,375.916225,381.28085
362.000675,394.79245,377.37795,358.308675,385.406125,360.841975,375.993425,381.30515
362.02225,394.873075,377.380075,358.32895,385.5232,360.8573,376.07165,381.53535
362.0239,395.118125,377.433625,358.352375,385.562975,360.864975,376.1366,381.57895
362.0312,395.23745,377.64075,358.376475,385.7422,360.90535,376.2017,381.8514
362.03745,395.350325,377.674325,358.397575,385.7909,360.95615,376.338675,381.88005
362.05055,395.492,377.990975,358.42105,385.854475,360.97045,376.399375,381.9205
362.076175,395.5585,378.032425,358.47495,386.08765,361.01395,376.471075,382.01205
362.09515,395.67155,378.436825,358.500375,386.183,361.02645,376.55685,382.215475
362.1399,395.75895,378.517875,358.525,386.268075,361.04205,376.6271,382.2263
362.1473,395.802575,379.199725,358.546625,386.305175,361.07045,376.688075,382.234175
362.186925,395.839925,379.219175,358.558525,386.3571,361.13035,376.760325,382.320725
362.2149,395.868475,379.234325,358.617575,386.401625,361.154975,376.828125,382.457675
362.277125,395.92505,379.2361,358.625075,386.607025,361.172125,376.897675,382.49015
362.320075,395.959925,379.2894,358.641225,386.648225,361.19485,376.973525,382.4982
362.372325,396.0159,379.3256,358.65765,386.68995,361.1983,377.043775,382.658425
362.434075,396.048225,379.3474,358.67545,386.992325,361.20475,377.09735,382.76095
362.4973,396.08895,379.37755,358.68885,387.111175,361.2115,377.146775,382.786125
362.537575,396.15045,379.5019,358.702475,387.159525,361.2239,377.187075,382.873175
362.55885,396.17415,379.5197,358.71785,387.195075,361.257425,377.23645,382.910875
