SPK_SPKC08a (no response),SPK_SPKC09a (no response)
242.5599,268.7303
242.623625,268.75095
242.736875,268.758975
242.797275,268.7734
242.83445,268.930775
242.88595,268.93305
242.961275,269.1522
242.992425,269.167875
243.0328,269.222
243.096975,269.4334
243.157075,269.463825
243.185525,269.4767
243.394,269.4794
243.4362,269.5114
243.4702,269.63
243.48915,269.672825
243.496175,269.80945
243.5284,269.894125
243.563925,269.906425
243.657925,269.9769
243.733275,269.9945
243.746275,270.037175
243.777525,270.03985
243.826525,270.0778
243.885575,270.10095
243.926675,270.15475
243.9517,270.2163
243.9626,270.253425
243.985325,270.392925
244.037075,270.416825
244.07205,270.452825
244.132425,270.503075
244.19175,270.591125
244.197575,270.621875
244.2996,270.727675
244.330275,270.907175
244.385375,270.932575
244.42825,270.964775
244.621225,271.06925
244.643525,271.097
244.668625,271.11665
244.690925,271.146225
244.701325,271.15315
244.767525,271.259025
244.795525,271.372425
244.79715,271.437175
244.845275,271.4737
244.85025,271.53805
244.851925,271.6653
244.908275,271.694625
244.9937,271.78815
245.014225,271.812125
245.0631,271.860825
245.090275,271.94175
245.132025,272.18815
245.16885,272.200175
245.184975,272.5285
245.235425,272.5321
245.25255,272.581375
245.33275,272.588
245.336925,272.684225
245.343375,272.840075
245.357525,272.878225
245.45545,272.90125
245.457,272.95465
245.474175,272.987575
245.49205,272.997025
245.5513,273.06345
245.569625,273.08325
245.581775,273.10115
245.6297,273.10395
245.65245,273.137875
245.73055,273.26205
245.73305,273.341225
245.746625,273.376425
245.77415,273.560875
245.778775,273.582375
245.782975,273.62685
245.813475,273.640975
245.8823,273.78995
245.898175,273.794925
245.951375,273.840075
245.98285,273.9013
245.986275,273.9752
246.0561,274.038
246.09415,274.083575
246.119725,274.116525
246.14,274.170175
246.19785,274.22125
246.3045,274.27735
246.386125,274.3106
246.413175,274.44325
246.479475,274.456375
246.5012,274.47155
246.5486,274.50655
246.664825,274.714975
246.7279,274.734925
246.75875,274.776875
246.825725,274.8126
246.832475,274.955625
246.878025,274.963525
246.90935,274.972025
246.9342,275.110825
246.966425,275.353025
246.974175,275.419675
247.015375,275.429725
247.042475,275.457175
247.074775,275.486375
247.161575,275.5083
247.223825,275.561875
247.256325,275.870025
247.336525,275.9504
247.358475,275.974925
247.400175,276.0347
247.450225,276.0512
247.45775,276.179425
247.4814,276.406375
247.512825,276.4191
247.55365,276.461925
247.5799,276.578925
247.584725,276.593625
247.6228,276.750825
247.6556,276.761275
247.766575,276.812725
247.791225,276.8321
247.851875,276.8396
247.907525,276.859825
247.91535,276.892275
247.978475,276.895075
247.995275,277.04085
248.028225,277.14465
248.046425,277.2129
248.07195,277.22325
248.076,277.27435
248.151275,277.308575
248.174175,277.4348
248.19435,277.476975
248.24825,277.49005
248.294775,277.687225
248.36195,277.7551
248.44255,277.97005
248.5971,278.000675
248.622575,278.057325
248.635225,278.246775
248.685325,278.32135
248.762025,278.470675
248.77915,278.483275
248.780675,278.490525
248.914875,278.63155
248.93255,278.641325
248.9744,278.652825
248.98455,278.694325
248.99405,278.705725
249.05395,279.12125
249.067325,279.358825
249.113725,279.3735
249.152625,279.4103
249.160225,279.511075
249.213075,279.518975
249.2705,279.602325
249.3173,279.611825
249.3322,279.648375
249.33385,279.693725
249.3455,280.0833
249.4748,280.10915
249.519525,280.1851
249.548175,280.190075
249.594,280.1989
249.61195,280.276175
249.6428,280.2974
249.74705,280.30385
249.77985,280.342675
249.8197,280.367125
249.8556,280.37835
249.942125,280.455175
249.995925,280.478325
250.03835,280.664125
250.067925,280.728175
250.10495,280.742975
250.131825,280.828325
250.20845,280.92815
250.234225,281.1357
250.29465,281.1868
250.354425,281.2597
250.384325,281.292
250.429575,281.446975
250.462475,281.4866
250.49225,281.5322
250.555825,281.57185
250.5886,281.585025
250.6001,281.830575
250.654825,281.88645
250.6782,281.982175
250.73105,282.02425
250.765375,282.039525
250.7944,282.18025
250.806425,282.3186
250.83705,282.5222
250.878525,282.55515
250.89195,282.61505
250.949,282.725125
250.95995,282.89245
251.00075,283.044325
251.0305,283.351175
251.061775,283.45635
251.08575,283.8896
251.11965,283.930425
251.132075,283.944775
251.139325,283.9501
251.16625,283.9823
251.19775,284.0063
251.236925,284.023775
251.26095,284.160825
251.27675,284.403325
251.368475,284.42515
251.395825,284.446475
251.449575,284.4533
251.53345,284.479075
251.566375,284.57515
251.577375,284.62005
251.586,284.681275
251.659575,284.773025
251.666525,284.9007
251.70175,284.9429
251.725375,285.023625
251.794625,285.09925
251.8298,285.22055
251.8594,285.2724
251.881125,285.2991
251.9395,285.334425
251.9731,285.372275
252.00445,285.42605
252.055125,285.571975
252.11855,285.762325
252.206075,285.7994
252.2348,285.969375
252.41305,286.129225
252.425125,286.1514
252.455775,286.18575
252.543825,286.22595
252.61615,286.28275
252.67,286.442375
252.686175,286.46305
252.7186,286.47205
252.759125,286.47345
252.847,286.538925
252.887625,286.622425
252.912825,286.71135
252.979525,286.73555
253.025,287.143675
253.1957,287.2681
253.2247,287.389525
253.284175,287.4134
253.383475,287.4217
253.403175,287.74195
253.42135,287.867825
253.4768,287.908975
253.5745,287.936125
253.620025,287.98505
253.623575,288.079125
253.661425,288.155725
253.690075,288.169825
253.808925,288.19635
253.874,288.383
253.915725,288.54095
253.950825,288.552675
253.952775,288.748225
253.9899,288.881825
253.99405,288.943775
254.05745,288.9922
254.0915,289.006325
254.117825,289.0087
254.154875,289.140225
254.26165,289.1788
254.2966,289.20725
254.376925,289.3253
254.413275,289.3544
254.441275,289.3777
254.515875,289.3956
254.52995,289.40915
254.643775,289.47915
254.7084,289.491725
254.76935,289.51735
254.8925,289.549125
254.920175,289.652775
254.9513,290.04585
254.988275,290.081125
255.0212,290.22135
255.08085,290.29015
255.19905,290.32295
255.22925,290.3696
255.27845,290.398725
255.324275,290.45805
255.369925,290.4847
255.38575,290.584325
255.458875,290.608625
255.5016,290.790075
255.5596,290.87965
255.620575,290.904225
255.6623,291.212475
255.730025,291.278675
255.76605,291.289275
255.875075,291.4318
255.92875,291.486625
255.9301,291.6193
255.959675,291.7502
255.9988,291.7834
256.0234,291.845775
256.107425,291.948925
256.21495,292.0526
256.239,292.319875
256.291375,292.35005
256.3958,292.41175
256.448275,292.528675
256.47735,292.6255
256.536925,292.79615
256.578725,292.817525
256.623525,292.858675
256.64745,293.0069
256.7123,293.01765
256.729825,293.076625
256.818775,293.088275
256.87005,293.125075
256.888725,293.288025
256.9395,293.42575
256.976,293.475
257.015725,293.481575
257.04035,293.762075
257.0751,293.813675
257.2072,293.865025
257.255375,293.879175
257.32115,293.880225
257.419775,294.230225
257.47855,294.27205
257.49305,294.35105
257.518075,294.4686
257.552725,294.787925
257.77155,294.8263
257.789825,295.051425
257.888475,295.103
257.9132,295.22025
257.936675,295.28515
257.984975,295.554775
258.03765,295.5776
258.09645,295.747075
258.135575,296.1061
258.181175,296.301475
258.22115,296.38075
258.237075,296.401425
258.3301,296.444075
258.390175,296.473125
258.4248,296.48455
258.461,296.5183
258.49255,296.5889
258.55905,296.6405
258.664025,296.686225
258.72375,296.7037
258.773675,296.728625
258.813725,296.768375
