SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC04c,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC12c
201.6814,208.03855,203.016375,208.55295,206.070925,206.62485,202.763025
201.690675,208.1168,203.044625,208.59785,206.18695,206.660675,202.783375
201.7063,208.184575,203.092725,208.6537,206.21165,206.713675,202.825525
201.712425,208.29825,203.1219,208.73025,206.239875,206.7706,202.850025
201.724075,208.58575,203.1462,208.776375,206.241175,206.809875,202.873
201.75595,208.66325,203.16715,208.847625,206.3165,207.013875,202.898
201.77035,208.879575,203.193375,208.88755,206.38375,207.1123,202.9357
201.784425,209.00335,203.218375,209.194725,206.48075,207.149375,202.961675
201.823125,209.143425,203.244375,209.273125,206.602125,207.310125,202.986775
201.847125,209.200975,203.275125,209.499025,206.63825,207.362325,203.0227
201.863475,209.260425,203.3809,209.6045,206.64265,207.46745,203.047875
201.881525,209.40955,203.405,209.72895,206.76495,207.542625,203.07325
201.9115,209.577675,203.4273,209.809075,206.9011,207.59575,203.125125
201.9276,209.63895,203.464125,209.888375,206.911575,207.644975,203.17375
201.94625,209.657,203.47935,209.951525,207.0198,207.8245,203.230825
201.961975,209.75395,203.493275,209.9825,207.039025,207.871825,203.31095
201.9841,209.8073,203.5306,210.039225,207.062225,207.90925,203.36245
202.01535,209.8482,203.640625,210.1361,207.09545,207.957825,203.385375
202.0484,209.88805,203.675575,210.21005,207.141175,208.078025,203.415575
202.071775,209.931825,203.7083,210.2749,207.472525,208.150025,203.436375
202.08485,209.963175,203.733,210.404425,207.59915,208.274175,203.458325
202.1345,209.9897,203.7731,210.503375,207.64605,208.451475,203.52655
202.159325,210.146175,203.808975,210.615425,207.69385,208.4958,203.565575
202.171025,210.276575,203.832125,210.78185,207.8555,208.5483,203.5877
202.185175,210.464875,203.88715,210.85175,207.869225,208.6117,203.6097
202.205,210.598875,203.92805,210.946975,207.91195,208.706125,203.635
202.226775,210.7899,203.95715,211.000225,208.116225,208.777625,203.65655
202.241275,210.84465,203.984225,211.024675,208.13615,208.83185,203.683275
202.252925,210.891025,204.07685,211.266,208.148,208.907025,203.71175
202.2654,210.934,204.110825,211.3216,208.274575,208.988925,203.7466
202.295775,211.105325,204.149125,211.392425,208.63375,209.066325,203.78435
202.315875,211.336125,204.1823,211.460725,208.66705,209.197875,203.817525
202.3362,211.4287,204.208,211.495725,208.76185,209.341425,203.854975
202.352475,211.464225,204.3226,211.659075,208.781925,209.400325,203.875425
202.368325,211.528375,204.344475,211.76105,208.85115,209.479275,203.910675
202.3781,212.0648,204.361075,211.845,209.01355,209.5263,203.92595
202.40165,212.52415,204.386675,211.961125,209.216625,209.69625,203.951975
202.414375,212.577025,204.425625,212.022825,209.304625,209.810775,203.971625
202.4241,212.657175,204.466475,212.07995,209.348075,209.858175,204.01385
202.4439,212.97045,204.479275,212.293975,209.433375,209.90205,204.03825
202.4636,213.283975,204.50815,212.324325,209.54235,209.9394,204.065
202.47685,213.335575,204.523775,212.493325,209.557175,209.97805,204.081875
202.490225,213.469275,204.555925,212.582675,209.6378,210.124,204.097875
202.50375,213.5879,204.607375,212.6033,209.823475,210.1749,204.1174
