SPK_SPKC07b,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC09b
103.7033,59.3987,104.084325,168.4597
103.744325,59.455275,104.17155,168.591175
103.797725,59.623725,104.396375,168.698225
104.082475,59.92805,104.435175,168.9688
104.27725,59.996025,104.83075,169.3475
104.5706,60.115975,104.971175,169.423
104.62805,60.227625,105.1485,169.6008
104.694925,60.321925,105.256425,169.9128
104.783475,60.3783,105.391,170.002675
104.812825,60.46255,105.801675,170.03395
104.84665,60.58605,106.0107,170.186075
104.920275,60.6356,106.0919,170.259675
105.1072,60.7085,106.178075,170.307075
105.17125,60.83795,106.2698,170.3248
105.18675,60.91095,106.347375,170.69725
105.26895,61.040175,106.4231,170.928225
105.28615,61.222925,106.492925,171.103425
105.31385,61.3531,106.555525,171.230475
105.60445,61.47545,106.637525,171.506275
105.651025,61.53955,106.69335,171.57555
105.739675,61.707975,106.814725,171.98495
105.9214,61.822075,107.0352,172.127225
105.96155,61.878725,107.1266,172.182525
106.036675,61.94835,107.36445,172.31185
106.064625,62.107775,107.56915,172.46345
106.2138,62.152725,107.719725,172.543025
106.3226,62.2131,107.883425,172.55775
106.36555,62.31955,107.935775,172.8777
106.495075,62.37135,108.07875,172.9194
106.708525,62.439875,108.181525,173.125375
106.781775,62.550975,108.453825,173.3049
106.84455,62.6528,108.61445,173.369075
106.86935,62.7752,108.75025,173.469725
106.949275,62.8377,108.9098,173.510575
107.2276,62.88755,108.9875,173.566475
107.399725,62.9278,109.06845,173.761175
107.58685,63.1108,109.133125,174.07505
107.707625,63.3127,109.203075,174.493425
107.752675,63.513525,109.298975,174.74285
107.87175,63.6119,109.483125,174.843175
107.93415,63.76075,109.680875,175.0283
108.026075,63.8781,109.8662,175.0661
108.102375,64.05835,110.159575,175.301775
108.2854,64.1994,110.314125,175.3912
108.3354,64.376775,110.3397,175.41195
108.502225,64.4816,110.41315,175.475675
108.55405,64.51805,110.4529,175.601775
108.665175,64.598675,110.4697,175.619
108.754675,64.66545,110.493175,175.650325
108.8465,64.714025,110.5565,175.711525
109.016775,65.0554,110.600125,175.979975
109.068625,65.2565,110.706825,176.12005
109.1044,65.325625,111.07025,176.234425
109.156825,65.386925,111.228875,176.348375
109.18165,65.46275,111.40285,176.6434
109.31245,65.52985,111.629625,177.0684
109.385675,65.5984,111.812275,177.149175
109.492475,65.700275,112.684025,177.2675
109.725,65.759325,112.724525,178.006075
109.975775,65.81315,112.82585,178.312025
110.181325,65.89265,112.904025,178.448575
110.4505,65.99775,113.005075,178.579125
111.088525,66.171625,113.04305,178.69575
111.181975,66.313975,113.142775,178.7975
111.3487,66.5306,113.2257,178.884675
111.408275,66.59615,113.262175,179.052425
111.534675,66.662075,113.319875,179.5077
111.63905,66.692275,113.3786,179.67185
111.7741,66.755525,113.4925,179.693
111.83805,66.98575,113.655175,179.845075
111.9905,67.0498,113.747825,180.00725
112.1263,67.1222,113.808375,180.50895
112.20315,67.2318,113.94165,180.52975
112.43125,67.3113,114.048975,180.602525
112.873675,67.501425,114.2076,181.6108
113.106875,67.67345,114.3462,181.677725
113.331975,67.856375,114.6308,181.727875
113.77675,68.022125,114.85155,181.8514
113.81305,68.137875,114.97365,182.2473
114.011275,68.233275,115.175875,182.3423
114.218725,68.280425,115.27725,182.550725
114.243725,68.344125,115.4372,182.976225
114.326225,68.420725,115.6742,183.130125
114.811125,68.491775,116.826725,183.499725
114.864625,68.5915,117.24635,183.72985
115.001725,68.716825,117.347025,184.15605
115.09995,68.794125,118.6345,184.1971
115.232275,68.889775,118.722325,184.37235
115.495075,69.002375,118.7739,184.4452
115.7262,69.087625,118.8275,184.990125
115.95755,69.1356,118.87205,185.06435
116.09395,69.257525,118.945775,185.227675
116.279075,69.33465,118.997875,185.2606
116.3335,69.404675,119.0643,185.30155
116.371975,69.454325,119.14895,185.959525
116.398375,69.628825,119.5466,186.019475
116.438875,69.67195,119.7009,186.106375
116.531825,69.769675,119.856175,186.45545
116.60555,69.824125,119.990475,186.68605
116.66705,70.0233,120.207775,186.782625
116.797875,70.09295,120.298075,186.877475
116.84495,70.124075,120.4424,187.12515
116.9624,70.153375,121.303275,187.438575
117.14265,70.245325,121.36375,187.576925
117.251475,70.326075,121.4015,187.694775
117.38285,70.42095,121.44605,187.974675
117.50485,70.467225,121.47095,188.058325
117.5763,70.52105,121.5192,188.786425
117.6129,70.628725,121.601725,189.119725
117.92445,70.6685,121.7388,189.202625
118.0431,70.7861,121.83695,189.23395
118.15285,70.98865,121.911725,189.3728
118.1801,71.056325,122.12135,189.456825
118.2759,71.1595,122.227325,189.588325
