SPK_SPKC01a (NA),SPK_SPKC01b (weak inhibition),SPK_SPKC03a (no effect),SPK_SPKC07a (excited),SPK_SPKC09a (excited),SPK_SPKC12a (no effect),SPK_SPKC13a (inhibited),SPK_SPKC16a (inhibited)
10.170625,37.933325,76.6634,10.48585,9.587325,33.861375,4.8411,31.726325
10.224325,37.97205,77.04125,10.54105,9.6127,34.06715,4.864775,31.8269
10.257,38.516325,77.22865,10.6083,9.645575,34.121125,4.868725,31.93865
10.296,38.592025,77.371375,10.651325,9.6706,34.159775,4.87885,32.292825
10.35945,38.668125,77.434375,10.688675,9.6976,34.2908,4.90165,32.31895
10.41115,38.899825,77.526925,10.735225,9.71835,34.3216,4.93035,32.4811
10.443475,38.942475,77.53865,10.770775,9.77525,34.396,4.9425,32.641175
10.467775,39.3402,78.0286,10.895225,9.790675,34.41245,4.95045,32.861
10.531325,39.624875,78.66455,10.93695,9.834575,34.443875,4.979375,32.947575
10.5587,39.86275,78.7628,10.979475,9.8518,34.50495,4.986875,32.962625
10.59715,40.2964,78.817775,11.0051,9.888875,34.697525,5.00505,33.318875
10.625375,40.6043,79.031525,11.062025,9.913575,34.70815,5.00905,33.4421
10.653725,40.89195,79.2549,11.099175,9.956925,34.7685,5.0304,33.91935
10.70835,41.010425,79.660275,11.1257,9.96685,34.87045,5.04815,34.17455
10.736075,41.470375,79.701425,11.1971,10.02595,34.91425,5.070375,34.2887
10.7879,41.5028,79.70565,11.23445,10.100825,34.9173,5.1034,34.316675
10.83695,42.198675,80.082975,11.320975,10.140825,35.050475,5.11035,34.428375
10.864375,42.20805,80.15505,11.382775,10.1653,35.1143,5.1493,34.60755
10.887625,42.561475,80.662125,11.433775,10.19325,35.228225,5.225825,34.65485
10.95735,42.887225,80.804425,11.4714,10.340425,35.324075,5.269475,34.71855
11.003525,43.155575,80.837175,11.520625,10.37105,35.3488,5.275075,34.745025
11.0553,43.2298,80.882975,11.543675,10.399825,35.38465,5.2862,34.807775
11.090125,43.291575,81.305075,11.58215,10.442825,35.388975,5.289275,34.848725
11.17335,43.46585,81.451725,11.6291,10.452275,35.666475,5.2926,34.9821
11.228775,43.72775,81.5262,11.668175,10.4809,35.77145,5.2975,35.04355
11.289125,43.9402,82.13125,11.793375,10.51545,35.787825,5.308325,35.054575
11.3632,44.103625,82.5451,11.84445,10.5478,35.8514,5.3188,35.152925
11.4035,44.239575,83.168225,11.888475,10.56635,35.888875,5.330825,35.29895
11.413625,44.336375,83.344725,11.93545,10.603625,36.027075,5.34495,35.773975
11.489325,44.431225,86.114575,11.981475,10.66975,36.164675,5.3696,35.92975
11.515525,44.631025,86.2016,12.0222,10.71375,36.231975,5.385975,35.96795
11.542425,44.8269,86.226975,12.09515,10.727775,36.253975,5.39595,36.0333
11.5818,45.044075,86.480225,12.121,10.797225,36.274675,5.403025,36.303375
11.60045,45.109125,86.509475,12.158225,10.8064,36.29025,5.41555,36.361275
11.65305,45.279325,86.74755,12.1898,10.861075,36.32845,5.426825,36.46805
11.7046,45.32985,86.822825,12.223275,10.906875,36.375225,5.430725,36.714875
11.80255,45.73225,86.8273,12.26895,10.934225,36.62385,5.44615,36.7315
11.868125,45.90115,86.980275,12.3084,11.023175,36.68765,5.475375,36.821175
11.9102,46.1941,87.104875,12.364425,11.09915,36.70575,5.5003,37.027875
11.9323,46.23445,87.107025,12.388725,11.1063,36.751725,5.58,37.1347
12.045175,46.313275,87.776625,12.406225,11.172875,36.761575,5.6845,37.163975
12.070325,46.399175,88.020725,12.446525,11.243125,36.82355,5.703925,37.273125
12.089575,46.7276,88.2885,12.485175,11.28435,36.891075,5.7272,37.33865
12.1218,46.8821,88.43975,12.523775,11.3145,36.965075,5.742625,37.393425
12.176675,46.9433,88.935225,12.54855,11.3404,37.04605,5.7575,37.4727
12.207125,47.2145,89.45535,12.5932,11.355925,37.12455,5.780325,37.773725
12.2281,47.5193,89.725725,12.644925,11.513275,37.210375,5.793775,38.15385
12.2851,47.6541,89.8747,12.693275,11.62285,37.284525,5.80975,38.2379
12.3262,47.856325,89.8969,12.732375,11.7116,37.30085,5.821525,38.276775
12.357425,47.97855,90.54875,12.772025,11.746025,37.308275,5.846075,38.302825
12.383925,48.062725,91.016525,12.804075,11.811125,37.326525,5.852025,38.377925
12.4184,48.43785,91.098325,12.837075,11.843,37.384125,5.86415,38.6402
12.493475,48.689775,91.108675,12.864175,11.871825,37.451775,5.878525,38.79575
12.52495,48.87245,91.112,12.903475,11.947675,37.5343,5.882375,38.84365
12.551125,48.99185,91.132275,12.954675,12.028425,37.577325,5.902525,39.175775
12.591225,49.407425,91.152325,13.003775,12.075725,37.751525,5.9083,39.18375
12.621225,49.989725,91.279775,13.05175,12.189725,37.787475,5.924075,39.29675
12.659925,52.182075,91.30685,13.089175,12.213125,37.8345,5.95405,39.4351
12.698675,52.22145,91.54195,13.1338,12.25825,38.02065,5.966925,39.70145
12.735225,52.771125,91.790275,13.2055,12.2925,38.06205,5.996175,39.785125
12.7804,52.879325,92.5814,13.249675,12.332525,38.290375,6.2263,39.834925
12.8166,53.480375,92.63735,13.2863,12.37775,38.318,6.258725,40.0424
12.89235,54.024,93.02815,13.33515,12.398025,38.353425,6.26885,40.072125
12.92695,54.271525,93.0578,13.37215,12.42245,38.3834,6.32185,40.217675
12.959225,54.502175,93.5285,13.509275,12.4464,38.384975,6.340775,40.248775
13.04385,54.550975,93.544825,13.554,12.449525,38.4156,6.383875,40.2971
13.136325,54.647225,93.835075,13.59765,12.572125,38.431675,6.39695,40.32525
13.154125,54.7606,94.381475,13.71285,12.595475,38.485775,6.4227,40.49515
13.21525,54.883525,94.76835,13.760175,12.6222,38.69185,6.441375,40.56115
13.2583,55.015,94.85815,13.79195,12.683875,38.758525,6.45805,40.7554
13.328375,55.372775,95.0509,13.909925,12.719575,38.7926,6.470575,41.035575
13.348775,55.42745,95.06345,13.96485,12.80405,38.833525,6.515525,41.043575
13.391625,55.479725,95.506025,14.012925,12.827725,38.838075,6.57005,41.061575
13.493875,55.564975,95.607225,14.040075,12.837,38.908775,6.581575,41.08895
13.57225,55.77085,96.120025,14.155125,12.876775,38.921625,6.59385,41.383475
13.624975,55.95975,96.842625,14.202575,12.90335,38.94965,6.6108,41.4534
13.728175,56.0079,97.060875,14.245175,12.92825,38.9865,6.634075,41.802025
13.81755,56.3358,97.1321,14.387675,12.968625,39.120125,6.646325,41.83905
13.862975,56.48135,97.995475,14.534,13.028375,39.143875,6.67845,41.90115
13.8781,56.796925,99.068675,14.625075,13.11135,39.19365,6.793225,42.059725
13.9,56.95115,99.1486,14.719075,13.149075,39.2826,6.9055,42.11095
13.922725,56.961425,99.278275,14.785,13.1935,39.2983,6.9241,42.189025
13.97925,57.352125,99.5833,14.8311,13.229825,39.389425,6.943075,42.231975
14.0686,57.59175,99.63775,14.86905,13.28275,39.592875,6.949175,42.332675
14.096425,58.1053,99.6413,14.900575,13.3308,39.733275,6.962275,42.370575
14.14095,58.12185,99.661725,14.9397,13.3634,39.736,6.9702,42.4528
14.201825,58.526225,100.039875,14.97765,13.3923,39.744275,6.983175,42.538175
14.2585,58.5461,100.1909,15.0095,13.443425,39.7806,7.009175,42.554775
14.379625,58.56375,100.5289,15.070775,13.483675,39.80955,7.038375,42.5658
14.41245,58.831225,100.6732,15.168825,13.520925,39.855475,7.051325,42.582575
14.490325,59.404275,100.750875,15.2912,13.6867,39.913625,7.06645,42.784025
14.5829,59.721075,100.853825,15.41525,13.763375,39.95255,7.109925,42.819225
14.628325,59.797,100.86255,15.451625,13.82445,40.0636,7.1808,42.841925
14.66185,59.850075,101.262325,15.49005,13.842325,40.072,7.2861,42.993925
14.71495,59.91915,101.4186,15.5252,13.88125,40.090775,7.342575,43.0216
14.808825,60.20075,101.586725,15.577175,13.900525,40.10365,7.362325,43.07595
14.859725,60.7474,101.822375,15.6098,13.90985,40.3964,7.368475,43.127325
14.902375,61.2737,102.14735,15.676175,13.986125,40.4144,7.38715,43.2242
14.935325,61.5211,102.1933,15.71985,14.033975,40.457,7.391525,43.285425
14.9712,62.78095,102.5023,15.7663,14.1184,40.596225,7.399025,43.3883
14.9971,62.795425,102.52995,15.818325,14.144875,40.6351,7.416525,43.482475
15.038625,64.10075,102.820175,15.8765,14.183175,40.681775,7.4191,43.6554
15.0584,64.293725,102.8718,15.960325,14.23295,40.708775,7.434925,43.762975
15.12775,64.435925,102.990975,16.050725,14.332525,40.7735,7.44245,43.9445
15.2407,64.5541,103.446925,16.10225,14.38765,40.839825,7.473725,44.002675
15.307875,65.147075,103.6694,16.147425,14.396675,40.919425,7.486675,44.081025
15.36265,65.282025,104.018825,16.234475,14.4586,41.035525,7.497275,44.162825
15.410125,65.2953,104.060525,16.277975,14.492075,41.083225,7.52145,44.24375
15.450275,65.627675,104.093175,16.379075,14.56005,41.1178,7.538125,44.510225
15.5048,65.648175,104.104575,16.493225,14.605625,41.1467,7.56165,44.84685
15.562625,65.79155,104.135575,16.533725,14.627625,41.187075,7.576625,44.8929
15.5966,65.9308,104.161175,16.58705,14.6386,41.355175,7.670175,44.944725
15.63895,66.06455,104.2754,16.689975,14.6853,41.41115,7.844675,45.057875
15.69055,66.210775,104.57925,16.803175,14.715275,41.650425,7.855075,45.1903
15.780225,66.6397,105.109575,16.86145,14.7469,41.689025,7.8712,45.257225
15.89755,67.82195,105.584725,17.01215,14.77985,41.718225,7.878675,45.436075
15.97625,67.86845,105.692575,17.177425,14.821175,41.73995,7.88915,45.4736
16.098725,68.13815,105.72335,17.23135,14.968775,41.742575,7.89425,45.654025
16.172025,68.261725,105.728275,17.282575,14.990175,41.747725,7.90525,45.814225
16.222375,69.1658,106.262725,17.35045,15.022275,41.831975,7.92885,45.88475
16.25845,69.1949,106.283925,17.4186,15.040825,41.8503,7.9321,45.970175
