SPK_SPKC01a (NA),SPK_SPKC05a (excited),SPK_SPKC05b (no effect),SPK_SPKC05c (NA),SPK_SPKC07a (inhibited),SPK_SPKC13a (excited)
23.293925,152.1923,24.753,11.6041,14.32695,6.3133
23.327875,152.4351,24.8248,11.698725,14.340175,6.3594
23.448275,153.38125,24.894325,11.7738,14.4419,6.386525
23.458875,155.330725,25.148325,11.869925,14.4803,6.418075
23.474125,155.452575,25.200875,11.938375,14.536525,6.419225
23.5421,156.59045,25.284375,11.99275,14.5431,6.432425
23.555175,156.894525,25.325425,12.34165,14.60385,6.43605
23.5686,156.9279,25.402825,12.352825,14.613175,6.445975
23.5718,157.59785,25.4118,12.397125,14.641075,6.456475
23.593725,157.9114,25.493275,12.417575,14.674675,6.49345
23.6601,159.43655,25.59745,12.433275,14.699925,6.511275
23.8131,163.149975,25.69855,12.4546,14.737225,6.5284
23.9111,165.7652,25.769775,12.594075,14.738375,6.572725
23.985775,168.477575,25.808125,12.668325,14.814175,6.58555
24.001075,168.6731,25.809775,12.709425,14.86945,6.60795
24.164275,168.7174,25.844,12.7757,14.9112,6.626975
24.217975,169.370325,25.869025,12.81585,14.94135,6.657925
24.431225,169.765275,25.925425,12.9378,14.966625,6.6974
24.535675,169.873575,25.9833,12.956675,14.971475,6.755875
24.561375,170.421025,26.018675,12.972925,15.0197,6.7788
24.6112,170.69285,26.075675,13.0034,15.08925,6.79995
24.652625,171.321375,26.158875,13.03195,15.1967,6.8163
24.75595,171.348775,26.245875,13.06345,15.240275,6.849325
24.8465,171.98435,26.256775,13.116175,15.36865,6.867475
24.953,172.259975,26.409625,13.24395,15.383675,6.886775
25.050225,173.893475,26.473775,13.3052,15.43465,6.89585
25.114525,174.96605,26.5337,13.325875,15.496275,6.9106
25.17075,175.037225,26.57235,13.342675,15.632575,6.934425
25.195625,175.413075,26.614925,13.35835,15.665325,6.94615
25.3898,175.440675,26.831925,13.377125,15.6878,6.959775
25.509975,175.582625,26.87125,13.41085,15.7001,6.9788
25.549,175.720425,26.986075,13.4703,15.7136,6.9999
25.636575,175.739375,27.03295,13.475675,15.77345,7.011975
25.8153,176.20715,27.104025,13.51765,15.824425,7.026
25.924525,178.1881,27.14595,13.580175,15.90575,7.054775
25.979425,179.289925,27.178475,13.684225,15.971525,7.06765
26.0079,179.3049,27.233625,13.690775,15.9727,7.0896
26.018875,179.577725,27.3461,13.7659,16.021325,7.126875
26.04135,179.6195,27.384175,13.775275,16.035,7.162725
26.0708,180.290025,27.403575,13.7883,16.0708,7.206875
26.2939,180.872475,27.4295,13.806875,16.13295,7.2559
26.6053,180.965475,27.468975,13.8184,16.171225,7.271975
26.614,180.97965,27.559075,13.87025,16.187725,7.289575
26.6257,181.049575,27.59995,13.903975,16.27635,7.3091
26.64155,181.172775,27.6188,14.007525,16.3383,7.32965
26.845225,181.99105,27.642425,14.032825,16.351175,7.36315
26.911875,182.6829,27.682075,14.056175,16.38065,7.3888
27.0064,183.032075,27.804875,14.15755,16.40345,7.448
27.179125,183.065425,27.865325,14.175075,16.47225,7.479875
27.246825,183.52845,27.931375,14.1945,16.5234,7.536175
27.353375,184.285525,28.01395,14.196075,16.526525,7.5549
27.50755,184.470975,28.0808,14.224125,16.56745,7.576125
27.51195,184.518525,28.14255,14.276475,16.5992,7.6076
27.566175,184.52205,28.1854,14.31135,16.602375,7.664275
27.63,184.599725,28.213525,14.39785,16.665825,7.711425
27.6553,184.67005,28.2637,14.469425,16.704525,7.7356
27.778475,184.794775,28.275525,14.485625,16.7252,7.774625
27.819675,184.94725,28.297025,14.530975,16.779375,7.810625
27.9229,185.105175,28.3478,14.61145,16.812075,7.8305
28.279175,185.1455,28.403125,14.6407,16.915125,7.8723
28.3177,185.260775,28.50845,14.68295,16.94145,7.951775
28.360875,185.7448,28.551925,14.7231,16.95945,7.988725
28.560575,185.787775,28.624,14.80475,16.992925,8.020325
28.58515,186.352975,28.670375,14.86665,17.0287,8.047775
28.7663,186.393275,28.830375,14.960475,17.060925,8.074625
28.96415,186.44015,28.8616,14.99135,17.0711,8.09195
29.068025,186.54235,28.93425,15.04655,17.13125,8.119275
29.107375,186.6766,28.978825,15.09215,17.15855,8.171625
29.283775,186.762025,29.022025,15.104775,17.17375,8.219025
29.302475,186.792475,29.050775,15.166875,17.205325,8.278875
29.3038,187.9616,29.10355,15.2501,17.220525,8.327925
29.623875,188.1899,29.129775,15.2931,17.2426,8.367225
29.738475,188.225875,29.204525,15.351625,17.289925,8.394325
29.878425,188.261975,29.235625,15.421625,17.319925,8.414925
30.084775,188.44225,29.25905,15.451475,17.333625,8.431025
30.10605,188.59265,29.368325,15.490175,17.343475,8.4321
30.1858,189.03895,29.423075,15.502025,17.36655,8.4694
30.303775,189.565,29.511275,15.51445,17.3868,8.554375
30.893725,189.685625,29.6506,15.528075,17.422925,8.618425
30.952275,189.8122,29.6647,15.5413,17.50885,8.68085
31.17475,189.88095,29.69315,15.5535,17.58105,8.711375
31.4043,190.73325,29.724825,15.580125,17.582175,8.73825
31.6901,191.3269,29.76315,15.60165,17.6125,8.76755
31.693475,191.408625,29.8822,15.618525,17.62405,8.809725
31.70395,191.526575,29.9027,15.65085,17.65285,8.8559
31.705775,191.565975,30.053875,15.70455,17.6685,8.88685
31.766875,191.82415,30.11735,15.747225,17.69035,8.9108
31.84545,192.163775,30.217875,15.76265,17.7138,8.9279
31.888225,192.612175,30.232225,15.7764,17.775425,8.9365
32.0849,192.6594,30.26485,15.798925,17.85035,9.0338
32.11055,192.6905,30.316225,15.859175,17.95785,9.066375
32.165975,193.81905,30.40905,15.895925,17.98185,9.0882
32.217875,193.852075,30.453425,15.9079,17.986075,9.109375
32.30245,194.000425,30.512825,15.95825,18.004325,9.1617
32.51555,194.0871,30.536575,15.974475,18.014475,9.186425
32.52105,194.285175,30.597375,16.02015,18.029575,9.227125
32.540875,194.45515,30.681625,16.04195,18.0712,9.2444
32.609525,196.224325,30.71205,16.10995,18.134425,9.283575
32.638,196.86115,30.728675,16.144825,18.152025,9.3028
32.671825,197.6161,30.7956,16.2015,18.1734,9.319475
32.70475,198.417575,30.8149,16.2363,18.176475,9.3895
32.751625,199.713675,30.8602,16.253,18.24815,9.480175
32.85325,199.8198,30.9152,16.266625,18.31915,9.508075
32.87625,200.11675,30.961125,16.29385,18.34505,9.5264
32.899575,200.488875,31.075475,16.31285,18.37545,9.570325
32.9168,201.7197,31.094625,16.3385,18.38515,9.57765
32.946325,202.3769,31.190275,16.3549,18.3929,9.585675
32.980925,202.487375,31.3418,16.395125,18.4487,9.58895
33.06215,202.756675,31.361825,16.421425,18.49145,9.5942
33.395075,202.809,31.4556,16.44795,18.5076,9.60865
33.405625,203.711075,31.4724,16.508175,18.550625,9.623075
33.46135,204.078125,31.495625,16.5404,18.5518,9.631725
33.469075,204.306575,31.533775,16.551675,18.562725,9.655825
33.575375,204.382125,31.581275,16.581175,18.571875,9.668875
33.576425,204.742275,31.602975,16.596925,18.5951,9.678875
33.597675,204.784775,31.631625,16.610475,18.633425,9.6914
33.6469,204.79835,31.67505,16.62235,18.706425,9.70235
33.73225,204.916575,31.678625,16.6323,18.74575,9.716025
33.7532,205.0259,31.836175,16.646375,18.76615,9.72765
33.762025,205.199775,31.889475,16.6637,18.8299,9.7411
33.774725,205.213625,31.90425,16.673,18.858175,9.75245
33.83115,205.49595,31.973575,16.685225,18.895075,9.76785
33.974675,205.954375,32.00345,16.725675,18.927125,9.79645
34.058975,206.030375,32.06975,16.73265,18.93925,9.80865
34.08265,206.28085,32.109,16.75695,18.973675,9.8221
34.127125,206.396075,32.1909,16.80515,18.997375,9.8402
34.131375,207.12295,32.219825,16.81145,19.006775,9.8559
34.164825,207.1917,32.2468,16.840925,19.037775,9.882525
34.217025,207.397,32.284025,16.85935,19.123025,9.9031
34.23855,207.494,32.364275,16.91275,19.136125,9.92805
34.24995,207.5395,32.383675,16.948475,19.193575,9.9487
34.26685,207.5546,32.4001,16.98895,19.25465,9.9659
34.4285,207.677825,32.448225,17.000875,19.272025,9.983525
34.434975,207.703775,32.460875,17.0235,19.276075,10.0008
34.5169,207.756375,32.493375,17.053475,19.322,10.020275
34.55275,207.821525,32.528725,17.0657,19.352275,10.0327
34.59325,207.9146,32.59585,17.1129,19.4126,10.04205
34.75555,207.95325,32.65405,17.141275,19.44895,10.055725
34.80105,208.101725,32.7218,17.166275,19.501675,10.1126
34.8526,208.386125,32.7623,17.210425,19.538525,10.12875
34.86695,208.5408,32.8297,17.24,19.564525,10.152725
34.981325,209.496825,32.875375,17.260775,19.6271,10.175225
35.103075,209.837025,32.90545,17.311625,19.6632,10.197725
35.12915,212.039525,32.9344,17.327125,19.667525,10.2121
35.151225,212.2525,33.081825,17.35195,19.853625,10.227525
35.173,212.267825,33.1111,17.4056,19.870075,10.244975
35.22995,212.906825,33.138025,17.4313,19.879425,10.257875
35.284575,213.0084,33.15815,17.4844,19.886475,10.273175
35.4794,213.524675,33.265675,17.52535,19.89165,10.28775
35.497,213.6382,33.2874,17.5459,19.899275,10.29885
35.49995,213.7944,33.325675,17.57595,19.927775,10.305925
35.541825,214.710375,33.36755,17.58675,19.92945,10.320575
35.59105,215.057,33.392075,17.601,19.95675,10.336775
35.737125,215.161525,33.4459,17.604925,19.9854,10.36535
35.75465,215.424925,33.457125,17.63075,20.002775,10.4018
35.75885,215.7811,33.531825,17.681375,20.0993,10.40355
35.791525,215.83785,33.839275,17.732275,20.107275,10.420525
35.828225,215.9042,33.94135,17.7484,20.131125,10.436025
35.8396,216.020525,33.973925,17.773475,20.169925,10.45755
35.9064,216.281775,34.067275,17.811525,20.194325,10.4766
35.945,216.5999,34.133475,17.866075,20.225225,10.510275
