SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC09a,SPK_SPKC13a,SPK_SPKC15a
112.02845,105.275875,115.0186,108.195975,106.41465,139.3969,106.301725,111.074125
112.1007,105.28785,115.07345,108.2209,106.4232,139.423525,106.330375,111.1416
112.166425,105.294775,115.11495,108.23455,106.43865,139.657325,106.3628,111.175025
112.23165,105.338675,115.1648,108.296425,106.467625,140.163625,106.37955,111.2383
112.2365,105.35075,115.212175,108.3309,106.5031,140.582975,106.391625,111.275225
112.288025,105.372125,115.256075,108.35555,106.530125,140.635425,106.406825,111.31255
112.3673,105.386425,115.30355,108.3886,106.543625,140.67355,106.42755,111.34935
112.3807,105.411025,115.34055,108.426125,106.5549,140.923975,106.452525,111.379275
112.439575,105.421375,115.355625,108.4542,106.5721,141.142825,106.5281,111.483775
112.4699,105.4388,115.39035,108.485025,106.588075,141.336475,106.549525,111.539125
112.4922,105.4495,115.453925,108.5141,106.60645,141.533525,106.57205,111.607375
112.5182,105.528275,115.5358,108.537275,106.618925,141.642325,106.5933,111.65685
112.532425,105.542325,115.599975,108.5608,106.634425,141.663975,106.616925,111.743925
112.655725,105.556925,115.642075,108.6007,106.644325,141.782825,106.64605,111.79085
112.688425,105.558175,115.683675,108.632425,106.659725,141.8762,106.700375,111.8486
112.723625,105.590725,115.713,108.65035,106.68885,141.92035,106.7209,111.928675
112.748975,105.594575,115.751725,108.688825,106.70585,141.943525,106.737525,111.95945
112.790925,105.60105,115.7856,108.69525,106.718025,142.0174,106.758675,111.96145
112.81265,105.6179,115.84245,108.726825,106.726975,142.154675,106.78185,111.9892
112.832925,105.6496,115.9118,108.756175,106.750275,142.271775,106.8049,112.031925
112.84975,105.674,115.9519,108.78565,106.768175,142.47385,106.823,112.10185
113.01175,105.69625,115.996675,108.79845,106.790775,142.80455,106.848125,112.1402
113.124425,105.7218,116.023575,108.867175,106.845625,142.863625,106.8685,112.182175
113.13085,105.7486,116.0696,108.951,106.8686,142.931375,106.89895,112.281375
113.17275,105.762575,116.1205,108.992825,106.88505,143.085825,106.946175,112.343075
113.278,105.8216,116.18155,109.026725,106.904825,143.469,106.9692,112.379475
113.310125,105.838625,116.21555,109.0522,106.920575,143.682275,107.0037,112.4264
113.3839,105.865675,116.251675,109.06265,106.93895,143.695,107.02695,112.458325
113.39715,105.882075,116.297675,109.0859,106.9551,143.74815,107.0483,112.572475
113.44255,105.938425,116.38565,109.10965,106.9782,143.903525,107.081825,112.601775
113.457825,105.95335,116.4064,109.1425,106.991075,143.960075,107.104125,112.642225
113.51985,105.97875,116.4132,109.173125,107.0053,144.084325,107.1246,112.68585
113.5294,106.036,116.460675,109.191125,107.026525,144.11865,107.146675,112.7255
113.554325,106.08775,116.499175,109.224525,107.053225,144.146175,107.164025,112.775675
113.731525,106.092125,116.54175,109.268825,107.06885,144.2424,107.168175,112.818275
