SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC14a,SPK_SPKC16a
44.388875,23.9064,189.734875,154.689225,155.587225,32.3462,29.0045
44.69335,23.9386,189.92495,154.716075,155.914725,32.399575,29.104275
44.75205,23.980375,190.6533,155.00525,156.14655,32.413725,29.120425
45.1466,23.995475,191.75345,155.307475,156.202675,32.496425,29.148475
45.271225,24.048475,192.2949,156.322125,156.5875,32.6941,29.31175
45.32215,24.168425,193.1573,156.61405,156.837625,32.845825,29.353825
45.457125,24.203275,194.0258,156.656425,157.1437,32.903375,29.3841
45.550825,24.2842,194.37515,156.73595,157.2149,32.92695,29.489875
45.605325,24.313675,195.2075,156.78215,157.72025,33.07115,29.546725
45.871725,24.34145,195.4785,156.93655,158.25965,33.093375,29.581075
46.25955,24.393575,196.802675,157.583725,158.3583,33.319225,29.785125
46.3215,24.57135,198.212775,157.7424,158.38425,33.327625,29.8095
46.386375,24.7208,198.277025,157.868825,158.79325,33.399425,30.0528
47.190725,24.82735,198.3058,157.971425,159.938975,33.492775,30.085575
47.3417,24.9437,198.93935,158.02655,160.0222,33.510725,30.206275
47.496875,24.985825,199.7039,158.123575,160.13255,33.6354,30.3773
47.545425,25.09045,200.875025,158.45875,160.261975,33.67885,30.45625
47.95205,25.2156,201.27455,158.558125,160.279875,33.762775,30.657825
48.028725,25.381,201.756975,158.865275,161.1468,33.780975,30.670275
48.08905,25.464575,201.815875,159.135975,161.31775,33.8508,30.712275
48.176975,25.617825,201.930225,159.460325,161.97885,33.878225,30.768125
48.334175,25.65555,202.3292,159.582775,162.3993,33.91935,30.800475
48.44255,25.806175,202.67525,159.667425,162.419025,33.951775,30.881025
48.5059,25.85355,203.106975,159.9735,162.43965,33.997675,30.95375
48.587875,25.89225,203.241525,160.015075,162.4905,34.325675,31.0216
48.704375,25.985575,203.593475,160.050175,162.778475,34.363425,31.10745
48.74585,26.0157,203.90825,160.120925,162.96845,34.374,31.127
48.7921,26.361225,204.431275,160.350025,163.378325,34.4858,31.19505
49.06355,26.459075,204.59775,160.63465,163.471025,34.5714,31.379225
49.1267,26.497875,204.66645,160.698425,163.6121,34.643575,31.4851
49.3554,26.521375,205.070275,161.0872,163.85545,34.8152,31.49815
49.5546,26.550075,205.09595,161.201675,163.897575,34.834225,31.537725
49.840425,26.599525,205.531275,161.2651,164.15015,34.888625,31.572825
50.180975,26.624725,205.593525,161.360125,164.36945,34.9762,31.605425
50.22015,26.70605,205.654175,161.9017,164.798325,35.131425,31.641875
50.299575,26.7333,206.169875,161.99965,164.83145,35.2472,31.8212
50.37505,26.8338,207.024875,162.05595,165.0267,35.3341,31.822925
50.37615,26.907625,207.16475,162.251175,165.21475,35.440425,31.934775
50.482,26.9991,208.024875,162.46635,165.73945,35.479425,31.96045
50.547125,27.02945,208.89455,162.515075,166.1612,35.50185,31.99525
51.161775,27.183725,209.70335,162.667225,166.64025,35.534575,32.0235
51.253525,27.219675,210.095225,162.799025,167.7979,35.594625,32.07895
51.4264,27.263875,210.1219,162.839025,168.3539,35.688975,32.195875
51.663125,27.29485,210.444575,163.056325,168.42055,35.896025,32.233325
51.77415,27.45395,210.900025,163.24955,168.646425,35.936625,32.2575
51.9767,27.53345,210.95065,163.4624,169.110925,36.0884,32.3006
52.068675,27.573525,212.0133,163.71575,170.19035,36.339425,32.44775
52.128725,27.5989,212.143725,163.7423,170.3351,36.402625,32.47155
52.248675,27.64145,212.418925,163.99095,170.890175,36.411475,32.4931
52.431775,27.685575,212.470425,164.159875,171.844525,36.5344,32.540775
52.560625,27.750425,212.61895,164.191275,172.669125,36.617375,32.5631
52.63605,27.839125,212.662875,164.2478,172.689775,36.646675,32.6103
52.75865,28.030825,212.704575,164.80175,172.812775,36.84475,32.6941
52.796325,28.07025,212.759525,165.035475,172.820725,36.890325,32.8799
52.893925,28.148175,213.010375,165.255525,173.43035,36.9713,32.905675
53.147575,28.26265,213.04315,165.31525,173.696275,37.015025,33.0092
53.40755,28.29505,213.42975,165.4027,173.709475,37.15125,33.12835
53.608625,28.375875,214.18205,165.89035,174.2292,37.299,33.19665
53.6856,28.4572,214.37665,166.108975,174.57205,37.34465,33.3048
53.7612,28.616875,214.9918,166.126675,174.627725,38.32355,33.316425
53.95085,28.65225,215.594775,166.278,175.527675,38.3961,33.33985
54.0243,28.76935,215.903875,166.33595,175.52935,38.7466,33.369975
54.133525,28.80085,216.31245,166.590325,176.850775,38.756475,33.37485
54.24795,28.8631,216.887475,166.629125,176.977475,38.8408,33.39945
54.345,28.9278,217.074825,166.655675,177.51525,39.5253,33.51385
54.68155,28.98045,217.29,166.70525,178.0361,39.91095,33.6678
54.773325,29.00775,217.8648,166.9231,178.2143,40.040625,33.712575
54.825725,29.0432,220.025475,166.9354,178.6121,40.143125,33.78105
55.0221,29.159875,220.0671,167.07235,178.678875,40.3625,33.782625
55.55005,29.2265,220.1447,167.129625,178.7264,40.376725,33.87015
56.009575,29.28635,220.62965,167.5295,178.900625,40.400625,34.16055
56.07465,29.5199,220.7529,167.6019,179.1269,40.45295,34.19905
56.452425,29.5617,220.777525,167.627725,179.754525,40.75265,34.243275
56.646225,29.62,220.990675,167.717825,179.831725,40.80235,34.2502
56.70235,29.7341,221.125725,168.043225,179.9209,40.822375,34.29365
56.90365,29.813925,222.173125,168.077825,180.1438,40.85065,34.29985
56.992975,29.84355,222.266675,168.2491,181.145825,40.855375,34.31405
57.0898,29.92765,223.469875,168.471275,181.27375,40.98635,34.365825
57.48625,30.051075,223.5491,168.7805,181.324275,41.4227,34.3936
57.999075,30.08035,223.796075,168.940875,181.9013,41.585325,34.52565
58.403975,30.13775,224.093,169.0043,181.964625,41.67975,34.568975
58.597575,30.24485,224.570925,169.103275,182.37275,41.717025,34.659175
58.717075,30.32265,225.456825,169.371275,182.6899,41.727275,34.687175
58.768625,30.406125,225.748775,169.478225,183.04955,41.777375,34.6984
59.121925,30.440375,226.473125,169.728575,183.05635,41.9685,34.840075
59.547325,30.4847,226.8163,170.02435,183.149525,42.027675,35.00025
59.6086,30.5874,227.4049,170.058575,183.659225,42.042475,35.0303
59.685025,30.6961,228.055275,170.376575,183.7283,42.04725,35.0519
59.88555,30.728975,228.36915,170.38885,184.46715,42.056375,35.092625
60.292325,30.779625,229.1921,170.742675,184.580025,42.0752,35.10935
60.498825,30.88455,229.46385,170.79965,184.64935,42.1878,35.136375
60.60475,30.9475,230.28005,170.94595,184.7961,42.5431,35.188075
60.7505,31.020375,230.8644,171.021825,187.46905,42.55425,35.2184
60.95775,31.05945,231.152275,171.479675,187.6813,42.5698,35.260525
61.09145,31.085025,231.433225,171.68315,187.868675,42.839475,35.3505
61.445975,31.121625,232.411025,171.821475,187.905075,42.99505,35.444925
61.4872,31.192,232.940775,172.111125,188.28465,43.32305,35.481625
61.54875,31.2264,233.3311,172.152925,189.299525,43.38915,35.5119
61.631725,31.254925,234.219225,172.399175,189.609325,43.48895,35.514725
61.732275,31.3605,234.238375,172.719625,190.22745,43.52845,35.638325
61.7989,31.505375,235.2289,173.46745,190.245075,43.5429,35.649975
61.862825,31.556125,236.020575,173.531925,191.0238,43.8746,35.7433
62.03175,31.59405,236.4289,173.735,191.797375,43.9006,35.756
62.181225,31.777325,237.108675,173.773375,191.8189,43.950775,35.7718
62.665525,31.81345,237.2491,173.8415,192.62445,44.10765,35.77605
62.6742,31.86385,237.284625,174.2568,192.89835,44.322075,35.8384
62.989375,31.898475,237.426475,174.92065,193.7572,44.342375,35.87235
63.379725,31.935025,238.0206,175.329475,194.03915,44.5478,35.88095
63.703475,32.180125,239.31505,175.5572,194.413275,44.733825,35.90955
63.977925,32.29915,239.52475,175.642125,194.49215,44.741225,35.926325
