SPK_SPKC09c (exc),SPK_SPKC11a (exc),SPK_SPKC13a (exc),SPK_SPKC13b (inhib)
849.73545,816.64925,810.807725,811.11305
849.752975,816.675225,810.833475,811.127425
849.8213,816.7022,810.91975,811.149525
849.990675,816.7262,810.92195,811.166675
850.05575,816.894175,810.93075,811.220675
850.226875,817.00225,810.959675,811.2506
850.242875,817.036125,810.9946,811.272425
850.35905,817.074725,810.999175,811.295775
850.440375,817.110575,811.05675,811.327075
850.4847,817.2446,811.09805,811.3498
850.75955,817.395375,811.099275,811.36805
851.085375,817.42305,811.1453,811.385075
851.491075,817.4457,811.2049,811.43155
851.608925,817.487425,811.338875,811.456
851.795675,817.506925,811.450825,811.47495
852.0837,817.555625,811.470975,811.53155
852.3818,817.585675,811.4891,811.554225
852.691975,817.615975,811.5226,811.57985
853.65305,817.71695,811.539725,811.602575
854.39125,817.863075,811.574275,811.630975
854.42905,817.99655,811.726225,811.653775
854.7216,818.0608,811.744425,811.683725
854.957875,818.0886,811.76985,811.709475
855.2865,818.10155,811.878925,811.735325
855.402525,818.128025,811.881925,811.751625
855.4788,818.188725,811.8994,811.81005
855.6683,818.3524,811.916675,811.82595
855.968125,818.393775,811.938925,811.852375
856.211825,818.5067,811.955875,811.87195
856.5247,818.6271,811.985525,811.896925
856.7444,818.699175,812.025275,811.9244
856.835325,818.726325,812.06955,811.95725
857.0282,818.75175,812.091875,811.969825
857.2407,818.7796,812.173475,812.017125
857.266,818.80225,812.228025,812.0629
857.3466,818.81985,812.246325,812.107825
857.4636,818.845275,812.305825,812.138975
857.484775,818.8864,812.325225,812.16015
857.6303,818.93025,812.36885,812.184525
857.736925,819.037375,812.426525,812.256375
857.82265,819.07735,812.48035,812.2886
857.908875,819.130725,812.500575,812.3232
858.088975,819.218825,812.5163,812.365425
858.36,819.434875,812.603875,812.400025
858.853975,819.49545,812.628525,812.4314
858.917375,819.6432,812.6818,812.457425
859.239975,819.683825,812.70225,812.484725
859.612975,819.712025,812.770825,812.497025
859.860525,819.743825,812.794975,812.508425
859.945925,819.78335,812.8819,812.536425
860.17925,819.828425,812.90215,812.547925
860.34585,819.87095,812.904675,812.56265
860.599925,819.921975,812.918525,812.581025
860.8854,819.98,812.920275,812.634475
860.953625,820.038075,812.954425,812.668325
861.131125,820.064225,813.007925,812.688975
861.224,820.0997,813.0157,812.71285
861.270975,820.14415,813.0584,812.739375
861.2725,820.186125,813.0715,812.775325
861.389675,820.2417,813.104375,812.79345
861.427,820.314525,813.117925,812.8313
861.632425,820.36605,813.134125,812.855925
861.82635,820.42505,813.174525,812.87825
861.879275,820.537525,813.187775,812.928575
862.043275,820.634275,813.23835,812.93615
862.4945,820.692825,813.27525,813.016725
862.6253,820.742975,813.3059,813.038075
862.95125,820.8383,813.31095,813.11435
