SPK_SPKC10a,SPK_SPKC11a,SPK_SPKC11c,SPK_SPKC13a
209.9922,,247.57625,
210.0638,,247.720375,
210.1041,,247.774825,
210.11895,,248.152,
210.153575,,248.174475,
210.21055,,248.251075,
210.544975,,248.2845,
210.567225,,248.357475,
210.599975,,248.384525,
210.62065,,248.48495,
210.790525,,248.616675,
211.62005,,248.65175,
211.705825,,248.9471,
211.8569,,248.997925,
211.92355,,249.162125,
211.9908,,249.1856,
212.0599,,249.1914,
212.11365,,249.23245,
212.4616,,249.360625,
212.482375,,249.3819,
212.4911,,249.4481,
212.59175,,249.516075,
213.22125,,249.7058,
213.564325,,249.7358,
213.6438,,249.8347,
213.790225,,250.120725,
213.946425,,250.231975,
213.9772,,250.275425,
214.049525,,250.3752,
214.215225,,250.564325,
214.268475,,250.623075,
214.288025,,250.7097,
214.3815,,250.95635,
214.4829,,251.018225,
214.674725,,251.1825,
214.805075,,251.2233,
214.998075,,251.41195,
215.06555,,251.50065,
215.1388,,251.569575,
215.18555,,251.615475,
215.3333,,251.684275,
215.57395,,251.878025,
216.053275,,251.910825,
216.20995,,251.93735,
216.25625,,251.9467,
216.298025,,252.26775,
216.80745,,252.63225,
216.829,,252.684775,
216.860675,,252.743825,
217.2909,,253.0465,
217.336475,,253.3271,
217.38315,,253.404325,
217.62885,,253.4371,
217.671325,,253.485475,
217.723675,,253.508275,
217.885775,,253.53195,
218.5133,,254.0658,
219.04235,,254.165575,
219.42625,,254.24725,
219.864925,,254.348975,
219.89345,,254.404575,
220.0765,,254.645025,
220.272625,,254.99495,
220.456325,,255.04065,
220.893725,,255.42245,
221.01135,,255.472725,
221.044825,,255.64085,
221.32215,,255.678225,
221.809875,,255.7397,
222.160425,,255.847075,
222.360475,,256.1699,
222.38415,,256.3214,
223.207125,,256.526925,
223.62865,,256.627575,
223.6428,,256.654,
223.6957,,256.7714,
223.8441,,256.9006,
223.88015,,256.969025,
224.212275,,257.051475,
224.31045,,257.103375,
224.3848,,257.2691,
224.448975,,257.3195,
224.46985,,257.3743,
224.495575,,258.110675,
224.565575,,258.1502,
224.742275,,258.270825,
224.858975,,258.317825,
224.962625,,258.444675,
225.02,,258.60405,
225.2614,,259.01785,
225.284225,,259.16595,
225.5285,,259.273175,
225.684225,,259.348175,
225.702425,,259.513925,
225.877425,,259.5359,
225.95035,,259.666475,
225.976925,,259.700625,
226.0236,,259.96125,
226.08285,,260.225475,
226.387025,,260.53975,
226.4733,,260.73605,
226.71205,,260.8172,
226.836,,260.8576,
226.890575,,261.0219,
227.2969,,261.122375,
227.5671,,261.18315,
227.6843,,261.50945,
227.810375,,261.58685,
227.915975,,261.652025,
228.1575,,261.778325,
228.1752,,261.79965,
228.29555,,261.905125,
228.52255,,261.925125,
229.1201,,262.0206,
229.1968,,262.063,
229.797775,,262.2186,
229.970825,,262.261875,
230.2347,,262.376625,
230.248625,,262.726525,
230.438825,,262.906225,
230.44905,,262.9533,
231.352525,,263.2041,
231.5076,,263.307425,
231.522775,,263.4165,
231.6963,,263.500075,
231.9091,,263.569975,
231.96595,,263.846525,
232.271925,,264.056225,
232.5166,,264.085775,
232.5616,,264.107925,
232.626425,,264.146975,
232.642325,,264.2542,
232.64845,,264.79875,
232.925175,,264.8317,
233.307525,,264.88095,
233.3156,,264.9082,
234.2153,,265.359125,
234.5108,,265.462325,
234.602075,,265.717825,
234.62655,,265.92405,
234.731975,,266.029775,
235.100175,,266.137825,
235.1164,,266.360275,
235.149475,,266.47865,
235.21705,,266.491875,
235.646425,,266.74055,
235.9936,,266.8493,
236.007375,,266.987675,
236.324825,,267.14595,
236.39105,,267.19355,
236.893425,,267.286675,
236.9775,,267.33215,
237.114225,,267.4792,
237.22705,,267.586725,
237.4247,,267.659775,
237.61215,,267.8954,
238.607625,,267.925725,
239.3373,,268.226975,
239.879025,,268.29505,
240.005825,,268.3765,
240.150325,,268.46785,
240.58645,,268.5442,
241.226125,,269.0095,
241.241775,,269.158375,
242.31515,,269.2735,
242.5636,,269.511675,
242.9289,,269.679775,
243.0677,,269.7516,
243.279075,,269.877325,
243.840825,,269.951075,
244.19685,,270.181275,
244.600325,,270.6819,
244.7102,,270.7329,
245.163775,,270.771175,
245.21205,,270.80755,
245.247925,,271.00805,
245.422675,,271.360625,
245.585825,,271.518425,
