SPK_SPKC02b,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC13a
3260.3186,3243.3269,3218.742375,3210.536925,3248.10165
3260.426125,3243.3663,3218.75975,3210.556075,3248.474275
3260.494525,3243.784625,3218.811425,3210.59365,3248.86735
3260.7231,3243.830675,3218.833725,3210.604025,3249.050525
3260.741375,3243.915625,3218.8948,3210.613375,3249.35165
3260.79895,3243.956925,3218.901,3210.619875,3249.49905
3260.909375,3244.019425,3218.921975,3210.639225,3249.633575
3260.922575,3244.046825,3219.032075,3210.6724,3249.731825
3260.946475,3244.102275,3219.121025,3210.68415,3249.84265
3260.985925,3244.372075,3219.135125,3210.693075,3249.99375
3261.039775,3244.3921,3219.15965,3210.722975,3250.018475
3261.2062,3244.44335,3219.17145,3210.762175,3250.1458
3261.3775,3244.454425,3219.220325,3210.7709,3250.225825
3261.54965,3244.456,3219.271525,3210.7943,3250.23585
3262.0192,3244.69395,3219.363525,3210.8542,3250.3255
3262.173875,3244.897475,3219.44935,3210.880375,3250.52365
3262.5022,3244.934075,3219.50355,3210.9067,3250.611125
3262.581625,3244.966575,3219.541425,3210.962675,3250.644125
3262.743725,3245.057425,3219.575825,3211.041025,3250.730225
3263.24405,3245.086875,3219.612625,3211.068025,3250.8423
3263.2749,3245.468075,3219.62065,3211.0947,3250.903475
3263.46395,3245.4837,3219.63635,3211.134175,3251.095425
3263.537625,3245.4964,3219.7388,3211.141175,3251.14965
3263.720775,3245.57835,3219.7884,3211.181525,3251.19325
3263.866025,3245.6573,3219.8998,3211.20295,3251.212
3263.8969,3245.673475,3219.93875,3211.246325,3251.301975
3264.0244,3245.80785,3219.954225,3211.259,3251.4271
3264.312425,3245.9928,3219.966475,3211.28465,3251.448275
3264.6632,3246.231025,3219.97845,3211.297125,3251.661475
3264.72365,3246.279225,3220.10765,3211.30845,3251.887725
3264.77885,3246.446575,3220.1389,3211.32185,3252.010225
3264.857,3246.65275,3220.316975,3211.36145,3252.1067
3265.09875,3246.6596,3220.361225,3211.378325,3252.331775
3265.166275,3246.961475,3220.4096,3211.39615,3252.550475
3265.19535,3247.162825,3220.419175,3211.4203,3252.665025
3265.3688,3247.1832,3220.42865,3211.442425,3252.795625
3265.396625,3247.209975,3220.523525,3211.44995,3252.9411
3265.6676,3247.228875,3220.56665,3211.4832,3253.209925
3265.66915,3247.299075,3220.58,3211.530625,3253.246625
3265.701,3247.3066,3220.69475,3211.539775,3253.349725
3265.9494,3247.49255,3220.7127,3211.565,3253.3718
3265.971625,3247.66995,3220.82265,3211.578525,3253.597225
3266.145875,3247.74015,3220.840125,3211.58985,3253.706225
3266.317575,3247.781975,3220.860875,3211.604725,3253.847675
3266.430225,3247.7972,3220.94505,3211.63045,3253.871775
3266.63815,3247.8296,3220.974825,3211.663375,3254.26715
3266.64575,3247.84965,3221.017125,3211.68115,3254.451975
3266.664125,3247.85985,3221.090475,3211.69745,3254.77135
3266.6752,3247.8837,3221.151825,3211.7075,3254.83255
3266.975,3247.8974,3221.16515,3211.720475,3254.889875
3267.23565,3248.11965,3221.179525,3211.73675,3255.41375
3267.4318,3248.2068,3221.27215,3211.741075,3255.44975
3267.467675,3248.238925,3221.31205,3211.77675,3255.5057
