SPK_SPKC07a (inhi),SPK_SPKC10a (no opto-tagging),SPK_SPKC16a (no clear)
509.126475,530.0606,583.872375
509.140025,530.093475,584.428125
509.148425,530.155025,584.860675
509.1645,530.3488,585.35915
509.175125,530.402925,585.6266
509.1926,530.47945,585.69045
509.241575,530.719725,585.914875
509.446975,530.963775,586.3466
509.4564,531.0152,586.592275
509.465675,531.29775,586.62205
509.4811,531.48515,586.889
509.4958,531.75645,587.67325
509.504675,531.795525,587.785125
509.5285,532.125375,588.805725
509.535925,532.353725,588.901725
509.547425,532.40105,588.997425
509.56475,532.422925,589.00765
509.5733,532.427425,589.1493
509.585925,532.4824,589.376025
509.59655,532.52065,589.764075
509.60605,532.657325,590.40375
509.636425,532.67745,591.052
509.645425,532.900725,592.59315
509.6552,533.023275,592.7836
509.68645,533.132925,593.1523
509.70955,533.4761,593.204775
509.733625,533.7436,593.3543
509.75895,533.832775,593.438
509.798775,533.872775,593.48085
509.943475,533.880075,593.619875
509.955925,533.9442,594.1534
509.969875,534.202525,594.537025
509.982825,534.2539,594.7713
509.999925,534.3442,594.792175
510.00835,534.5073,595.429625
510.022025,534.63425,595.53735
510.03845,534.889725,595.5711
510.119275,534.992725,595.684825
510.164925,535.0511,595.748425
510.323075,535.12805,595.884975
510.343475,535.40945,596.0638
510.35475,535.478175,596.36535
510.37365,535.49725,596.3998
510.38265,535.5307,596.6774
510.401725,535.642,597.2109
510.4202,535.802025,597.2386
510.432175,535.82035,597.28625
510.443575,535.8733,597.574275
510.459425,535.8941,597.773225
510.48995,535.91625,597.9544
510.51105,536.1267,598.10775
510.60705,536.527,598.215075
510.7337,536.5533,598.362925
510.74965,536.611475,599.3522
510.76505,536.677625,599.4584
510.77845,536.687425,599.596175
510.798,536.7078,599.753775
510.80575,536.9279,600.420225
510.8157,537.134225,600.701625
510.825225,537.153675,600.8109
510.8337,537.1893,600.872475
510.850225,537.2413,600.9526
510.860475,537.27035,601.0308
510.86645,537.4135,601.190225
510.8745,537.603075,601.292425
510.8799,537.7377,601.61755
510.893825,537.821775,602.510175
510.901925,537.8631,603.4034
510.93315,537.96545,603.41905
510.939525,537.988225,603.780575
510.95085,538.01555,604.18015
510.958125,538.07625,604.189875
510.9688,538.34575,604.9578
510.978525,538.359625,605.138075
510.988275,538.377325,605.258275
511.006575,538.5705,605.266875
511.029325,538.6446,605.39815
511.112325,538.651375,605.407375
511.141125,538.698075,605.67465
511.1874,538.7122,606.2474
511.26285,538.743375,606.372125
511.27965,538.78895,606.38325
511.2937,538.960725,606.658925
511.30345,539.14215,606.6667
511.314525,539.14495,606.892425
511.3256,539.151975,607.081025
511.345825,539.18145,607.1797
511.3572,539.29585,607.299375
511.368825,539.297425,607.39335
511.3825,539.376475,607.42805
511.39475,539.616675,607.43865
511.42695,539.767975,607.60345
511.4532,539.92985,607.6694
511.495825,540.0405,608.0084
511.5233,540.306575,608.200275
511.686775,540.32065,608.45085
511.70555,540.367325,608.482175
511.7234,540.51615,608.5934
511.728825,540.5208,608.754225
511.737775,540.571675,609.1268
511.747675,540.6077,609.1365
511.757775,540.640725,609.242175
511.765925,540.65715,609.52225
