SPK_SPKC04a (inhibited),SPK_SPKC09b (inhibited),"SPK_SPKC11a (NA, artefact)",SPK_SPKC12a (excited)
34.8972,269.58105,106.20185,234.00725
34.931425,270.093675,106.26205,234.045675
34.969575,270.388175,107.3968,235.180375
35.241725,270.46605,109.0034,235.19255
35.3168,270.50795,109.68915,235.22745
35.395275,270.652125,110.17545,235.2438
35.4346,270.6713,110.605825,235.340975
35.487175,270.749175,111.32635,235.635725
35.642075,270.9201,112.93735,236.2987
35.79205,271.7173,114.0673,236.309775
36.1924,271.9673,114.88835,236.313775
36.281975,272.007925,115.43595,236.4953
36.3597,272.128975,116.84885,236.8536
36.5777,272.599725,117.8863,236.9265
36.822775,272.771425,118.180525,237.1272
36.833625,272.793525,118.2846,237.27955
36.879825,273.06975,119.05085,237.35695
36.88735,273.272425,120.238175,238.114225
36.938125,273.41895,121.107975,238.7992
36.97425,274.172975,121.165825,239.036225
37.139225,274.2191,123.420625,239.1003
37.196,274.65105,123.74395,239.21555
37.232975,275.016975,123.882125,239.293475
37.2478,275.477125,125.125025,239.629075
37.25595,276.563975,126.37265,239.911225
37.268475,276.6459,126.3835,240.204675
37.2839,277.058025,126.83385,240.2133
37.371475,277.106825,127.49145,240.8188
37.5347,277.497725,128.76995,241.178475
37.604075,277.811525,129.027575,241.188525
37.647325,277.9885,129.42475,241.484625
37.72055,278.229125,131.45125,241.614575
37.745225,278.3068,133.399025,241.665975
37.842125,278.4515,135.170225,241.8492
37.89075,278.650475,135.577125,241.88665
38.071025,278.84675,135.82435,241.93725
38.1276,279.135625,136.641275,242.139925
38.290175,279.257525,136.929225,242.277375
38.3186,279.45955,137.661275,242.377725
38.46815,279.78245,139.022475,243.5632
38.494475,280.02475,140.562225,243.601675
38.59135,280.270475,141.36395,243.75245
39.0319,280.617825,142.079175,243.912125
39.0706,280.71375,143.750575,243.9475
39.097,281.04945,144.669925,244.38205
39.11195,281.202425,145.3328,244.4317
39.18515,281.2234,146.865175,244.4684
39.257475,281.8546,148.615325,244.7987
39.307175,282.208425,153.3804,244.90725
39.8212,282.8793,156.0579,245.439025
39.878325,282.944775,160.322425,245.65645
39.936675,283.0104,160.631475,245.813575
39.96125,283.550775,161.110025,246.269975
39.978375,283.8752,161.227575,246.59905
40.1242,284.206925,163.79955,246.9045
40.264425,285.662475,165.422175,247.557925
40.854725,285.7651,166.89655,248.2015
41.061975,285.832625,168.779425,250.15995
41.104625,286.07175,169.0162,250.611625
41.12455,286.65785,169.188575,251.168925
41.187225,286.800975,170.615525,251.7689
41.200925,287.409775,175.368425,251.99385
41.285025,287.961925,175.850725,252.47755
41.567825,288.27835,176.108775,252.643475
41.6617,288.3086,176.1349,252.774125
41.676575,288.66875,176.424375,253.128025
41.8187,288.714875,176.509975,253.78
42.01955,289.016875,177.0628,254.279425
42.0999,290.213725,177.088425,254.701025
42.10665,290.447,178.31825,254.866775
42.138025,290.61465,182.5002,255.003875
42.14915,290.652175,184.54,255.832075
42.21285,290.672225,184.978325,255.893475
42.253675,291.624425,185.919325,255.925225
42.3962,291.729025,187.3442,256.1666
42.531675,291.89165,188.304525,256.194325
42.591375,292.3302,188.6934,256.342325
42.6297,292.831425,189.323875,256.594325
42.8871,292.9997,192.03775,256.62095
43.093025,293.041325,194.731925,257.0531
43.2065,293.0992,195.205475,257.32805
43.23415,293.450175,195.31325,257.468625
43.2582,293.499775,196.4309,257.6207
43.315225,293.6602,197.47095,257.66555
43.7155,293.671825,199.123075,258.068125
43.721425,293.67555,202.459075,258.344175
43.85055,294.090975,202.541075,258.444375
44.047725,294.14015,208.5155,258.552975
44.250425,294.339775,209.514,258.6176
44.387675,294.50995,210.79655,258.6397
44.535875,295.082475,212.1953,258.820175
45.0851,295.1432,212.279825,259.10995
45.2677,295.475925,213.042175,259.61465
45.33285,295.623725,214.437225,259.70355
45.410925,295.952725,214.680175,259.74255
45.715375,296.0896,215.5324,259.749825
45.769325,296.22335,216.03075,260.183225
45.780775,296.261125,216.31155,260.490325
45.894525,296.39475,223.358925,260.7405
46.021125,296.803775,226.2091,260.791925
46.092025,296.86005,226.69255,261.49155
46.227375,296.9077,227.876625,261.5581
46.610325,298.015575,228.09145,261.824375
46.755725,298.09505,228.661,261.8509
46.922775,298.22295,229.155325,262.377875
47.00135,298.33835,229.78545,263.303575
47.00955,298.523825,230.8392,263.6202
47.011025,298.962775,231.085525,263.667525
47.284275,299.176925,232.226,263.84475
47.765675,299.617725,234.8176,264.013375
47.8302,299.725525,235.180375,264.03
47.8571,299.79145,239.215575,264.217725
48.105075,299.82195,242.239525,264.3695
48.375175,299.876325,242.277375,264.58115
48.392175,299.91295,243.04575,264.606275
48.415675,299.985675,243.483125,264.6284
48.4307,300.098675,243.544575,264.988825
49.029725,300.227725,243.944525,264.99965
49.1384,300.454375,245.239675,265.267525
49.439575,300.48925,245.77225,265.33435
49.527475,300.516275,245.813575,265.41665
49.700725,300.542525,246.24295,266.095475
50.10155,300.9595,246.521125,266.291
50.5814,300.99735,248.964225,266.7943
50.908775,301.08955,249.185675,267.001075
50.929875,301.156525,249.428375,267.394725
51.4393,301.321475,252.472125,267.7179
51.741025,301.553425,252.603875,268.359225
51.95395,301.69975,253.655675,268.3875
52.610675,301.808225,253.6948,268.50935
52.68085,302.061225,254.456725,268.866675
52.750525,302.5557,257.08235,268.891325
53.037225,302.767175,257.155425,269.772025
53.834325,303.152525,261.8509,270.4773
54.697375,303.219325,264.127775,270.70815
54.71925,303.382325,264.576975,270.7201
54.84255,303.83995,265.559875,270.861225
55.214,303.9871,267.659425,271.2422
55.226625,304.934975,270.673175,271.2479
55.2657,305.081275,271.247925,271.256825
55.417175,305.1699,271.45445,271.3235
55.469975,305.457025,271.535575,271.40555
55.654,305.847775,271.8887,271.454425
56.331075,306.430225,272.8371,271.50985
56.460575,306.46595,273.337575,271.670225
56.837875,306.81735,275.21555,271.901575
56.89525,307.2151,276.530425,271.9064
57.2951,307.561075,276.813475,271.925375
57.90765,308.657775,277.305275,272.31375
58.39865,309.23595,278.868925,272.330625
58.729475,309.333525,279.4046,272.70525
60.37515,309.963125,279.819075,272.8656
60.466925,310.4401,280.02485,272.99295
60.473375,310.5707,280.671425,273.0472
60.594,310.668125,280.808825,273.6228
60.921725,311.01845,281.409025,273.872375
61.0503,311.468,282.948575,273.8783
61.4447,311.892725,283.180425,274.20785
61.65055,312.372925,286.8048,274.695225
61.6734,312.8843,287.51765,274.97205
61.7159,313.034525,289.90315,275.002225
61.92645,313.243725,294.846475,275.01725
61.942525,313.46635,295.47595,275.284575
61.955475,313.623925,296.089675,275.550175
62.1415,313.6652,297.712425,275.660825
62.223475,313.87935,299.096775,275.689475
62.3423,314.9084,299.73615,275.991975
62.48225,315.5355,300.43625,276.03405
62.594225,315.70945,300.86765,276.437875
62.60595,316.1953,301.536575,276.461375
62.689575,316.580775,303.4065,276.530425
62.703375,317.31855,303.49355,276.731025
62.714025,317.3922,304.4427,277.3384
63.13035,319.646375,308.952325,277.36805
63.2643,319.911075,309.7061,277.420225
63.449575,320.2446,310.301025,278.46225
63.6387,320.2897,310.9478,278.676125
63.6563,320.395875,311.380075,278.868925
64.076825,320.55005,314.339525,278.9101
64.2222,321.7224,314.42815,278.9734
64.44215,321.7551,316.0727,279.096275
64.587875,322.264575,317.5305,279.611075
64.60395,322.7582,317.5893,279.661625
64.808125,322.784625,317.630975,280.07095
64.9501,322.996425,317.795325,280.52495
65.1048,323.891375,318.672575,280.7197
65.2621,324.076775,319.105475,280.729825
65.2877,324.118875,319.38575,281.3541
65.32165,324.2874,319.48595,281.66325
65.9361,324.437225,320.59345,282.60305
66.003425,325.4187,321.8985,282.68255
66.10415,325.5016,323.558225,283.036825
66.166025,325.91475,324.3738,283.073975
66.439475,327.555375,325.2102,283.13465
66.506425,327.78815,328.15665,283.7304
66.81845,328.7814,329.602925,283.99555
66.8559,328.9396,330.40345,284.142925
66.8704,329.77355,331.375975,284.433525
67.10145,329.84405,335.727225,284.53755
67.247,331.104475,336.49245,284.8359
67.379325,331.397125,336.95575,284.877175
67.544275,331.856925,337.06785,285.012275
67.686675,334.613875,338.806225,285.204625
67.8766,334.759225,339.815525,285.541
67.893425,334.987425,344.61845,286.337075
67.902025,335.0383,345.7453,286.383325
67.9651,335.248275,347.8163,286.58205
68.002075,335.279175,347.95465,286.804825
68.0959,335.343125,348.506225,286.8476
68.3939,335.36315,348.5541,286.920625
68.395025,335.401,351.658975,287.073
68.433475,336.2522,352.608625,287.42015
68.438925,336.393875,353.2031,287.450925
68.492425,336.652775,354.832625,288.169075
69.0504,337.18515,356.2802,288.70875
69.245875,337.211575,358.6309,288.8346
69.474675,337.5086,358.995375,289.11345
69.612125,337.706225,,289.7055
69.665225,337.81945,,290.085025
70.079825,337.856525,,290.1286
70.2342,338.55305,,290.14545
70.67395,338.6051,,290.4066
70.698125,338.837275,,290.57115
71.07895,339.094075,,290.736625
71.122125,339.707625,,290.765375
71.141175,340.06815,,292.15305
71.593,340.481825,,292.187075
71.99255,340.76845,,293.0319
72.0191,340.89245,,293.529225
72.48395,341.09485,,294.0904
72.63745,341.2315,,294.157775
72.8131,341.554,,294.192625
72.856975,341.573875,,294.535975
73.5826,341.724575,,294.801675
73.61835,342.061225,,295.0233
73.833675,342.08495,,295.48115
73.95765,342.119425,,295.6383
74.20365,342.1459,,295.648725
74.467225,342.218375,,295.789475
74.582075,342.374225,,296.067525
75.048725,342.574575,,296.480875
75.59385,342.652275,,296.507775
75.63015,342.773275,,296.57395
75.824375,342.79605,,297.02035
76.0273,342.85265,,297.027525
76.30635,342.9988,,297.15195
76.504725,343.26575,,297.26565
76.536975,343.457025,,297.2956
76.55035,344.09855,,297.65265
76.584325,344.1454,,297.71245
76.604675,344.281425,,297.7136
76.94605,344.42025,,298.164125
77.0897,344.58765,,298.591975
77.142875,345.33615,,298.631775
77.28185,345.415725,,299.049275
77.327375,345.4443,,299.20165
77.9313,345.71755,,299.622525
78.1697,346.335475,,299.722275
78.23035,346.364225,,299.804075
78.3249,346.507975,,299.858275
78.36965,346.64635,,300.004275
78.449475,346.76835,,300.0855
78.486075,346.8309,,300.4149
78.6181,347.0004,,300.4831
78.7579,347.2137,,300.575925
78.836075,347.648825,,300.58205
78.953675,347.663425,,300.94125
79.244325,347.9754,,301.022
79.3505,348.488075,,301.403825
79.488325,348.741825,,301.536575
79.56295,348.803975,,301.69405
79.6945,349.075975,,301.76655
79.8393,349.077225,,301.789325
80.002275,349.238375,,301.809025
80.0672,349.289925,,301.89005
80.3691,349.353725,,302.64235
80.51255,349.5939,,303.190025
80.570525,349.7105,,303.213425
80.67235,350.004075,,303.249375
80.90495,350.73045,,303.258
80.94405,350.85875,,303.4065
80.973725,350.90775,,304.029775
81.88565,351.033925,,304.086375
81.912725,351.13345,,304.1735
82.1548,351.2024,,304.555175
82.3401,351.23435,,304.76005
82.6046,351.38815,,305.1319
82.665575,351.565175,,305.1471
82.8226,351.915875,,305.212375
83.24355,351.932325,,305.274325
83.393175,352.197325,,305.796925
83.6319,352.3153,,305.838375
83.780475,352.9187,,306.386675
83.8524,353.224025,,306.519775
83.99945,353.2758,,306.793775
84.00915,353.331125,,306.809725
84.064225,353.376625,,307.079325
84.401225,353.619175,,307.226725
85.023775,353.6449,,307.4572
85.085525,353.833325,,307.521825
85.5167,354.065975,,307.7791
85.529075,354.877325,,307.8484
85.540725,355.09835,,308.09025
85.70225,355.168325,,308.128275
85.842175,355.43375,,308.139625
