SPK_SPKC06a (excited),SPK_SPKC12a (no effect),SPK_SPKC12b (NA),SPK_SPKC16a (no effect),SPK_SPKC16b (short inhibition)
24.6183,40.2479,15.409725,219.88345,125.4559
24.64505,40.322525,15.41935,219.93745,125.488525
24.7036,40.402875,15.436775,220.124475,125.719725
24.734,40.51125,15.4569,220.41935,125.75635
24.753675,40.599925,15.4848,220.440575,125.839
24.778175,40.6267,15.534675,220.7219,125.86045
24.81405,40.65,15.5504,221.362675,125.872175
24.86155,40.659225,15.57675,221.49975,126.081375
24.8815,40.779825,15.605025,221.748125,126.516125
24.936325,40.805625,15.6266,221.9968,126.77105
24.9756,40.8292,15.629175,222.168275,126.926775
24.98935,40.87285,15.705025,222.422475,126.975725
25.032975,41.12285,15.742875,223.25875,127.09765
25.03435,41.14465,15.748525,223.727875,127.412375
25.0465,41.15365,15.76795,224.54485,127.535
25.053425,41.2364,15.77315,224.567725,127.568625
25.066275,41.268325,15.802475,224.588425,127.65995
25.089125,41.3125,15.832225,224.6376,127.67855
25.09275,41.334925,15.856225,224.6542,127.76835
25.106175,41.373275,15.880725,224.9409,127.828725
25.128225,41.419025,15.924075,225.055875,127.8731
25.140525,41.68125,15.97035,225.582075,127.915725
25.18135,41.9476,15.98655,225.700975,127.926275
25.1925,42.05975,16.008375,225.842025,127.983625
25.19785,42.253575,16.101375,225.9048,128.057825
25.233625,42.2649,16.142075,226.021275,128.245125
25.3205,42.4026,16.150925,226.1306,128.498275
25.3769,42.591175,16.1781,226.35435,128.554175
25.46335,42.647625,16.204425,226.39735,129.152175
25.469575,42.660925,16.22375,226.41525,129.174925
25.5839,42.69605,16.30445,226.602825,129.477825
25.6022,43.07455,16.348625,227.45595,129.70605
25.668825,43.10405,16.369625,228.106875,129.721175
25.758325,43.16815,16.3906,228.190475,129.81985
25.78405,43.2735,16.4209,228.264025,130.02625
25.80715,43.3374,16.4921,228.668475,130.158825
25.839275,43.411875,16.540775,228.772125,130.291
25.864625,43.4779,16.592075,228.800275,130.33925
25.879925,43.490925,16.61015,228.848575,130.413925
25.922025,43.55015,16.64195,229.4597,130.4652
25.970525,43.586425,16.6747,229.47825,130.5182
26.022325,43.677475,16.70475,229.75165,130.57765
26.1021,43.774475,16.7336,229.75565,130.775075
26.1439,43.836275,16.756975,229.83035,130.8534
