SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
112.443975,111.190075,141.0074,112.41935,112.278175,108.7062
112.4743,111.202625,141.047125,112.495125,112.3264,108.7207
112.496225,111.2216,141.053075,112.5544,112.38625,108.739575
112.497925,111.25135,141.13485,112.586325,112.42495,108.7615
112.532225,111.287425,141.20835,112.62265,112.468225,108.769925
112.580875,111.304675,141.245425,112.693175,112.51075,108.7887
112.5851,111.33005,141.269625,112.75665,112.539525,108.842625
112.588425,111.3517,141.479775,112.81535,112.5885,108.873025
112.616425,111.377825,141.501725,112.8714,112.62655,108.885
112.634175,111.401925,141.549775,112.945375,112.6763,108.93535
112.665375,111.43525,141.614775,112.976825,112.7266,108.956
112.6961,111.480625,141.73075,113.032075,112.7694,108.972225
112.71705,111.5082,141.76015,113.07075,112.8039,109.01255
112.73855,111.52925,141.823125,113.14325,112.829975,109.0228
112.790775,111.558575,141.878475,113.1913,112.9131,109.02625
112.842425,111.579025,141.909325,113.226725,112.95675,109.0484
112.849975,111.602625,142.04275,113.241525,113.008625,109.06075
112.87045,111.625475,142.13245,113.265775,113.016375,109.070025
112.928125,111.71525,142.201225,113.277225,113.04935,109.08485
112.9659,111.730425,142.22365,113.287075,113.095375,109.094825
113.01085,111.76045,142.23665,113.297675,113.142125,109.1073
113.0258,111.78995,142.253825,113.3861,113.16545,109.111575
113.04145,111.818275,142.470625,113.42225,113.2536,109.121425
113.1164,111.837,142.53865,113.52445,113.2621,109.12315
113.1415,111.8566,142.606925,113.583875,113.29355,109.14935
113.15055,111.87955,142.625275,113.607525,113.308025,109.16125
113.1741,111.908775,142.8115,113.61945,113.322425,109.16755
113.19765,111.929325,142.902,113.630325,113.328525,109.172675
113.243475,111.95145,142.9854,113.64325,113.363625,109.201725
113.25245,111.968775,143.03695,113.6592,113.4009,109.2139
113.277775,111.9995,143.06875,113.72545,113.438,109.228125
113.2827,112.0807,143.173975,113.78055,113.4749,109.26255
113.30755,112.130475,143.2319,113.8882,113.522675,109.285025
113.34815,112.1449,143.283625,113.908025,113.594625,109.317575
113.384475,112.1481,143.390175,113.91955,113.61505,109.345275
113.39185,112.164075,143.46705,113.938975,113.625775,109.35845
113.430575,112.185075,143.51435,113.943325,113.64175,109.3912
113.4525,112.19505,143.5748,113.947175,113.657525,109.4033
113.4877,112.224775,143.74485,113.94945,113.66905,109.431
113.503875,112.251575,143.919725,113.959125,113.689275,109.455575
113.540175,112.271175,143.975925,113.964325,113.727725,109.47075
113.589,112.3008,144.1738,113.97085,113.79555,109.508175
113.62365,112.346125,144.381625,113.9835,113.8589,109.529025
