SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC12b,SPK_SPKC13a,SPK_SPKC13b
,,79.1909,199.500475,55.3938,59.8071
,,79.215275,199.787875,55.6324,59.85185
,,79.293175,,55.6833,60.048125
,,79.437125,,55.949725,60.1272
,,79.628125,,55.9892,60.189875
,,79.836675,,56.05185,60.268025
,,79.96515,,56.369325,60.312075
,,80.174525,,56.48035,60.348725
,,80.260575,,56.57235,60.498475
,,80.362575,,56.614875,60.55065
,,80.64615,,56.874675,60.59225
,,80.733925,,57.11015,60.655175
,,80.779925,,57.242,60.760225
,,80.877375,,57.38415,60.868475
,,81.004275,,57.4628,61.159975
,,81.1899,,57.499325,61.243325
,,81.2338,,57.687225,61.346075
,,81.33605,,57.77635,61.5112
,,81.4897,,57.858525,61.87205
,,81.6355,,58.1824,62.075725
,,81.918,,58.2688,62.21495
,,81.998325,,58.345775,62.39435
,,82.123075,,58.473,62.508175
,,82.26455,,58.531125,62.623275
,,82.304975,,58.63455,62.7226
