SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC13b,SPK_SPKC13c
59.89765,3723.422625,,,,3656.141575
60.26805,3723.501525,,,,3656.720175
60.550675,3723.699225,,,,3656.87195
60.96415,3724.484025,,,,3657.2696
61.295975,3725.1233,,,,3658.07815
61.37465,3725.67515,,,,3658.217375
61.8393,3727.451475,,,,3658.3307
61.97795,3727.86795,,,,3658.7595
62.14355,3728.104925,,,,3658.843025
62.6008,3728.631875,,,,3658.909875
63.697125,3728.952775,,,,3659.4376
64.158125,3730.292075,,,,3659.446575
64.287875,3730.636775,,,,3659.582
64.474875,3730.9322,,,,3659.98715
65.03045,3732.276975,,,,3660.3362
65.1421,3735.91405,,,,3660.495925
65.30495,3736.02255,,,,3660.683975
65.451625,3736.501075,,,,3661.19905
65.5233,3736.771575,,,,3661.42405
65.89955,3737.298175,,,,3661.64815
66.175475,3737.338125,,,,3662.057975
66.2187,3737.45105,,,,3663.13895
66.97835,3739.346825,,,,3663.83935
67.472,3740.233275,,,,3663.9555
68.0044,3740.680575,,,,3664.2616
68.0311,3741.23135,,,,3664.510325
68.533125,3741.57645,,,,3664.63925
68.79435,3742.077775,,,,3664.972475
68.888125,3742.374825,,,,3665.322125
69.255475,3742.66675,,,,3665.32645
69.32895,3743.068925,,,,3665.62695
70.764825,3744.01495,,,,3665.84665
70.99235,3747.05175,,,,3665.983775
71.1423,3747.445375,,,,3666.5352
72.9711,3749.549625,,,,3667.025875
73.03855,3750.742375,,,,3667.3273
74.05845,3751.15805,,,,3668.03225
74.448125,3751.945825,,,,3668.071775
74.886275,3752.15175,,,,3668.370975
76.032275,3752.347325,,,,3668.4734
76.109825,3752.55675,,,,3668.67395
76.951975,3752.63265,,,,3668.91945
77.09865,3752.812875,,,,3669.1928
78.703625,3753.178775,,,,3669.3343
79.042275,3754.533525,,,,3669.6774
79.160375,3754.717725,,,,3670.072825
79.811525,3754.91525,,,,3670.27075
81.904525,3756.918625,,,,3670.7647
81.9717,3757.80615,,,,3670.981025
82.38495,3758.11575,,,,3671.441225
82.444075,3758.350375,,,,3671.60905
84.03525,3758.532375,,,,3672.0304
84.06405,3758.928075,,,,3672.260825
84.08405,3759.0706,,,,3672.866
84.845675,3759.264575,,,,3672.973975
85.214975,3759.45795,,,,3673.06595
86.35905,3759.645675,,,,3673.123175
87.27375,3762.03555,,,,3673.420275
88.46705,3762.443975,,,,3673.699525
88.832575,3762.6345,,,,3674.5587
89.147475,3762.8997,,,,3674.995025
89.689825,3763.386675,,,,3675.364375
89.726,3763.705125,,,,3675.87515
89.997425,3763.990725,,,,3676.185
90.24075,3764.178775,,,,3676.236775
90.457875,3764.7745,,,,3676.323075
90.48365,3765.394,,,,3676.572
91.307525,3765.699675,,,,3676.8265
91.463325,3766.76195,,,,3676.868625
91.6677,3767.318975,,,,3677.1255
92.49375,3767.613325,,,,3677.681275
92.86065,3767.9521,,,,3678.4337
93.1328,3768.2431,,,,3678.70935
93.65375,3768.5705,,,,3678.86415
93.880175,3768.764925,,,,3679.137275
94.02905,3769.000425,,,,3679.311525
95.240475,3769.198475,,,,3679.608675
95.602875,3769.52425,,,,3679.9202
96.9895,3770.522775,,,,3680.053525
97.056325,3772.56485,,,,3680.22325
97.566375,3773.01535,,,,3680.382375
97.719575,3773.39575,,,,3680.656625
97.935925,3774.09095,,,,3681.12455
98.71545,3774.38675,,,,3681.269275
99.273025,3774.619025,,,,3681.537325
99.4045,3775.06645,,,,3681.698625
100.21765,3775.35115,,,,3681.836725
100.761775,3775.580275,,,,3681.999575
102.0231,3775.941725,,,,3682.432325
102.36985,3776.22315,,,,3682.77585
102.60025,3776.34505,,,,3682.81735
102.7114,3776.39195,,,,3683.294375
102.804975,3776.481975,,,,3683.4024
103.2191,3776.78775,,,,3683.648375
103.575875,3777.057025,,,,3684.077
104.195725,3777.265025,,,,3684.49025
104.492425,3777.779925,,,,3684.748475
104.61475,3778.46755,,,,3684.910375
104.7954,3779.193625,,,,3685.100725
104.94845,3779.51645,,,,3685.189675
105.0332,3779.96615,,,,3685.33605
105.41865,3780.900675,,,,3685.49855
106.80475,3781.10845,,,,3685.8417
106.88465,3781.34125,,,,3686.4859
108.804625,3781.73315,,,,3686.62245
109.36395,3781.833625,,,,3686.9862
110.002075,3781.9681,,,,3687.88985
110.21385,3782.145075,,,,3688.081775
110.238575,3785.394725,,,,3688.470325
110.260325,3786.1481,,,,3688.504025
110.552675,3789.2254,,,,3688.97875
110.700825,3789.601925,,,,3689.10315
111.486375,3790.476625,,,,3689.337975
112.356625,3791.128275,,,,3689.481325
113.379575,3791.9583,,,,3689.929125
113.819125,3793.368,,,,3690.113775
114.00435,3794.964325,,,,3690.35645
114.740375,3795.055125,,,,3691.178675
115.537125,3795.294425,,,,3691.376475
115.6522,3795.94815,,,,3691.8707
116.051225,3796.4169,,,,3692.139475
116.52295,3796.938,,,,3692.50745
117.223375,3797.134675,,,,3692.83645
117.440525,3797.333925,,,,3693.458425
117.62615,3797.7069,,,,3693.667375
118.452325,3797.893225,,,,3693.954375
119.110225,3797.933975,,,,3694.612425
119.159675,3798.08935,,,,3695.247275
119.831775,3798.456825,,,,3696.324625
119.85315,3799.2708,,,,3696.887975
120.31965,,,,,3696.9453
121.56845,,,,,3697.017625
121.5998,,,,,3697.0781
122.635975,,,,,3697.414825
123.163675,,,,,3697.648125
123.829225,,,,,3698.201325
124.9056,,,,,3698.553025
125.498975,,,,,3698.619225
125.93575,,,,,3698.8615
126.2572,,,,,3699.5397
126.302075,,,,,3700.609
126.344975,,,,,3700.804725
127.898725,,,,,3700.909925
