SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC16a
38.40135,13.969,28.499225,73.46975,37.686275,45.75485
38.485975,13.97915,28.511675,73.568875,37.955075,45.879225
38.539925,14.033475,28.518675,74.03685,38.1666,45.9347
38.5967,14.0888,28.614575,74.315325,38.22735,46.1221
38.7018,14.11115,28.70235,74.348125,38.277775,46.2147
38.76945,14.132675,28.728275,74.39205,38.604325,46.2345
38.8634,14.175475,28.798825,74.4178,38.737225,46.4126
38.87475,14.3137,28.858,74.4252,38.756025,46.46115
38.921625,14.345775,28.87475,74.8717,39.0475,46.53155
38.959975,14.3535,28.941575,75.03445,39.06845,46.698
39.05125,14.37925,28.968825,75.1091,39.0782,46.7077
39.0785,14.38975,28.972425,75.1174,39.274675,47.038425
39.081825,14.4175,29.241025,75.357175,39.318725,47.10605
39.235625,14.432075,29.265475,75.37935,39.37435,47.195675
39.393275,14.43465,29.30755,75.73455,39.384525,47.440475
39.417375,14.441175,29.3624,75.7386,39.44965,47.561
39.431625,14.44515,29.39085,75.7631,39.5031,47.652025
39.57325,14.466525,29.4197,76.139525,39.55305,47.688
39.5931,14.5244,29.425575,76.16075,39.559,47.843375
39.676375,14.54205,29.443925,76.161875,39.736275,47.996775
39.896875,14.566075,29.46765,76.5438,39.8286,48.019075
39.913525,14.599,29.47215,76.627925,39.924975,48.053925
39.921075,14.624475,29.500275,77.091,39.975575,48.470625
39.9264,14.680075,29.5269,77.1381,39.978925,48.544375
39.9397,14.6896,29.598125,77.173575,40.2186,48.9193
39.974325,14.701725,29.666825,77.393875,40.244275,48.987525
40.02375,14.72085,29.670975,77.64805,40.405675,49.00245
40.127975,14.7312,29.68985,77.6738,40.42505,49.0769
40.228375,14.73795,29.799275,78.36275,40.429625,49.105425
40.35,14.74115,29.8603,78.434825,40.5239,49.12465
40.4179,14.755975,30.132975,78.449275,40.564725,49.1775
40.44275,14.769375,30.139475,78.656725,40.643375,49.303625
40.464275,14.7715,30.1578,78.66935,40.9882,49.485675
40.48255,14.778075,30.1722,78.70525,41.04905,49.645175
40.49325,14.786,30.175925,78.73035,41.2416,49.6633
40.500875,14.812775,30.186125,78.961175,41.3019,49.8067
40.51725,14.82985,30.1912,78.9639,41.53535,49.82745
40.570775,14.83755,30.2204,79.30885,41.57145,50.17465
40.63195,14.83935,30.278925,79.50455,41.577025,50.178075
40.6612,14.9005,30.2911,79.643775,41.899825,50.2265
40.7195,14.92755,30.3625,79.668525,41.9259,50.273075
40.79115,14.953175,30.489925,80.171025,42.0243,50.3854
40.854475,14.979675,30.5759,80.214425,42.089125,50.5231
40.866875,15.013475,30.72325,80.227175,42.1602,50.565825
40.878725,15.034575,30.828275,80.253225,42.295525,50.902625
40.910475,15.081575,30.930325,80.30395,42.3049,51.16555
40.988325,15.093175,31.045275,80.327425,42.82995,51.33375
41.069625,15.10965,31.10715,80.550825,42.84105,51.3893
