SPK_SPKC02a (NA),SPK_SPKC05b (NA),SPK_SPKC06a (weak excitation),SPK_SPKC10a (short excitation),SPK_SPKC11a (no effect)
81.661875,151.0643,13.526,14.641275,19.012075
81.670775,151.122175,13.553425,14.664375,19.04985
81.9996,151.234625,13.588,14.6871,19.13905
82.21815,151.303225,13.6893,14.7046,19.280525
82.47635,151.43015,13.721775,14.724675,19.29935
82.83215,151.68545,13.733325,14.75155,19.312025
82.903425,151.79435,13.77145,14.81835,19.3313
82.9571,151.89865,13.804225,14.860275,19.3515
83.5406,152.244975,13.841475,14.8829,19.358075
84.3135,152.337425,13.88225,14.960925,19.381725
84.315075,152.614075,13.91505,14.99425,19.4041
84.438725,152.651425,13.936375,15.0407,19.439675
84.69625,152.656675,13.965325,15.109275,19.531625
84.7203,152.75225,14.00745,15.171375,19.556875
84.748225,153.384125,14.0296,15.2027,19.5873
84.985725,153.586625,14.053325,15.253825,19.605525
85.04365,153.678025,14.070025,15.2721,19.6571
85.28415,154.660675,14.13345,15.3021,19.726275
85.3046,155.242425,14.17905,15.321975,19.746175
85.504675,155.518475,14.227,15.442425,19.762325
85.864525,155.53585,14.25965,15.450175,19.7845
85.94795,156.050875,14.305075,15.51685,19.885175
86.18485,156.2222,14.30925,15.55305,19.88735
86.3107,156.240975,14.336125,15.5766,19.929325
86.31735,156.35675,14.338775,15.625375,19.9527
86.8469,156.4471,14.356025,15.67115,19.976975
87.176675,156.5606,14.389625,15.810275,19.9972
87.53535,156.757125,14.39745,15.848925,20.076975
87.8141,157.393275,14.425575,15.897275,20.092625
88.045425,157.50445,14.459775,15.9104,20.11805
88.804775,157.773875,14.50505,15.935525,20.14545
88.812425,158.0584,14.57925,15.95335,20.172875
89.237225,158.12715,14.6017,16.0062,20.1974
89.892825,158.1854,14.665875,16.0448,20.205925
89.9363,158.21815,14.71595,16.087875,20.21995
90.120475,158.336325,14.732825,16.1305,20.304275
90.417775,158.362275,14.757925,16.143225,20.385275
90.420475,158.49775,14.77475,16.169625,20.4291
90.425575,158.62585,14.85135,16.2486,20.45265
90.58935,158.868275,14.8842,16.28115,20.474275
