SPK_SPKC04a (excited),SPK_SPKC04b (excited),SPK_SPKC12a (excited)
19.50775,323.220975,302.103125
19.52185,323.555175,302.2276
19.552625,323.9906,302.39315
19.558625,324.251975,302.64395
19.560275,324.279775,302.654175
19.567275,324.4045,302.71605
19.5782,324.489925,302.857175
19.59895,324.601075,302.87095
19.604225,324.9041,303.1857
19.631475,325.385,303.967825
19.6555,325.416675,304.122675
19.661625,326.806225,304.49245
19.699475,327.64395,304.924025
19.714275,327.97295,305.1573
19.74415,328.0416,305.220025
19.748125,328.15255,305.401025
19.763025,328.353825,306.006425
19.793075,328.510925,306.7037
19.8025,328.572575,308.592575
19.81395,328.770475,308.94135
19.8399,328.87855,309.30325
19.8474,328.95595,309.884925
19.858025,328.982375,309.9018
