SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a
769.818625,,776.843225,758.242575,727.713775
769.904725,,777.5974,758.373025,727.849975
770.153275,,777.7111,758.464725,727.922925
770.389675,,777.906025,758.542925,727.96225
770.50575,,777.933325,758.6417,728.0002
770.75575,,777.9775,758.671025,728.049025
771.453925,,778.1392,758.8052,728.0901
771.552225,,778.1743,758.990175,728.134925
771.84355,,778.418275,759.085125,728.189625
771.898875,,778.5118,759.15235,728.225
771.905175,,778.539475,759.221575,728.291475
772.034525,,778.661125,759.362125,728.3414
772.0931,,778.830625,759.427125,728.390375
772.628375,,778.983475,759.48915,728.642725
772.885925,,779.0306,759.5865,728.8704
772.951975,,779.1894,759.68535,728.940625
773.0503,,779.4074,759.766,729.0371
773.30735,,779.4829,759.84715,729.126125
773.801225,,779.717075,759.930175,729.223525
774.030575,,779.9508,760.0728,729.394825
774.357,,780.1454,760.130125,729.492925
774.44395,,780.3188,760.227975,729.681875
774.5394,,780.420725,760.296125,730.088375
774.792575,,780.490975,760.3756,730.20025
775.017125,,780.54925,760.447825,730.229825
775.13635,,780.8301,760.586575,730.3137
775.284275,,780.9107,760.699875,730.350625
775.5048,,780.95755,760.813775,730.414725
775.5179,,781.2391,760.880325,730.43905
775.7099,,781.37085,760.955925,730.480075
775.883875,,781.509725,760.99245,730.514875
776.050825,,781.829675,761.053725,730.5734
776.154675,,781.895475,761.1122,730.59245
776.314425,,782.028925,761.175375,730.63475
776.402,,782.1369,761.220125,730.7071
776.61785,,782.25615,761.39365,730.745325
776.63625,,782.4991,761.5947,730.773975
776.761725,,782.811775,761.74125,730.92985
776.847475,,782.868275,761.792975,731.089325
777.061475,,782.88905,761.8676,731.3894
777.236425,,783.00215,761.981325,731.5211
777.469075,,783.090325,762.066275,731.58575
777.58295,,783.180675,762.12065,731.7433
777.7515,,783.272675,762.205175,731.972575
778.0543,,783.2889,762.2859,732.102175
778.148175,,783.35815,762.345125,732.288975
778.469425,,783.5412,762.430325,732.422175
778.68155,,783.632175,762.497775,732.53125
778.90575,,784.50055,762.584925,732.72205
779.11975,,784.567575,762.7716,732.939875
779.232475,,784.674975,762.9717,733.014575
779.38685,,785.1567,763.13645,733.0591
779.5254,,785.225575,763.23655,733.121975
779.5926,,785.38745,763.328975,733.161225
779.700675,,785.5927,763.416675,733.209
779.99825,,785.6872,763.478825,733.245675
780.11085,,785.763325,763.543175,733.274425
780.13135,,785.818775,763.6279,733.29055
780.2738,,785.997,763.724475,733.34995
780.405525,,786.524675,763.844275,733.390825
780.503,,786.620175,764.008375,733.4335
780.56665,,786.752325,764.198725,733.4876
780.7511,,786.818175,764.2918,733.546025
780.85815,,786.8388,764.363325,733.5733
781.285,,787.041675,764.457875,733.6331
781.446175,,787.107325,764.53535,733.687475
781.616525,,787.131625,764.632425,733.71035
781.785925,,787.23405,764.672525,733.737275
781.8687,,787.458525,764.752525,733.774325
782.0639,,787.702775,764.792225,733.799825
782.283575,,787.828,765.2068,733.864425
782.372825,,787.891125,765.39475,733.886475
782.751125,,788.0187,765.443075,733.94875
782.90705,,788.237075,765.53465,734.015875
783.0293,,788.3087,765.6086,734.086925
783.290125,,788.740875,765.7058,734.130575
783.2995,,788.806675,765.793875,734.1978
783.5178,,789.02915,765.86095,734.267425
783.694525,,789.132125,765.93355,734.297875
783.87455,,789.37365,765.9713,734.364925
783.998125,,789.438125,766.024675,734.40845
784.159525,,789.6861,766.17225,734.517375
784.301275,,789.8984,766.249075,734.566475
784.565275,,790.199,766.34675,734.650175
784.66055,,790.43965,766.403175,734.732275
784.764425,,790.57295,766.563875,734.786725
784.866625,,790.753325,766.6342,734.848375
785.001075,,790.80225,766.7295,734.872925
785.1117,,790.8477,766.836375,734.904475
785.162525,,791.02705,766.88985,734.94745
785.22945,,791.2534,767.06105,734.9909
785.5037,,791.341375,767.19045,735.036775
785.723125,,791.48655,767.271975,735.074675
785.9702,,791.757875,767.37095,735.112625
786.110475,,791.889875,767.697475,735.1476
786.24485,,792.2096,767.80705,735.2001
786.485675,,792.477525,767.92695,735.245225
