SPK_SPKC03a (no response),SPK_SPKC06a (no response),SPK_SPKC12a (no response)
83.18015,67.5962,58.08015
83.226775,67.654875,58.14215
83.42655,67.83865,58.2515
83.524875,67.898425,58.314725
83.5399,67.956325,58.491775
83.65135,68.08355,58.512275
83.7026,68.143825,58.633325
83.809175,68.2409,58.792125
83.882975,68.2702,58.802025
83.999175,68.467325,58.86065
84.046,68.532275,58.86925
84.102525,68.564,58.9135
84.340825,68.727625,59.336375
84.35505,68.755075,59.43265
84.441525,68.7771,59.4603
84.482,68.83085,59.4979
84.507925,68.8668,59.515725
84.565825,68.925975,59.546575
84.643725,69.074875,59.62705
84.72295,69.189425,59.651575
84.76035,69.348525,59.694875
84.7856,69.486275,59.7513
84.79775,69.879525,60.159575
84.872975,69.95115,60.2893
84.8939,69.982025,60.31075
84.9807,70.104425,60.37735
85.0384,70.140825,60.404825
85.124575,70.332575,60.4201
85.18335,70.38585,60.562125
85.32745,70.5881,60.66715
85.36055,70.617025,60.721675
85.553675,70.67715,60.78615
85.5924,70.735375,60.947975
85.664325,70.889425,61.0007
85.704775,70.91955,61.010875
85.7866,70.937175,61.121175
85.932275,71.0302,61.14675
86.1247,71.051825,61.18455
86.129025,71.08335,61.206275
86.2032,71.57715,61.25505
86.317175,71.683025,61.380525
86.499525,71.953425,61.392825
86.57575,71.97535,61.437325
86.6986,72.00195,61.521525
86.734225,72.0336,61.6197
86.824825,72.108925,61.799725
86.86715,72.136475,61.827125
87.018125,72.1581,62.020825
87.19145,72.25185,62.088225
87.31335,72.341275,62.159725
87.36495,72.50495,62.18815
87.419625,72.683275,62.227125
87.5829,73.0103,62.3593
87.616425,73.2843,62.455375
87.661775,73.30805,62.490525
87.772175,73.32825,62.564
87.810225,73.3566,62.575725
87.96945,73.37705,62.63395
88.1172,73.40105,63.063925
88.28435,73.4816,63.105875
88.30635,73.503025,63.17505
88.36215,73.54105,63.187825
88.516875,73.9735,63.23695
88.53745,74.0085,63.249575
88.6497,74.04465,63.277475
88.72975,74.06045,63.315925
88.88775,74.094925,63.3405
89.0289,74.191775,63.381025
89.290975,74.21715,63.716525
89.51815,74.23345,63.7954
89.8041,74.2459,63.973275
89.818675,74.2658,64.04535
89.87565,74.315475,64.085775
90.078975,74.46745,64.096775
90.382275,74.5029,64.35895
90.428425,74.5725,64.41865
90.4408,74.839775,64.503975
90.442475,74.934775,64.564325
90.601925,74.950575,64.7726
90.720075,74.9831,64.8535
90.725625,75.128175,64.89545
90.939575,75.205675,64.940075
91.072725,75.287525,65.061075
91.322275,75.358525,65.323525
91.4353,75.42805,65.435775
91.454775,75.451025,65.463825
91.5496,75.485875,65.489775
91.5875,75.6581,65.519375
91.751975,75.68295,65.67755
91.9168,75.81855,65.806625
91.95965,75.8558,65.96655
92.02185,76.01995,66.013475
92.211775,76.022225,66.0391
92.543425,76.081925,66.116275
92.56675,76.218875,66.128125
92.704125,76.2569,66.210575
92.8745,76.28895,66.26705
93.0382,76.322175,66.291775
93.0815,76.776975,66.2982
93.12445,76.89755,66.439925
93.256475,76.9621,66.522275
93.286075,76.97835,66.5476
93.350925,77.201675,66.630125
93.51885,77.221575,66.756375
93.527875,77.484175,66.917375
93.705025,77.5505,66.9592
93.73585,77.607325,67.119075
93.82115,77.880025,67.16825
93.856225,77.9215,67.243575
93.892875,77.960875,67.27195
94.060625,78.126875,67.5277
94.25755,78.18445,67.623275
94.278125,78.243375,67.68275
94.4212,78.594275,67.756825
94.575725,78.6756,67.795325
94.840025,78.733025,67.832425
95.13785,78.90175,67.856975
95.381175,79.027775,67.9184
95.45415,79.101625,67.9604
95.4579,79.185475,68.05585
95.461975,79.23175,68.24455
95.648825,79.30825,68.297925
95.6552,79.39275,68.4189
95.790925,79.528525,68.454975
95.99445,79.5835,68.542575
96.1855,79.779225,68.62095
96.188225,79.842175,68.73835
96.266375,79.876525,68.8269
96.275125,79.957925,68.852775
96.492175,80.01845,68.89065
96.513425,80.112975,69.13685
96.915775,80.1684,69.215825
97.04315,80.292575,69.2463
97.1193,80.340625,69.35735
97.2312,80.590525,69.363275
97.289425,80.68395,69.514225
97.31485,80.7069,69.562975
97.572825,80.79755,69.745
97.6199,80.991225,69.794225
97.786825,81.0904,69.80245
97.82705,81.171,69.8359
97.873825,81.452575,69.860725
97.885575,81.71565,69.9051
97.9133,81.91485,69.92175
98.082275,81.918375,70.0443
98.205725,82.02175,70.12335
98.2572,82.04335,70.17885
98.323025,82.168025,70.2886
98.331425,82.2318,70.340475
98.5399,82.296125,70.39835
98.6122,82.3746,70.4277
98.613325,82.3956,70.439475
98.693025,82.461275,70.515125
98.79235,82.5906,70.5619
98.806725,82.620375,70.584125
99.048875,82.7269,70.6507
99.10745,82.753375,70.68815
99.110325,82.854025,70.701875
99.23045,82.9023,70.7284
99.33025,83.05565,71.095325
99.524725,83.090675,71.10725
99.5322,83.11415,71.127125
99.562125,83.238375,71.15285
99.58945,83.313675,71.193175
99.67395,83.365075,71.2141
99.695475,83.4201,71.226325
99.77135,83.520025,71.24385
99.812925,83.5987,71.27415
99.891575,83.6757,71.28395
99.979275,83.7656,71.346925
100.016125,83.9054,71.3882
100.20645,83.937775,71.41715
100.284525,84.01075,71.571325
100.32115,84.071475,71.61605
100.53355,84.0988,71.643525
100.559225,84.1242,71.73915
100.574575,84.1628,71.7495
100.667525,84.210075,71.850775
100.821375,84.2664,71.86085
100.83295,84.294275,71.905375
101.05015,84.316275,72.004575
101.0678,84.33125,72.072125
101.405725,84.3879,72.1276
101.62085,84.59445,72.22585
101.703425,84.64915,72.32405
101.724925,84.7355,72.391525
101.90865,84.96535,72.397675
101.980825,85.15125,72.418375
102.0585,85.245175,72.425125
102.075075,85.4503,72.719325
102.237025,85.743675,72.77285
102.29355,85.832575,72.85265
102.5124,85.909575,72.864325
102.732775,85.938425,72.8826
102.8575,86.02815,72.904775
102.8743,86.0304,72.9193
103.0886,86.116875,72.96755
103.264225,86.16045,73.0328
103.2747,86.289425,73.0534
103.348675,86.3849,73.0912
103.66935,86.718175,73.13045
103.677925,86.80805,73.1635
104.10645,86.852775,73.2381
104.1478,86.920775,73.270375
104.33735,87.220975,73.29645
104.432975,87.246075,73.304325
104.902725,87.3932,73.352225
104.904875,87.6258,73.378475
104.96915,87.869275,73.5042
105.429625,87.9069,73.5218
105.817,88.032425,73.579675
105.844225,88.069125,73.5982
105.977475,88.116475,73.603375
106.14135,88.2303,73.645575
