SPK_SPKC01a (no effect),SPK_SPKC05a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC09a (no effect),SPK_SPKC12a (excited),SPK_SPKC13a (excited)
29.90215,22.04725,8.2444,16.31895,108.88545,12.086775
29.9244,22.122525,8.25635,16.34385,109.025575,12.10795
29.970525,22.238075,8.289275,16.359775,109.15255,12.11875
30.02805,22.2981,8.320075,16.408825,109.2555,12.130625
30.053375,22.3759,8.332475,16.435075,109.358675,12.142875
30.090525,22.433825,8.34565,16.483925,109.646525,12.157675
30.1127,22.47045,8.3633,16.55195,109.9766,12.173125
30.116475,22.6081,8.39305,16.60155,110.2362,12.186625
30.14675,22.631925,8.410875,16.623925,110.26615,12.201475
30.234725,22.75955,8.4292,16.65055,110.296775,12.211825
30.25955,22.780925,8.451825,16.667725,110.3641,12.230275
30.2694,22.79795,8.469025,16.732025,110.51815,12.25195
30.272725,22.824175,8.48155,16.746425,110.91625,12.265975
30.30125,22.9311,8.49945,16.765475,110.9357,12.28715
30.348975,22.9638,8.53075,16.7693,111.004,12.30175
30.392525,22.975325,8.542825,16.80975,111.214,12.3182
30.484625,22.979125,8.54965,16.86345,111.2907,12.3366
30.538675,22.9959,8.5699,16.87415,111.6919,12.363275
30.554025,23.002725,8.59395,16.918475,112.346925,12.37875
30.59675,23.0227,8.61005,16.966275,112.3678,12.403325
30.64535,23.031475,8.627325,16.978225,112.625975,12.418475
30.6888,23.055725,8.655425,17.0017,114.036075,12.43155
31.218625,23.07165,8.669675,17.005975,114.2998,12.4425
31.60035,23.083525,8.683025,17.0358,114.469525,12.4554
31.743,23.099475,8.70675,17.058475,114.614175,12.4681
