SPK_SPKC09a (no response),SPK_SPKC10a (inhi),SPK_SPKC13b (inhi),SPK_SPKC14a (no response),SPK_SPKC15a (inhi)
113.4409,113.207525,113.6396,105.1359,120.251225
113.48415,113.298075,113.65455,105.1523,120.26515
113.520175,113.3567,114.10665,105.16945,120.283525
113.539075,113.362975,114.160875,105.183425,120.32445
113.58845,113.3813,114.192925,105.20805,120.3338
113.6438,113.3909,114.234175,105.2168,120.3453
113.70125,113.398525,114.2952,105.228425,120.355
113.72805,113.432175,114.3183,105.239325,120.3716
113.75665,113.5045,114.383725,105.244625,120.38365
113.79255,113.632925,114.398875,105.29835,120.435875
113.813125,113.891225,114.44535,105.3318,120.445775
113.889525,113.920175,114.49245,105.361075,120.548275
113.980675,113.941625,114.5298,105.386,120.596125
113.98645,113.94825,114.59095,105.434125,120.71905
114.0131,113.9572,114.670175,105.483875,120.796475
114.06675,113.963075,114.70945,105.569525,120.8588
114.11835,113.969525,114.7715,105.604375,120.892925
114.14775,114.09025,114.788725,105.6704,120.915
114.2054,114.157425,114.815725,105.676,120.9432
114.247625,114.33245,114.83315,105.739175,120.954875
114.38505,114.5186,115.1885,105.751675,120.9715
114.4246,114.551675,115.2204,105.769225,121.018525
114.46445,114.5873,115.237575,105.78835,121.054975
114.55675,114.595025,115.38295,105.80375,121.0934
114.592525,114.760225,115.46005,105.806275,121.14965
114.64855,114.869225,115.67715,105.824575,121.201575
114.78765,114.953125,115.75775,105.8476,121.225775
114.909175,114.98675,115.7653,105.87305,121.236
115.031025,115.01415,115.8372,105.914125,121.266325
115.097625,115.14015,115.874525,105.9691,121.29645
115.150475,115.3429,115.891375,105.972925,121.349275
115.1749,115.488175,116.074125,105.983575,121.4144
115.29385,115.569125,116.193975,106.006725,121.438375
115.334425,115.5979,116.2542,106.04475,121.46315
115.3699,115.6221,116.308675,106.07585,121.61665
115.523625,115.639075,116.374875,106.079525,121.655925
115.54765,115.688825,116.3949,106.09635,121.675475
115.6381,115.97405,116.5291,106.128925,121.838325
115.6808,116.040325,116.602525,106.139175,121.854
115.769575,116.130475,116.60755,106.15615,121.8822
115.888225,116.1387,116.6276,106.206025,121.9056
115.980675,116.23525,116.773825,106.240625,121.9143
116.007125,116.2863,116.837875,106.26405,121.9467
116.161275,116.552,116.9871,106.2872,121.965325
116.19295,116.6637,117.2362,106.2946,121.98355
116.2729,116.772475,117.247275,106.31175,122.009675
116.339625,116.971375,117.310625,106.332575,122.028225
116.3425,117.008425,117.33055,106.354475,122.036275
116.393275,117.030725,117.36635,106.358525,122.04565
116.481375,117.207925,117.400525,106.38195,122.063
116.517775,117.454425,117.453,106.394375,122.098425
116.6254,117.563775,117.5263,106.405025,122.1182
116.825725,117.65645,117.62715,106.41705,122.13465
116.996,117.675525,117.8237,106.438375,122.18785
117.09965,117.68275,118.0149,106.465275,122.225925
117.135075,117.711975,118.034,106.49745,122.2987
117.21635,117.720225,118.095375,106.500525,122.372425
117.22385,117.740025,118.197225,106.536,122.415025
117.257125,117.74645,118.2488,106.57445,122.48875
117.289975,117.75515,118.261525,106.588125,122.552975
117.359675,117.772,118.356875,106.61705,122.619975
117.388975,117.78785,118.36695,106.62085,122.6548
117.436,117.792775,118.43225,106.6417,122.668025
117.465525,117.8005,118.54215,106.680375,122.706075
117.491775,117.93665,118.556275,106.723175,122.7385
117.7347,117.97515,118.7389,106.746425,122.75805
117.7948,118.123325,118.7722,106.76715,122.7873
117.8056,118.1522,118.798725,106.789325,122.9132
117.868175,118.204,118.889475,106.803725,122.9451
117.93825,118.396775,118.9957,106.810725,122.988025
118.010825,118.46575,119.018825,106.81695,123.003625
118.17785,118.5291,119.150425,106.823225,123.05835
118.293325,118.5427,119.3851,106.8356,123.085425
118.3531,118.5554,119.48215,106.862375,123.113325
118.4645,118.5822,119.5566,106.894975,123.15075
118.51,118.623875,119.594075,106.926,123.182225
118.568875,118.658975,119.64515,106.94945,123.203925
118.645625,118.678925,119.690275,106.983675,123.276
118.792325,118.6879,119.814325,106.991625,123.337525
118.808425,118.70815,119.85925,107.02625,123.361675
118.873025,118.7262,119.88045,107.0387,123.384425
118.98695,118.729725,119.89805,107.062975,123.425325
119.034525,118.746775,119.984825,107.102725,123.476725
119.0618,118.7551,120.10675,107.122575,123.759525
119.1846,118.787675,120.142125,107.1475,123.840175
119.21055,118.795225,120.174775,107.1711,123.856225
119.259025,119.0867,120.202875,107.190725,123.873025
119.269825,119.1018,120.246575,107.20395,123.8871
119.294225,119.12815,120.369275,107.220925,124.027075
119.374325,119.1548,120.571625,107.22285,124.19895
119.4451,119.1628,120.661,107.240675,124.2604
119.4729,119.21105,120.6813,107.27595,124.287575
119.5265,119.219325,120.718825,107.295175,124.343225
119.597525,119.242525,120.81415,107.325725,124.394075
119.6373,119.299525,120.8561,107.33125,124.450675
