SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC15a,SPK_SPKC16b
3967.311025,3811.84145,3821.5768,3818.3023
3967.626125,3811.851475,3821.605175,3818.348525
3967.69405,3811.85805,3821.661975,3818.38875
3968.037125,3811.870275,3821.702925,3818.42865
3968.475625,3811.8851,3821.78005,3818.46175
3968.574125,3811.90065,3821.806025,3818.495425
3968.84285,3811.9166,3821.8427,3818.499325
3969.060475,3811.92225,3821.942825,3818.53295
3969.146875,3811.9377,3821.977475,3818.59785
3971.07725,3811.957525,3822.01435,3818.649475
3971.4036,3811.97235,3822.036025,3818.6839
3972.37025,3811.981075,3822.107675,3818.73855
3972.962375,3811.997025,3822.154575,3818.788775
3973.1579,3812.01625,3822.234725,3818.844675
3973.21565,3812.0292,3822.295825,3818.89725
3973.406225,3812.05115,3822.331525,3818.904775
3973.425175,3812.07005,3822.376825,3818.906125
3974.6475,3812.09595,3822.397375,3818.91825
3974.9083,3812.10795,3822.44475,3818.954875
3975.64675,3812.135675,3822.474925,3818.99595
3976.35185,3812.155275,3822.501075,3819.0201
3976.87835,3812.1739,3822.5454,3819.04115
3977.119225,3812.1979,3822.584325,3819.07975
3978.429825,3812.22945,3822.6141,3819.105525
3979.063875,3812.27595,3822.6507,3819.118525
3980.16445,3812.300225,3822.6771,3819.13375
3980.38675,3812.3306,3822.816225,3819.1472
3981.26105,3812.36995,3822.85675,3819.15885
3981.3399,3812.3993,3822.877075,3819.1603
3981.413375,3812.419175,3822.9557,3819.19415
3982.115525,3812.454475,3822.985175,3819.2734
3982.302525,3812.478675,3823.037425,3819.28085
3983.10385,3812.494225,3823.203275,3819.31215
3983.1866,3812.52475,3823.228625,3819.3942
3983.283275,3812.536125,3823.254575,3819.4647
3984.591525,3812.5667,3823.2735,3819.516225
3984.6314,3812.57825,3823.3071,3819.55445
3985.2033,3812.59305,3823.33525,3819.613025
3985.23705,3812.6067,3823.35975,3819.6476
3985.4755,3812.626825,3823.39405,3819.684775
3986.616275,3812.6402,3823.428,3819.723525
3986.835175,3812.6698,3823.488675,3819.7628
3987.116125,3812.69085,3823.55435,3819.808925
3987.79005,3812.71555,3823.58065,3819.9201
3988.485625,3812.734075,3823.619425,3819.94425
3989.30765,3812.738925,3823.68825,3819.985025
3989.338125,3812.7566,3823.7105,3820.046975
3989.3601,3812.784575,3823.745325,3820.083775
3990.17085,3812.7963,3823.790225,3820.0975
3990.3822,3812.8173,3823.823075,3820.146
3990.393225,3812.845275,3823.853025,3820.1906
3990.617575,3812.8636,3823.8828,3820.203675
3990.6372,3812.895375,3823.9527,3820.228925
3991.020225,3812.922675,3823.99215,3820.268525
3991.51475,3812.958025,3824.019925,3820.315825
3991.531175,3812.98075,3824.0379,3820.355025
3992.8751,3813.0176,3824.06845,3820.407725
3993.423525,3813.039375,3824.130325,3820.4846
3994.173025,3813.06495,3824.177975,3820.5248
