SPK_SPKC04a (no effect),SPK_SPKC05a (excited),SPK_SPKC06a (no effect),SPK_SPKC08a (NA)
37.876975,108.096525,128.46585,58.65425
37.959675,108.18605,128.602525,58.71425
38.033275,108.33825,128.848625,58.8247
38.087225,108.697,129.117975,58.89805
38.1302,108.9247,129.179475,58.9788
38.2737,108.9752,129.24755,59.082425
38.369675,109.30445,129.371975,59.230725
38.4401,109.387,129.4733,59.326125
38.556325,109.446275,129.49895,59.496
38.664175,109.718025,129.775075,59.61125
38.69625,109.89255,129.818325,59.719875
38.94045,109.966075,130.063025,59.9394
39.097125,110.0666,130.63565,60.00795
39.29635,110.196525,130.885675,60.1258
39.383825,110.24525,131.505325,60.38015
39.461425,110.364825,131.562425,60.548
39.50265,110.698875,131.88945,60.645675
39.631425,110.8041,131.97305,60.785025
39.7957,111.174125,132.234075,60.9562
39.873525,111.20685,132.338475,61.105275
39.923825,111.28115,132.6357,61.2129
40.0833,111.39415,132.757025,61.388425
40.2228,111.427575,132.980775,61.5131
40.355625,111.504425,133.0498,61.7101
40.521725,111.711975,133.235625,61.83015
40.697825,111.98915,133.309875,61.86985
40.746725,112.012275,133.426325,61.992575
41.058275,112.129225,133.4543,62.199425
41.10955,112.381875,133.870775,62.310325
41.3668,112.622,134.048825,62.43325
41.674525,112.645125,134.299075,62.5203
42.007875,112.7282,134.401775,62.758075
42.174125,113.3197,134.513775,62.825675
42.455125,113.533425,134.5458,62.92405
42.6797,113.57135,134.699575,62.9956
42.79,113.7239,134.83515,63.086325
42.860025,113.760325,134.900525,63.175625
42.900525,113.8068,134.98975,63.322625
42.9226,114.092925,135.222925,63.3904
42.95175,114.13185,135.498975,63.465925
42.9918,114.187175,135.537225,63.5351
43.000475,114.219225,135.80255,63.704175
43.02575,114.552575,135.867725,63.872275
43.0671,114.825675,136.05035,64.048925
43.108825,115.059325,136.09295,64.2884
43.15875,115.8988,136.16915,64.30805
43.24225,115.9456,136.3675,64.355525
43.33445,116.07975,136.428525,64.450625
43.394875,116.392325,136.6332,64.71955
43.494225,116.779875,136.717825,64.788125
43.587275,116.947175,136.80745,64.86195
43.668325,116.9796,136.86045,64.916375
43.71385,117.027475,137.0133,64.98765
43.784925,117.08895,137.0607,65.07795
43.86565,117.179,137.12245,65.09835
43.8938,117.247075,137.216025,65.1621
43.96565,117.692825,137.2491,65.231925
43.979825,117.8571,137.3124,65.361825
44.0068,117.996925,137.38635,65.426925
44.081625,118.26825,137.488575,65.4929
44.2616,118.29735,137.553675,65.6509
44.31385,118.316625,137.729275,65.725325
44.35755,118.34295,137.7834,65.846075
44.40055,118.400725,137.992475,65.962875
44.4254,118.60505,138.0395,66.016275
44.503975,118.715925,138.283825,66.0374
44.5944,118.844825,138.34555,66.124075
44.654325,118.98365,138.380025,66.155075
44.746825,119.05915,138.436225,66.197175
44.8359,119.692875,138.76465,66.2559
44.908275,119.874325,138.8829,66.317025
45.11235,120.049175,139.11905,66.4061
45.188725,120.094025,139.20205,66.550125
45.246025,120.127825,139.4874,66.68975
45.265375,120.405125,139.56275,66.7745
45.279275,120.433575,139.6812,66.799475
45.349225,120.762125,139.716325,66.874175
45.3949,121.03985,139.75335,66.927025
45.44275,121.2741,139.836625,66.9721
45.507925,121.501125,139.900475,67.0523
45.582975,122.061025,140.074125,67.0968
45.63315,122.24575,140.458175,67.13705
45.658225,122.390775,140.616375,67.27905
45.693775,122.572975,140.779475,67.344375
45.756225,122.79135,140.82665,67.41765
45.840275,122.967975,140.870125,67.573
45.890225,123.0476,140.9462,67.62565
