SPK_SPKC01a (NA),SPK_SPKC04a (inhibited),SPK_SPKC08b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (inhibited),SPK_SPKC13a (NA)
16.8581,33.732475,12.3354,130.018775,86.3238,32.5201
16.929175,33.751225,12.365275,130.41855,86.712275,32.558875
16.9724,33.9401,12.3823,130.62505,86.734275,32.616975
16.985325,33.95785,12.438225,130.65675,86.7432,32.781525
16.993325,34.03845,12.55055,130.797025,86.809025,32.823925
17.00125,34.0612,12.572675,130.911925,86.915775,32.886075
17.0119,34.24725,12.613025,130.926125,87.042225,32.9631
17.01635,34.298425,12.643325,131.407525,87.298725,33.045
17.031775,34.41525,12.65475,132.079625,87.987625,33.2216
17.07275,34.52595,12.88505,132.2585,88.038875,33.34575
17.078375,34.7411,12.925875,132.476,88.209875,33.473525
17.09085,34.94035,12.947525,132.5201,88.2324,33.56305
17.10555,35.04145,12.96775,132.624275,88.32235,33.6517
17.120425,35.05475,12.98995,132.8725,88.501425,33.7673
17.324525,35.3259,13.0309,133.3326,89.27185,33.845575
17.334075,35.38175,13.055925,133.360325,89.332675,33.9484
17.35145,35.485525,13.156075,133.711475,89.412275,34.376125
17.359025,35.696175,13.18625,133.85665,89.444575,34.43115
17.3755,35.918025,13.225925,134.0378,89.4788,34.519675
17.392825,35.933775,13.248675,134.115125,89.54525,34.5734
17.410025,36.209625,13.253525,134.1254,89.570675,34.664275
17.414875,36.483225,13.2701,134.502875,89.9067,34.731125
17.42255,36.53485,13.27595,134.6452,89.97985,34.790725
17.43045,36.5507,13.3463,135.7806,90.10145,34.87575
17.4405,36.5835,13.38995,135.802725,90.10635,34.998325
17.4587,36.731425,13.491675,136.0591,90.16465,35.143125
17.46995,36.8197,13.4954,136.21605,90.226925,35.23915
17.4774,36.942475,13.53245,136.6134,90.244525,35.4023
17.49195,36.98365,13.568,136.75955,90.26265,35.501425
17.49925,36.99825,13.613125,137.164675,90.27485,35.61445
17.504675,37.0871,13.663325,137.687875,90.313775,35.682525
17.509425,37.15105,13.6813,137.7458,90.34895,35.88725
17.51925,37.160375,13.69445,137.75415,90.47305,35.9556
17.526125,37.26025,13.70475,137.785125,90.679775,36.0634
17.534425,37.27755,13.7708,137.829825,90.707025,36.171575
17.54035,37.429625,13.8162,138.1602,90.754875,36.232975
17.545275,37.451925,13.82875,138.341825,91.00915,36.298925
17.55455,37.50735,13.85635,138.527025,91.051125,36.50235
17.565175,37.570525,13.870575,138.9757,91.05255,36.6289
17.569025,37.5814,13.9037,139.26665,91.257325,36.67655
17.575775,37.604625,13.95175,139.290875,91.2847,36.847175
17.5818,37.7792,13.9826,139.505325,91.369925,36.925775
17.595875,37.85245,14.0088,139.84705,91.44355,36.9919
17.604875,38.05965,14.02905,141.427925,91.85425,37.050875
17.61125,38.0976,14.0427,141.460975,91.904575,37.1349
17.617775,38.150925,14.09225,141.627825,92.075725,37.252275
17.625425,38.256175,14.14445,141.67905,92.0866,37.340075
17.830025,38.378025,14.1578,141.701275,92.292725,37.47255
17.8453,38.523475,14.173175,141.73345,92.3986,37.548075
17.85995,38.752225,14.199775,141.75585,92.423525,37.676025
17.894375,38.7784,14.227625,142.4268,92.4425,37.74205
17.908175,38.80215,14.27605,142.440475,92.658825,37.783125
17.9194,38.899425,14.301075,143.261425,92.770225,37.8109
18.10875,38.9144,14.308225,143.277275,92.912025,37.858075
18.125875,38.9866,14.324275,143.8301,92.97385,37.963
18.152625,39.0519,14.33235,145.4463,93.00425,38.059025
18.17005,39.062925,14.361175,148.9292,93.0609,38.10035
18.18685,39.30635,14.414575,157.422325,93.16325,38.190375
18.195025,39.4114,14.43925,169.793875,93.50615,38.235675
18.199575,39.521225,14.464825,170.866975,93.586625,38.28765
18.212725,39.5817,14.49385,170.87635,93.648175,38.433425
18.217,39.6056,14.5186,172.684725,94.1947,38.501975
18.23365,39.6457,14.554775,174.0027,94.30815,38.611025
18.25355,39.9711,14.576825,174.282475,95.21015,38.706
18.27955,40.04465,14.608425,193.967875,96.028875,38.94825
18.374675,40.101125,14.646475,202.873425,96.137,39.074075
18.401775,40.1787,14.6656,212.8596,96.364275,39.275775
18.4309,40.253675,14.752425,219.1068,96.499025,39.33045
18.455275,40.34175,14.893,224.108325,96.82255,39.40555
18.460525,40.393275,14.931625,224.62155,96.945075,39.57765
18.473425,40.576225,14.966725,224.70605,97.03875,39.626225
18.4827,40.6003,15.04655,225.075475,97.0666,39.7295
18.525725,40.739975,15.082,225.2171,97.500375,39.8769
