SPK_SPKC01a (NA),SPK_SPKC06a (weak excitation),SPK_SPKC09a (excited),SPK_SPKC10a (no effect),SPK_SPKC12b (short inhibition),SPK_SPKC13a (excited)
,251.383575,25.9398,,24.939125,7.93105
,251.745775,25.972025,,24.956625,7.947475
,,26.29295,,24.968475,7.958225
,,26.309875,,24.98545,7.984825
,,26.32755,,25.17505,7.9945
,,26.3544,,25.24575,7.998375
,,26.366775,,25.311475,8.013125
,,26.402675,,25.327125,8.0288
,,26.426525,,25.3434,8.07215
,,26.494425,,25.3764,8.0966
,,26.5211,,25.439975,8.125
,,26.552925,,25.458475,8.169075
,,26.5925,,25.48035,8.1841
,,26.81215,,25.497275,8.197075
,,26.848475,,25.52015,8.22495
,,26.86485,,25.5621,8.239275
,,26.90485,,25.664775,8.251125
,,26.916425,,25.727775,8.273575
,,26.934425,,25.81525,8.297975
,,26.954425,,25.8817,8.33165
,,26.9741,,25.9212,8.35125
,,26.9994,,26.135975,8.3688
,,27.154325,,26.2468,8.39415
,,27.24525,,26.28335,8.412425
,,27.273075,,26.3135,8.450825
,,27.3876,,26.34705,8.471825
,,27.425,,26.48635,8.483825
,,27.457725,,26.522075,8.49485
,,27.477075,,26.58875,8.509175
,,27.487825,,26.607675,8.51775
,,27.529425,,26.6634,8.5341
,,27.60145,,26.7047,8.5719
,,27.627725,,26.81525,8.585075
,,27.722875,,26.852425,8.59295
,,27.956675,,26.930975,8.6096
,,27.982175,,27.2419,8.622375
,,28.346825,,27.268775,8.639275
,,28.57785,,27.340625,8.65565
,,28.612225,,27.36135,8.6715
,,28.7109,,27.3873,8.6845
,,28.729775,,27.427025,8.699225
,,28.740975,,27.4825,8.703425
,,28.811575,,27.500025,8.7057
,,28.829925,,27.524125,8.72265
,,28.970225,,27.650225,8.738175
,,29.02745,,27.696475,8.74705
,,29.362775,,27.896125,8.7578
,,29.374025,,27.948775,8.769825
,,29.394925,,27.982425,8.778975
,,29.439125,,27.996575,8.791275
,,29.509725,,28.061625,8.8157
,,29.67285,,28.096275,8.824
,,29.755875,,28.16445,8.830025
,,29.79965,,28.23455,8.8361
,,29.88385,,28.29325,8.8466
,,29.8928,,28.3437,8.85025
,,29.908825,,28.359675,8.86535
,,30.029725,,28.492575,8.87365
,,30.10645,,28.546,8.8852
,,30.256825,,28.6125,8.899325
,,30.398025,,28.678675,8.9011
,,30.4385,,28.78695,8.91025
,,30.59805,,28.803375,8.9574
,,30.688175,,28.849975,8.990675
,,30.806425,,28.915,9.022275
,,30.821675,,28.947725,9.04675
,,30.8634,,28.96955,9.05215
,,30.8666,,29.217875,9.08235
,,31.016125,,29.242925,9.101775
,,31.226,,29.2703,9.115375
,,31.325925,,29.3073,9.1288
,,31.5391,,29.3414,9.155175
,,31.660525,,29.3568,9.168325
,,31.8647,,29.408525,9.18005
,,31.870525,,29.452725,9.183975
,,31.890925,,29.47835,9.186975
,,31.89975,,29.511575,9.22495
,,31.921925,,29.55365,9.240475
,,32.0106,,29.595875,9.250575
,,32.0692,,29.624275,9.27315
,,32.336675,,29.726275,9.2928
,,32.376675,,29.759,9.305075
,,32.471275,,29.812025,9.32895
,,32.674675,,29.846225,9.335025
,,32.7516,,29.866975,9.348375
,,33.009575,,29.9052,9.36045
,,33.024775,,30.100725,9.37125
,,33.12,,30.222125,9.3956
,,33.269075,,30.2446,9.398475
,,33.319375,,30.295,9.42905
,,33.370675,,30.31755,9.4405
,,33.38215,,30.3468,9.460725
,,33.526425,,30.404475,9.47275
,,33.59855,,30.43905,9.483875
,,33.635,,30.476875,9.489425
,,33.87785,,30.61325,9.49615
,,33.916025,,30.69075,9.521475
,,33.977375,,30.7348,9.527
,,33.98425,,30.7637,9.543
,,33.990625,,30.7814,9.55345
,,34.000775,,30.801125,9.611575
,,34.012925,,30.818775,9.62315
,,34.041275,,30.857675,9.6465
,,34.137375,,30.92915,9.66075
,,34.1831,,30.95705,9.693525
,,34.291625,,31.063475,9.733725
,,34.45025,,31.157125,9.7445
,,34.478575,,31.2648,9.764625
,,34.5211,,31.317575,9.773425
,,34.533175,,31.328625,9.796325
,,34.5877,,31.3443,9.799125
,,34.7416,,31.37045,9.81105
,,34.7751,,31.3938,9.814875
,,34.9351,,31.458925,9.824225
,,34.941825,,31.535725,9.8296
,,34.95505,,31.634025,9.8552
,,34.962775,,31.679975,9.86905
,,34.969225,,31.801375,9.894175
,,34.99875,,31.82115,9.900175
,,35.055025,,31.909075,9.91905
,,35.0859,,31.9798,9.931575
,,35.111425,,32.22775,9.9457
,,35.182225,,32.271725,9.958125
,,35.4562,,32.32075,9.969575
,,35.485,,32.395475,9.98335
,,35.63145,,32.4383,9.996075
,,35.6489,,32.50325,10.00595
,,35.68335,,32.52765,10.0201
,,35.767775,,32.570175,10.031075
,,35.94525,,32.62595,10.040275
,,35.9628,,32.729925,10.053
,,36.017725,,32.841025,10.0656
,,36.126925,,32.8566,10.08025
,,36.204075,,32.883725,10.0917
,,36.213675,,32.892,10.10105
,,36.2717,,32.907475,10.107325
,,36.284975,,32.990525,10.117125
,,36.303275,,33.049275,10.13235
,,36.507025,,33.082675,10.141675
,,36.8278,,33.2485,10.157125
,,36.872225,,33.2843,10.161825
,,36.9415,,33.3544,10.16855
,,37.168625,,33.431175,10.174975
,,37.23565,,33.5104,10.17785
,,37.25155,,33.536625,10.18655
,,37.2835,,33.582525,10.199675
,,37.36905,,33.606325,10.208475
,,37.513375,,33.6892,10.229975
,,37.654675,,33.876425,10.258075
,,37.757575,,33.9449,10.26695
,,37.77145,,33.968725,10.288725
,,37.828825,,33.9795,10.307825
,,38.222675,,34.155025,10.3657
,,38.279225,,34.202775,10.3768
,,38.3059,,34.257625,10.3858
,,38.36825,,34.43365,10.4036
,,38.582725,,34.4554,10.416125
,,38.612625,,34.4779,10.438
,,38.6347,,34.6829,10.466025
,,38.65365,,34.7464,10.4763
,,38.6779,,34.80595,10.48975
,,38.763025,,34.87905,10.519
