SPK_SPKC01a (inhi),SPK_SPKC05a (inhi),SPK_SPKC07a (exc),SPK_SPKC13a (inhi)
399.823375,276.983675,303.697325,290.965075
399.948725,276.99155,303.74605,291.039125
399.9898,277.143075,303.7869,291.3153
399.9995,277.2429,303.93615,291.46085
400.109575,277.268475,303.99255,291.553875
400.1517,277.290125,304.0498,291.6176
400.2242,277.385175,304.177125,291.995375
400.225575,277.4313,304.2349,292.05385
400.2788,277.4565,304.27405,292.368925
400.373975,277.514075,304.4925,292.461625
400.434275,277.599525,304.581325,292.76415
400.455975,277.666075,304.650525,292.8522
400.474325,277.782525,304.69795,293.008975
400.4866,277.994125,304.806525,293.066675
400.4943,278.039775,304.8762,293.463175
400.53495,278.097025,304.9385,293.635375
400.5571,278.155925,305.012,293.9395
400.599425,278.2777,305.07875,294.05
400.6081,278.3052,305.110825,294.118725
400.661225,278.438875,305.138875,294.277525
400.679275,278.466975,305.215275,294.3544
400.70895,278.487275,305.3134,294.5074
400.891875,278.61315,305.476325,294.66455
400.950675,278.721175,305.6447,294.752325
400.968775,278.7602,305.71,294.90655
400.990975,278.7986,305.73645,295.12825
401.01005,278.87675,305.860075,295.23705
401.040925,278.993775,306.28495,295.39555
401.189225,279.04805,306.433875,295.51025
401.3529,279.5273,306.5613,295.657275
401.425825,279.6432,306.590575,295.6831
401.437825,279.782175,306.673925,295.752975
401.472525,279.7992,306.7317,295.80875
401.55555,279.83495,306.96225,295.968525
401.5613,279.88825,307.1618,296.128175
401.640575,280.054,307.195525,296.242625
401.794075,280.31695,307.353975,296.398425
402.003925,280.528175,307.455825,296.4487
402.36115,280.63055,307.51545,296.580825
402.385475,280.661425,307.53235,296.732075
402.41825,280.67865,307.8568,296.770625
402.477725,280.7988,307.875325,296.8716
402.608175,280.961625,308.1231,297.174975
402.7691,281.00425,308.273175,297.25145
402.981575,281.040475,308.2887,297.3079
403.043,281.07425,308.30265,297.37435
403.1408,281.150475,308.335825,297.42585
403.224725,281.20885,308.3848,297.810975
403.39695,281.65555,308.5255,297.91565
403.615325,281.730375,308.62085,297.97995
403.627375,281.83945,308.689525,298.0553
403.8078,281.906375,308.7004,298.108425
403.837125,282.23335,308.716625,298.304075
403.84825,282.286,308.719675,298.37795
403.931975,282.3775,308.763125,298.445975
404.65545,282.610325,308.78745,298.4699
404.669625,282.723,308.817275,298.54655
404.7837,282.80965,308.909425,298.73755
404.801775,282.937925,309.1535,298.905625
404.908775,283.408725,309.156575,298.977975
405.0697,283.5444,309.18985,299.15795
405.17895,283.71625,309.262425,299.18735
405.387875,283.883875,309.3908,299.2869
405.517,283.99825,309.542925,299.452625
405.560975,284.248875,309.914975,299.529175
405.56405,284.303375,309.9719,299.602475
405.787725,284.34355,310.16275,299.6667
406.525525,284.404425,310.217425,299.841875
407.19335,284.43745,310.35705,299.996975
407.3908,284.56475,310.397975,300.054725
407.736575,284.637475,310.442775,300.154975
407.810375,284.740175,310.527775,300.2989
407.85125,284.76965,310.566325,300.37035
407.853025,284.8179,310.58515,300.468775
408.30635,284.905525,310.656,300.596675
408.324075,285.005925,310.745525,300.654425
408.333325,285.150225,310.792525,300.75045
408.486725,285.210725,310.81855,300.825475
408.673175,285.2263,310.86195,301.253175
408.7327,285.252175,310.8858,301.312825
409.1815,285.292975,310.92225,301.47625
409.3348,285.363,311.0101,301.6424
409.344125,285.417375,311.038375,301.74295
409.51395,285.92075,311.078125,301.779025
409.6561,285.978325,311.137275,301.83935
410.32505,286.06305,311.175625,301.96615
411.288,286.189475,311.434775,302.040825
411.2909,286.258925,311.934225,302.085725
411.38465,286.5879,311.954,302.12705
411.4618,286.745275,311.982625,302.175725
411.74525,286.896275,312.049525,302.254675
411.79155,287.208575,312.07835,302.728075
412.056725,287.264625,312.2013,302.885525
412.67635,287.355975,312.22155,303.034775
412.8546,287.43385,312.290925,303.145925
413.148,287.547325,312.3031,303.156675
413.235675,287.7116,312.349775,303.20835
413.28355,287.83045,312.39135,303.3726
413.3875,287.9111,312.41315,303.42125
413.9375,287.978525,312.45375,303.492175
414.064675,288.040425,312.6203,303.561975
414.0675,288.104025,312.670525,303.616375
414.487,288.1251,312.72395,303.7249
414.6371,288.2396,312.76625,303.85385
414.887375,288.327475,312.7849,303.938225
415.284325,288.407825,312.8892,304.117275
415.560775,288.598625,312.916675,304.191575
415.57475,288.6671,313.0621,304.252225
415.6314,288.721425,313.09875,304.349525
415.713325,288.8002,313.1226,304.55555
415.8033,289.094425,313.1748,304.6234
415.895675,289.272875,313.28265,304.694125
415.9004,289.386825,313.3476,304.7758
416.091325,289.59345,313.4917,304.896325
416.1316,289.89365,313.506525,304.997475
416.25435,290.019825,313.537875,305.09815
416.265375,290.11565,313.5933,305.133125
416.365775,290.204375,313.6125,305.162625
416.376175,290.2954,313.656775,305.454875
416.403675,290.351625,313.987075,305.52095
416.40635,290.4356,314.073,305.605675
416.444825,290.493325,314.126375,305.720975
416.8982,290.559575,314.137925,305.851875
416.9002,290.610975,314.3363,305.996725
417.104775,290.66575,314.61735,306.073575
417.121225,290.790375,314.921025,306.172825
417.265175,291.03915,315.0524,306.397025
417.4222,291.0918,315.21655,306.4686
417.429825,291.204675,315.30425,306.534075
417.5316,291.39905,315.362025,306.58655
417.62025,291.46085,315.477575,306.60385
417.6689,291.617575,315.746725,306.996225
417.70985,291.6591,315.827175,307.28155
417.744575,291.85235,315.997425,307.365075
418.03395,291.9481,316.110225,307.44655
418.067975,291.995375,316.2517,307.549325
418.073925,292.05385,316.358525,307.6129
418.12845,292.85225,316.4382,307.695425
418.299275,292.918225,316.76055,307.76755
418.7285,293.1701,316.986725,307.960775
418.982125,293.37635,317.4952,308.039275
418.99785,293.463175,317.6393,308.248425
419.117125,293.536325,317.741725,308.355075
419.2709,293.6354,318.1589,308.412625
419.27875,293.775175,318.3032,308.6155
419.30845,293.9395,318.5129,308.673575
419.316525,294.050025,318.9199,308.704625
419.427425,294.2775,319.419525,308.75705
419.43005,294.507475,319.516675,308.8386
419.7487,294.575675,319.598475,308.871325
,294.66455,319.6861,308.948725
,294.75235,320.1497,309.059975
,294.8276,320.388575,309.172675
,294.9066,320.513,309.424425
,294.975575,320.601725,309.4982
,295.055175,320.663975,309.551675
,295.237075,320.784725,309.67685
,295.58445,320.78925,309.852625
,295.753025,320.907825,309.934675
,296.068675,320.9262,310.1248
,296.128125,320.992725,310.344
,296.242625,321.096125,310.7456
,296.4487,321.21085,310.830725
,296.46815,321.22245,310.975225
,296.7321,321.30955,311.109475
,296.7706,321.51165,311.267075
,297.098825,321.5668,311.327375
,297.25145,321.650225,311.3966
,297.3079,321.927375,311.5706
,297.37435,321.97985,311.63365
,297.4259,322.010575,311.70765
,297.622175,322.148875,311.841425
,297.73455,322.15305,311.94425
,297.810975,322.343775,312.084175
,297.97995,322.4346,312.148425
,298.0553,322.469575,312.196425
,298.10845,322.522875,312.452825
,298.23465,322.5806,312.643575
,298.37795,322.68585,312.744175
,298.5466,322.7886,312.774825
,298.68335,322.8773,312.813275
,298.73755,322.93605,312.88345
,298.978,322.97285,313.0718
