SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC11a
38.483075,25.212725,72.023125,19.8652,146.016125,60.7492,10.6354
38.5891,25.2309,72.30005,19.92565,146.468075,60.8716,10.7052
39.0195,25.26245,72.355475,19.9438,146.949725,61.116525,10.706575
39.171325,25.412725,72.50815,20.019275,147.4346,61.23115,10.725475
39.363,25.625775,72.5762,20.07735,147.62975,61.29085,10.851575
39.5044,25.84915,72.828325,20.236625,147.70265,61.3213,10.916825
39.54095,25.8957,72.884,20.4193,148.0538,61.345725,11.029275
39.659525,26.1269,73.04805,20.602425,148.328975,61.760825,11.06265
39.70495,26.192375,73.09145,21.064625,148.6032,61.781175,11.100475
39.907425,26.2179,73.132175,21.2055,149.80965,61.79715,11.12495
40.0233,26.278475,73.260075,21.2599,150.24615,61.891375,11.168625
40.165225,26.3302,73.475075,21.497475,150.689375,61.9096,11.258275
40.2608,26.367,73.5386,21.5184,151.1816,61.990625,11.310325
40.35855,26.4076,73.65665,21.5275,152.36415,62.00955,11.3342
40.55395,26.471925,73.92565,22.12385,153.089025,62.810125,11.3441
40.6824,26.6199,74.15575,22.1827,153.841925,62.996375,11.45705
40.819375,26.690325,74.5995,22.289275,154.4009,63.191925,11.4775
40.8876,26.853125,74.858375,22.347875,155.0471,63.232325,11.4967
41.003575,26.87065,75.565075,22.362025,155.586325,63.3897,11.51975
41.30425,26.890575,75.81355,22.49745,155.690725,63.415425,11.5604
41.401525,26.916825,75.9226,22.5254,155.970425,63.8645,11.584525
41.474725,26.996925,76.0292,22.6525,156.361275,63.9099,11.599375
41.5856,27.04265,76.047175,22.781175,156.815725,63.924675,11.68185
41.7021,27.048875,76.1061,22.9271,157.564375,64.0117,11.685075
41.848275,27.357375,76.349375,23.10825,158.312175,64.045325,11.7035
41.91225,27.431425,76.542325,23.1573,158.9721,64.0949,11.7146
41.945775,27.47385,76.60615,23.21605,159.43905,64.096525,11.717775
42.0088,27.76425,76.706875,23.342625,160.25305,64.127275,11.7263
42.079775,27.817475,76.7941,23.42275,160.342375,64.1425,11.754475
42.180425,27.89355,77.10235,23.4777,160.52215,64.3226,11.817675
42.247875,28.2025,77.9492,23.5461,160.88105,64.731625,11.8511
42.26135,28.272,78.405825,23.633725,161.629725,65.082875,11.87685
42.287425,28.353475,78.453475,23.758575,161.713175,65.427,11.890975
42.354325,28.38045,78.983775,23.8046,162.229775,65.440825,11.8962
42.454175,28.3954,79.239025,23.840425,162.37025,65.54205,11.907
42.5482,28.492725,79.48305,23.970025,162.865325,65.63685,11.974625
42.69515,28.594075,79.553375,24.088,163.482975,65.81435,12.001975
42.8137,28.603375,79.61405,24.1397,163.669175,66.7176,12.0291
42.9119,28.663425,79.65345,24.1857,164.34195,66.853,12.1094
42.954775,28.6668,79.689625,24.197,164.58135,66.945675,12.187825
42.9925,28.729525,79.81085,24.277775,164.8112,67.017325,12.22585
43.133,28.737925,80.092225,24.3147,165.20525,67.440975,12.2492
43.222525,28.766175,80.2423,24.364125,165.387325,67.485675,12.265
43.290225,28.7731,80.307825,24.414825,165.429975,67.5812,12.285475
43.3384,28.839075,80.3506,24.5159,165.926525,67.930825,12.286725
43.396025,28.88165,80.3659,24.54525,166.101325,68.01335,12.301
43.441525,28.97155,80.58405,24.6195,166.3386,68.02875,12.312375
43.5192,29.1892,80.6931,24.799025,166.574675,68.0868,12.3413
43.5493,29.355775,80.94625,24.817075,166.673525,68.126375,12.51105
43.663575,29.449925,81.159925,24.92865,167.150375,68.13215,12.604325
43.6903,29.465175,81.320875,24.972025,167.494975,68.713625,12.6738
43.7972,29.55255,81.363675,25.004425,169.1763,68.895125,12.679225
43.87005,29.71255,81.4647,25.094,169.18205,68.968,12.68765
43.916525,29.81125,81.5239,25.149175,169.736,68.99465,12.699625
43.9664,29.924825,81.54255,25.2053,169.905925,69.302075,12.7033
43.969275,30.0101,81.738,25.25915,170.038275,69.94915,12.708525
44.0221,30.01155,81.844675,25.30605,171.7087,70.01705,12.722825
44.102275,30.0274,82.01075,25.348675,171.948275,70.03055,12.729325
44.169225,30.1253,82.3001,25.414725,172.134525,70.045,12.7391
44.29545,30.1524,82.46575,25.4611,172.403125,70.061325,12.764125
44.353275,30.194675,83.107525,25.5063,172.4733,70.0883,12.771725
44.641475,30.30415,83.1291,25.552575,172.7793,70.611025,12.782
44.719775,30.3302,83.35865,25.60045,172.898575,70.63175,12.8416
44.876,30.456075,83.410725,25.90495,173.3922,70.6833,12.851875
44.967625,30.478175,83.5087,25.926325,176.47735,70.832325,12.875425
45.161325,30.5082,83.570925,25.95635,176.53725,71.3792,12.945925
45.2927,30.587925,83.63835,26.025375,177.0187,71.953775,12.969975
45.389775,30.64475,83.8272,26.103975,177.385325,71.988475,13.00485
45.59375,30.689425,84.930525,26.142175,177.585025,72.770575,13.056325
45.70035,30.733325,85.530525,26.232375,177.70295,72.835475,13.272475
45.820725,31.1093,85.816175,26.247275,177.996125,73.44975,13.288025
46.0287,31.22835,85.89375,26.277275,178.614175,73.462775,13.3074
46.2245,31.341075,85.975425,26.338425,179.0622,73.4911,13.3141
46.311775,31.602325,86.0092,26.3852,179.233375,73.504925,13.3726
46.50795,31.6817,86.100975,26.520675,179.5667,73.5137,13.41185
46.6212,31.94595,86.13175,26.57075,179.7182,74.309975,13.429625
46.74355,32.021875,86.187875,26.7234,180.443175,74.61555,13.4452
46.777325,32.04855,86.2728,26.80245,180.95095,74.638275,13.4804
46.9118,32.06665,86.369775,26.86545,181.675425,74.72425,13.4926
47.0802,32.109825,86.418325,26.9274,181.7366,74.74675,13.502775
47.166225,32.21845,86.6749,27.19945,181.90445,74.780875,13.5666
47.288075,32.25145,86.951475,27.27295,182.076725,74.83775,13.7134
47.3763,32.307375,87.186325,27.275975,182.223575,74.886575,13.73835
47.585875,32.378725,87.2592,27.308875,182.585825,75.05125,13.758775
47.766675,32.397575,87.3377,27.428825,182.7879,75.794825,13.802
47.837375,32.417725,87.5451,27.4478,182.8783,75.8364,13.8045
47.921025,32.4875,87.6079,27.465075,182.972225,75.91375,13.8163
48.11455,32.670925,87.667725,27.495425,183.47785,75.9264,13.83165
48.23795,32.7313,87.73005,27.6339,183.588175,77.1804,13.900175
48.32955,32.773125,88.127175,27.71275,184.00545,77.604025,13.9378
