SPK_SPKC02a (inhibited),SPK_SPKC05a (inhibited)
16.510275,78.5465
16.54155,78.6878
16.552875,78.8772
16.556925,78.93265
16.57135,78.96595
16.5928,79.342225
16.62635,79.86355
16.64065,80.0565
16.649075,80.137825
16.667075,80.400275
16.681875,80.495775
16.696025,80.6066
16.717175,80.62485
16.725725,80.925725
16.741075,81.045775
16.767975,81.234475
16.782825,81.251325
16.800525,81.27595
16.810875,81.346675
16.83655,81.39265
16.845925,81.4891
16.893325,81.57055
16.9158,81.700075
16.93035,81.773925
16.9405,81.81135
16.9621,81.96155
16.971025,82.027775
16.9855,82.0817
16.996175,82.664375
17.0012,82.704525
17.007925,82.8168
17.0257,82.856975
17.032425,82.929975
17.0381,83.064375
17.0729,83.301
17.1104,83.348025
17.130525,83.40045
17.14505,83.521575
17.15455,83.5725
17.18025,83.616425
17.18785,83.838775
17.204025,84.23435
17.21795,84.40055
17.2277,84.414425
17.2614,84.7601
17.26545,84.79955
17.28085,85.010425
17.31285,85.076825
17.333075,85.17625
17.34935,85.569775
17.38175,85.594625
17.409825,86.019225
17.433225,86.086925
17.441,86.175275
17.45635,86.312
17.47055,86.36185
17.486475,86.53525
17.524925,86.55145
17.5468,86.5852
17.55745,86.5908
17.57425,86.61855
17.617825,86.64275
17.636625,86.824475
17.681675,86.865425
17.712775,86.9448
17.718525,87.10185
17.733875,87.145675
17.756625,87.162475
17.784775,87.463275
17.81155,87.5065
17.876225,87.609725
17.9589,88.158925
17.968825,88.184775
17.9891,88.25735
18.013125,88.339575
18.028125,88.39145
18.04445,88.626175
18.06555,88.942525
18.0931,89.1109
18.104625,89.1887
18.117525,89.327775
18.140825,89.41285
18.154875,89.60755
18.177325,89.65875
18.217975,89.747425
18.2797,89.757175
18.334125,89.863625
18.356325,90.1073
18.377925,90.12925
18.402475,90.179275
18.421475,90.223325
18.463725,90.22815
18.487875,90.310825
18.5137,90.373175
18.545025,90.398025
18.55905,90.408525
18.582625,90.446525
18.603175,90.4722
18.6521,90.6115
18.6626,90.76115
18.703275,91.046425
18.73095,91.130925
18.742775,91.175025
18.798425,91.28895
18.819925,91.31315
18.8255,91.357625
18.84425,91.4318
18.8568,91.493725
18.859225,91.57585
18.914475,91.590575
18.92695,91.95945
18.93755,91.96965
18.942725,92.064225
18.9565,92.55745
18.960725,92.725375
18.9898,92.7983
19.01225,92.9491
19.025025,93.253725
19.03645,93.360125
19.049275,93.4712
19.052675,93.502875
19.07725,93.5122
19.09925,93.682075
19.1217,93.778975
19.12535,93.793825
19.146375,93.93765
19.1609,94.0859
19.1843,94.3159
19.206925,94.328175
19.2194,94.47885
19.2394,94.835625
19.262475,95.15905
19.273625,95.9065
19.287775,96.1335
19.29865,96.5706
19.31115,96.670375
19.320075,96.8269
19.34265,96.911025
19.366375,97.368975
19.402,97.38355
19.4183,97.434925
19.436025,97.459025
19.455375,97.531425
19.464675,97.541475
19.474125,97.68125
19.479975,98.119
19.492775,98.212725
19.5001,98.527775
19.5114,98.5929
19.516775,98.6481
19.5315,98.711625
19.5438,98.743
19.551425,98.76855
19.56085,98.79
19.57435,98.876875
19.5868,99.19225
19.604475,99.296625
19.641425,99.32225
19.65145,99.349875
19.7038,99.517975
19.71325,99.66915
19.725925,99.960925
19.73035,100.0743
19.745875,100.202175
19.752125,100.335975
19.78125,100.464275
19.803475,100.59905
19.819475,100.8082
19.831625,100.827575
19.845925,100.856825
19.86935,101.112525
19.88125,101.281825
19.890275,101.45975
19.901675,101.492375
19.920975,102.094975
19.9592,102.339025
19.9801,102.39355
20.0076,103.003325
20.0286,103.1284
20.0329,103.709875
20.0431,103.743275
20.0704,104.0675
20.093725,104.6051
20.11135,104.687725
20.120525,104.759725
20.146175,104.882625
20.16585,104.93465
20.174975,105.132475
20.18595,105.358425
20.19805,105.415175
20.206025,105.5408
20.22435,105.6438
20.27515,105.869175
20.27935,106.0155
20.295625,106.302475
20.3048,106.490075
20.318225,106.686425
20.3235,107.217325
20.352325,107.23575
20.360925,107.425975
20.3729,107.61185
20.382075,107.823875
20.395725,107.85985
20.403075,107.880025
20.413575,107.970175
20.430275,108.2523
20.439175,108.339725
20.44415,108.4173
20.4643,108.8834
20.473,108.909275
20.48495,108.93995
20.544175,108.994725
20.5503,109.707075
20.562525,109.8645
20.602025,109.951525
20.606725,109.983375
20.61345,110.116025
20.623125,110.129675
20.671225,110.299625
20.682025,110.456375
20.69305,110.5193
20.70645,110.59775
20.722475,110.7691
20.738275,110.9421
20.762075,111.17095
20.91825,111.181575
21.0168,111.392
21.057525,111.54615
21.1183,111.645425
21.139525,111.75655
21.162725,111.92865
21.165575,112.121675
21.19685,112.27875
21.2103,112.695575
21.236025,112.974225
21.272125,113.026875
21.293425,113.099775
21.349825,113.37965
21.39135,113.44725
21.43195,113.531875
21.434425,113.60795
21.4698,113.717475
21.49055,113.7881
21.5523,113.79545
21.7129,113.97145
21.736125,114.082075
21.7483,114.10695
21.76725,114.141825
21.795025,114.453875
21.878025,114.48385
21.91685,114.6379
21.946075,114.646775
21.963675,114.683225
22.019875,115.1185
22.1332,115.3137
22.249975,115.3987
22.2692,115.52765
22.2904,115.842725
22.307675,116.0611
22.32335,116.1851
22.39445,116.54395
22.553475,117.252375
22.56035,117.413525
22.579,117.484
22.626475,117.6864
22.6394,117.92055
22.802325,118.887875
22.830425,118.94665
22.84295,118.963075
22.895925,119.075175
22.91085,119.244125
22.924225,119.311025
22.943525,119.355025
22.972175,119.60355
22.98135,119.7324
23.004525,119.971725
23.07415,120.13735
23.112625,120.15335
23.133925,120.700125
23.15795,120.9086
23.1855,121.17125
23.19145,121.392075
23.2535,121.478175
23.262275,121.534475
23.328075,122.08465
23.358075,122.374625
23.3755,122.67855
23.38555,122.69715
23.4369,122.953425
23.466725,123.4813
23.500275,123.5066
23.517175,123.596125
23.5286,123.7682
23.597025,123.869975
23.6148,124.055125
23.620425,124.183325
23.658975,124.2601
23.697475,124.689975
23.711425,125.080325
23.7205,125.446175
23.743825,125.591825
23.763325,125.81545
23.77845,125.85985
23.79805,126.448775
23.810825,126.460325
23.825025,126.6919
