SPK_SPKC08a (no opto-tagging),SPK_SPKC10a (inhi),SPK_SPKC11a (exc),SPK_SPKC12a (no response),SPK_SPKC12b (exc),SPK_SPKC14a (short inhi)
92.399425,5.4669,6.5634,107.372375,8.424325,5.317475
93.267625,5.4928,6.613025,107.431275,8.43315,5.32785
93.788975,5.516075,6.645225,107.449775,8.4455,5.350075
94.169825,5.5268,6.657325,107.791825,8.46515,5.361225
94.30795,5.55175,6.673675,107.8208,8.494375,5.37805
94.694975,5.578675,6.6911,108.338125,8.544125,5.3989
94.74815,5.639325,6.72005,108.450375,8.58655,5.413275
95.24395,5.6428,6.73075,108.81205,8.647075,5.4264
95.266125,5.677525,6.767125,111.31275,8.6635,5.444575
95.35655,5.7161,6.789175,111.39435,8.682875,5.45715
95.5085,5.73065,6.8051,111.444675,8.69515,5.46935
96.3451,5.743225,6.825225,111.522525,8.704425,5.482
96.484325,5.753625,6.8515,111.5495,8.723775,5.49405
96.51025,5.769525,6.8759,111.56695,8.757475,5.507
96.591,5.780325,6.9022,111.578475,8.794075,5.51285
97.03715,5.8031,6.9171,112.01145,8.8753,5.5276
97.3035,5.824725,6.93705,112.019925,8.918475,5.543325
97.323725,5.8311,6.952525,112.051625,8.961875,5.557975
98.119125,5.838125,6.96345,112.16715,8.97685,5.567525
98.1739,5.84695,6.977775,112.58195,8.986575,5.5847
98.2941,5.858825,6.988,112.59615,8.998,5.610075
98.345075,5.864075,6.999525,112.69335,9.01455,5.6261
98.8277,5.881625,7.0202,112.941125,9.02625,5.6404
98.9114,5.906425,7.044575,113.4088,9.043675,5.651325
99.1402,5.940975,7.077575,113.933425,9.067825,5.6665
99.243025,5.969625,7.09405,113.949775,9.094275,5.6831
99.7465,5.999475,7.120425,113.959,9.13425,5.686
99.8011,6.032325,7.1355,113.97275,9.167025,5.69465
99.810225,6.05735,7.1568,114.32345,9.2105,5.702425
99.86905,6.0709,7.19585,114.347675,9.2327,5.70975
100.972475,6.075075,7.234525,114.368375,9.255025,5.722775
101.040925,6.07835,7.286825,114.4913,9.2604,5.7349
101.293075,6.0812,7.304025,114.882525,9.267675,5.74735
101.480775,6.0833,7.338775,115.070725,9.285825,5.789775
101.873125,6.085425,7.34735,115.865875,9.29315,5.80805
101.891825,6.0898,7.349125,116.0551,9.300175,5.831275
102.2549,6.095775,7.366875,116.148225,9.31825,5.854725
102.708275,6.1008,7.37915,116.431875,9.372725,5.877975
102.756725,6.103475,7.39085,116.47375,9.406425,5.903775
102.76385,6.106525,7.410375,116.92845,9.5182,5.9085
102.918825,6.11365,7.471475,119.168825,9.547175,5.9224
103.148025,6.148225,7.48195,119.4122,9.596,5.9274
103.18225,6.157575,7.493275,119.941625,9.60135,5.9417
103.195125,6.2058,7.5062,120.1549,9.622025,5.957275
103.29085,6.20925,7.522225,120.1583,9.6326,5.972775
103.8559,6.252125,7.541625,120.16565,9.64215,5.976325
104.9059,6.268325,7.554575,120.1988,9.652025,5.99245
105.17375,6.289425,7.565175,120.243375,9.667375,6.0041
105.33525,6.301725,7.579875,120.26575,9.678425,6.019725
105.62405,6.370525,7.591725,120.282475,9.69325,6.0305
106.36145,6.386475,7.60805,120.5882,9.71635,6.042075
106.74715,6.3946,7.6191,120.618425,9.758525,6.05365
106.810375,6.398625,7.65335,120.73425,9.823325,6.0674
106.850925,6.410725,7.667475,120.76605,9.867175,6.0776
107.3553,6.418125,7.6793,120.8126,9.888275,6.089725
107.57955,6.4561,7.712325,120.85925,9.91475,6.102675
107.934175,6.478775,7.725875,121.257525,9.924725,6.1114
108.149125,6.505925,7.7399,121.3048,9.93115,6.1273
108.6817,6.541525,7.75355,121.329225,9.941475,6.14165
108.971725,6.595125,7.771375,121.501175,9.948975,6.156975
109.321375,6.6496,7.808625,121.513625,9.955925,6.16955
109.572975,6.65445,7.8267,121.62285,9.9593,6.201225
109.97885,6.661775,7.840675,121.732725,9.962575,6.22315
110.1976,6.673275,7.858375,121.972125,9.9662,6.241675
110.443925,6.697375,7.875575,122.30115,9.97015,6.2613
110.623225,6.71405,7.903225,122.3102,9.974325,6.27925
110.806,6.72515,7.922625,122.5603,9.9866,6.289525
110.816375,6.7383,7.9484,123.032925,10.009925,6.3108
110.8544,6.744175,7.96845,123.0441,10.04205,6.321
111.2702,6.76755,8.001075,123.634825,10.06235,6.3303
111.4995,6.79415,8.0121,123.7103,10.083525,6.338675
111.604575,6.804725,8.02255,124.08495,10.10015,6.3457
111.732625,6.820475,8.0255,125.33355,10.13035,6.354175
112.083125,6.848275,8.031,125.770125,10.15255,6.37475
112.34595,6.88985,8.0625,126.076525,10.1791,6.384125
112.6746,6.910675,8.070275,127.217225,10.187925,6.393325
112.7449,6.9282,8.07955,127.8556,10.2031,6.404625
112.75725,6.93625,8.085625,127.88415,10.21235,6.4162
112.81285,6.945225,8.1027,128.409025,10.22305,6.437125
112.834125,6.95305,8.21275,128.43255,10.22815,6.4499
113.19965,6.958075,8.23105,128.46285,10.242725,6.4615
113.2801,6.962,8.252725,128.51525,10.2489,6.473875
113.513675,6.970425,8.27115,128.53255,10.263525,6.486625
113.752075,6.97675,8.306525,128.684475,10.26875,6.504225
113.791225,6.981125,8.31695,128.710075,10.278675,6.5174
113.8999,6.9851,8.3436,129.617175,10.292675,6.53855
114.05855,6.988675,8.35335,129.634525,10.308375,6.552925
114.22625,6.9951,8.37085,130.326125,10.325675,6.56485
114.482625,7.003825,8.3808,130.40385,10.347,6.581075
114.707425,7.007875,8.39585,130.4387,10.37605,6.593025
114.708775,7.017675,8.427875,133.54935,10.513775,6.6107
114.7623,7.026375,8.444825,133.60585,10.544625,6.625375
114.7947,7.02785,8.45825,134.19535,10.562275,6.64885
115.158025,7.030675,8.480375,134.58685,10.5721,6.66725
115.58885,7.0457,8.54185,134.68365,10.583725,6.684975
115.597425,7.0515,8.5583,134.7443,10.589725,6.701975
115.930075,7.055325,8.568675,134.981425,10.595775,6.722075
116.03115,7.059575,8.605175,135.076625,10.60215,6.744025
116.231975,7.064975,8.628,135.0907,10.611925,6.758675
116.3209,7.0767,8.635225,135.113175,10.62075,6.78015
116.7215,7.083875,8.644175,135.166425,10.6315,6.790125
116.766175,7.087,8.6594,135.183025,10.641775,6.8039
117.0141,7.096775,8.67355,135.446175,10.6614,6.817475
117.45695,7.102375,8.67815,135.467825,10.67835,6.828925
117.577475,7.107925,8.67995,135.50485,10.6965,6.8358
118.022875,7.1125,8.687975,135.527375,10.7311,6.84295
118.321275,7.124025,8.706775,136.246875,10.755875,6.866275
118.3631,7.13685,8.716275,136.71225,10.818125,6.8767
118.41635,7.15975,8.7286,137.632925,10.8661,6.891675
118.95175,7.1687,8.7554,137.725975,10.9082,6.906925
118.95935,7.17275,8.7913,137.7368,10.92735,6.924625
119.163275,7.182225,8.807475,138.04705,10.937475,6.953325
119.453,7.191625,8.83285,138.578525,10.94915,6.98055
119.4838,7.201675,8.86115,139.4762,10.954,7.017625
119.805675,7.22985,8.89405,140.2732,10.970925,7.04735
120.907325,7.247925,8.907675,140.79185,10.9819,7.094675
120.974925,7.2826,8.93885,140.8259,11.000225,7.110875
121.246775,7.318525,8.947425,140.913275,11.0163,7.133025
121.653125,7.345475,8.96105,140.969525,11.03445,7.1452
121.759,7.366325,8.974475,141.627275,11.050725,7.15405
121.8319,7.385025,8.98095,142.0702,11.078575,7.1626
122.499725,7.397625,8.997,142.4869,11.100325,7.1735
122.560225,7.408875,9.008775,143.84285,11.128175,7.18675
122.792125,7.422225,9.025325,143.942475,11.1658,7.200925
122.874575,7.44955,9.033025,144.1908,11.196575,7.218975
123.1758,7.4542,9.042775,146.027,11.2406,7.2358
