SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a,SPK_SPKC12b
655.9245,652.356875,644.00635,658.69735
656.0239,652.7127,644.0239,658.719225
656.069225,652.78805,644.0336,658.747525
656.10705,652.79855,644.041175,659.057875
656.181175,652.845775,644.046225,659.0692
656.210025,652.8557,644.0695,659.08235
656.225475,652.870375,644.10005,659.134825
656.24445,652.8824,644.1557,659.143875
656.261175,652.896375,644.224175,659.185
656.433875,652.945,644.2338,659.1955
656.457925,653.07075,644.2497,659.203425
656.47845,653.4091,644.27155,659.356025
656.482975,653.42775,644.2906,659.3947
656.49925,653.474375,644.356525,659.42275
656.52135,653.69415,644.422125,659.496925
656.555425,653.90395,644.602025,659.6772
656.57195,654.041025,644.64765,659.68595
656.584725,654.682075,644.656725,659.704125
656.60045,654.764275,644.669175,659.71765
656.6866,654.805475,644.698925,659.751925
656.703325,654.87405,644.707825,659.752975
656.7386,654.9655,644.710175,659.819225
656.858975,654.9962,644.72465,659.824925
657.0088,655.00765,644.75,659.864
657.104475,655.1104,644.904125,660.003925
657.166125,655.1188,644.949,660.160575
657.25165,655.13095,644.95745,660.253975
657.260325,655.200375,644.964325,660.41325
657.263625,655.280025,644.97135,660.418625
657.28215,655.469075,644.981825,660.49845
657.3567,655.5522,644.99745,660.5339
657.581,655.74125,645.002925,660.542925
657.671275,656.192075,645.024825,660.56065
657.73035,656.2348,645.0504,660.591
657.76925,656.270025,645.0617,660.8297
657.799225,656.4693,645.1092,660.90865
657.82135,656.474275,645.136575,660.91925
657.917575,656.51475,645.139375,660.94205
658.05055,656.53765,645.20745,660.963375
658.092325,656.56665,645.22,661.26095
658.137725,656.5884,645.24285,661.277
658.179325,656.60555,645.2527,661.28375
658.30045,656.6145,645.2561,661.2899
658.339875,656.643575,645.262325,661.2947
658.5841,656.665025,645.268525,661.317125
658.599625,656.76865,645.271875,661.405525
658.6121,656.877075,645.329175,661.45465
658.64485,656.893825,645.3648,661.466875
658.682525,656.907575,645.392825,661.618825
658.72135,656.918475,645.400575,661.6819
658.8751,656.932125,645.420525,661.689525
658.9569,656.942075,645.499725,661.699575
659.104225,656.959675,645.566525,661.755225
659.1659,656.968375,645.60545,661.81345
659.2303,656.97805,645.738475,661.81915
659.26385,657.12475,645.776925,662.007725
659.295225,657.20305,645.787025,662.01575
659.3331,657.240925,645.7896,662.025425
659.350475,657.25635,645.8312,662.088125
659.39935,657.271625,645.833,662.108175
659.47365,657.308025,645.8526,662.145825
659.5587,657.3202,645.8577,662.41015
659.59315,657.345175,645.862525,662.503375
659.6662,657.368175,645.876275,662.5104
659.6942,657.378275,645.891,662.57935
659.706125,657.393075,645.8956,662.828525
659.71295,657.3962,646.218725,662.87475
659.71785,657.4056,646.22145,662.8944
659.73255,657.41465,646.22965,662.9131
659.8205,657.424375,646.2394,662.9582
659.826225,657.456375,646.26215,663.0556
659.9966,657.4748,646.28095,663.0815
660.1321,657.541275,646.286325,663.2058
660.166025,657.622325,646.293,663.232375
660.209,657.752925,646.303475,663.25745
660.37895,657.78365,646.304925,663.307775
660.394075,657.8362,646.3665,663.31715
660.426225,657.85325,646.628325,663.3241
660.453575,657.94035,646.6316,663.554475
660.4998,658.096025,646.6471,663.564775
660.574825,658.1075,646.660475,663.59255
660.7523,658.124475,646.666025,663.6077
660.7691,658.1447,646.669975,663.609725
660.772625,658.1625,646.677625,663.612525
660.783,658.2048,646.68485,663.64185
660.7897,658.393775,646.689175,663.661125
660.814125,658.5242,646.709275,663.90575
660.839725,658.5514,646.7292,663.9263
660.982425,658.55915,646.7476,663.933575
661.102275,658.57375,646.81225,663.9451
661.10625,658.62915,647.06395,663.983425
661.3062,658.664575,647.0891,664.210475
661.3604,658.919075,647.098075,664.26355
661.4042,659.117375,647.133525,664.310775
661.4073,659.13805,647.153275,664.31895
661.414325,659.21495,647.1668,664.354775
661.4919,659.316975,647.171825,664.396925
661.538525,659.361425,647.2254,664.625175
661.557525,659.38105,647.3852,664.6352
661.691525,659.410225,647.49935,664.689775
661.7929,659.42665,647.502775,664.7517
661.805,659.452225,647.516325,664.7633
661.892825,659.625125,647.52205,664.777725
661.92075,659.68005,647.542,664.8664
661.93195,659.69015,647.55935,665.177375
661.943475,659.697675,647.573575,665.231625
661.960475,659.700825,647.5979,665.242025
661.972275,659.738975,647.601325,665.2518
662.000275,659.75345,647.6076,665.6016
662.012125,659.759225,647.6415,665.61975
662.040375,659.76275,647.928275,665.621075
662.27635,659.7872,647.979775,665.628775
662.379275,659.790675,647.983275,665.6391
662.40495,659.810775,647.997025,665.6493
662.41565,659.842825,647.99855,665.664725
662.42595,659.8617,648.009075,665.6756
662.4394,659.881925,648.011675,665.7139
662.456375,659.891025,648.036125,665.74705
662.491875,659.90385,648.0816,665.771725
662.5081,659.9651,648.11145,665.978225
662.5575,660.05925,648.12575,665.99295
662.591275,660.093175,648.168275,666.101525
662.688475,660.104875,648.31435,666.124225
662.848675,660.114875,648.335975,666.1313
662.861475,660.140775,648.35175,666.351925
662.872925,660.14615,648.3572,666.370175
662.894175,660.15315,648.385375,666.42065
662.91175,660.310575,648.42735,666.43665
662.928725,660.3465,648.43075,666.537375
663.23745,660.386975,648.46265,666.7041
663.246925,660.433075,648.489825,666.725875
663.26365,660.461225,648.499125,666.753825
663.29665,660.47155,648.53525,666.821875
663.498375,660.485025,648.555325,666.854575
663.5654,660.507725,648.5798,667.0336
663.572425,660.52845,648.6073,667.0481
663.592675,660.6723,648.8664,667.07605
663.63365,660.77715,648.922275,667.113275
663.90355,660.798475,648.949825,667.123775
663.9582,660.808275,648.9779,667.186475
664.0694,660.824575,648.990725,667.216325
664.185125,660.8639,648.9921,668.1768
664.211825,660.883875,649.03165,668.554825
664.252025,660.940075,649.0453,668.589875
664.265775,661.027525,649.055675,668.6994
664.316725,661.094125,649.10485,668.7474
664.61285,661.10925,649.134925,668.76225
664.622825,661.134775,649.13685,668.78825
664.6261,661.1646,649.15905,668.80185
664.659775,661.399575,649.1937,668.807175
664.6894,661.411025,649.226025,668.8274
664.743075,661.421825,649.228575,668.852975
664.803325,661.425175,649.232175,668.8598
664.816225,661.431475,649.4455,668.879025
664.888075,661.447575,649.484275,668.89635
665.11175,661.47065,649.559475,668.903325
665.11935,661.610825,649.565825,668.914475
665.125575,661.634525,649.5863,668.949925
665.1412,661.727375,649.603875,668.978775
665.15625,661.757325,649.612975,669.006475
665.169225,661.7727,649.62895,669.037
665.178075,661.78345,649.648825,669.23885
665.557275,661.9104,649.66565,669.255075
665.58235,661.954225,649.693075,669.30135
665.6315,662.00555,649.736575,669.30905
665.639075,662.066975,649.799125,669.31365
665.678175,662.177575,649.997525,669.31985
666.198975,662.390475,650.013325,669.367
666.327575,662.401675,650.0249,669.37705
666.349925,662.466725,650.02625,669.389625
666.355975,662.48495,650.049725,669.39765
666.364925,662.50035,650.11595,669.4198
666.39585,662.527875,650.1325,669.435775
666.65755,662.794675,650.1384,669.442275
666.6664,662.853625,650.205725,669.4526
666.738725,662.88455,650.24825,669.482
667.051925,662.903625,650.309875,669.4907
667.069125,662.914725,650.314025,669.5029
667.132025,663.053,650.375175,669.53545
667.172825,663.110725,650.450325,669.540225
667.182,663.228625,650.498125,669.5608
667.5864,663.243425,650.520075,669.5785
667.6099,663.25565,650.54275,669.603025
668.066775,663.278625,650.565125,669.63425
668.088125,663.28095,650.58395,669.791175
668.096875,663.29225,650.618325,669.873875
668.115225,663.34085,650.619425,669.9009
668.1433,663.381225,650.669975,669.90935
668.1521,663.58345,650.6723,669.9133
668.229275,663.61305,650.734425,669.916875
668.311275,663.72285,651.0068,669.9377
