SPK_SPKC01a (no response),SPK_SPKC15a (no response)
,493.2282
,493.294775
,493.386925
,493.4358
,493.485375
,493.5242
,493.59035
,493.7186
,493.759225
,493.865275
,493.905425
,494.047825
,494.112525
,494.236475
,494.3206
,494.396575
,494.442025
,494.5218
,494.60395
,494.661425
,494.7723
,494.856425
,494.93115
,494.967875
,495.09445
,495.136325
,495.18395
,495.324175
,495.412825
,495.4871
,495.5472
,495.601725
,495.735775
,495.852
,495.92445
,496.0001
,496.055625
,496.1203
,496.288575
,496.359725
,496.423075
,496.50595
,496.61875
,496.706625
,496.7443
,496.825175
,496.886325
,496.94805
,497.023425
,497.143775
,497.219825
,497.279425
,497.37345
,497.57175
,497.62115
,497.678425
,497.77855
,497.90405
,497.953525
,498.003725
,498.0882
,498.15175
,498.202225
,498.285475
,498.337325
,498.41285
,498.46645
,498.527175
,498.5704
,498.7173
,498.783625
,498.85465
,498.9511
,499.003425
,499.05355
,499.13385
,499.21525
,499.280225
,499.3284
,499.406175
,499.4507
,499.503875
,499.55285
,499.611075
,499.687075
,499.738875
,499.8244
,499.872875
,499.92885
