SPK_SPKC02a (no response),SPK_SPKC07a (exc/inh)
260.2766,268.527275
260.395375,268.5427
260.5131,268.622625
260.6881,269.164
260.78825,269.299975
260.8914,269.309
260.96975,269.496575
261.109425,269.510375
261.2234,269.697
261.3199,270.03365
261.389125,270.26935
261.52215,270.339125
261.671925,270.46925
261.7654,270.643525
261.8216,270.6709
261.94145,270.715475
262.03215,270.718625
262.1807,270.840425
262.273025,270.867875
262.3841,270.957725
262.484,271.02215
262.59825,271.113925
262.705,271.1969
262.7939,271.2378
262.8939,271.516575
262.9988,271.55235
263.07125,271.61355
263.169775,271.886625
263.33785,272.241225
263.463175,272.270775
263.562275,272.331775
263.680825,272.553925
263.758125,272.640075
263.810075,272.6948
263.9513,272.71315
264.047875,273.008025
264.10415,273.03
264.2109,273.0833
264.257575,273.114225
264.37425,273.153525
