SPK_SPKC04a (no effect),SPK_SPKC08a (excited)
53.2121,41.1702
53.268775,41.199
53.336625,41.24335
53.3563,41.280025
53.363925,41.298825
53.434425,41.327475
53.4649,41.361225
53.63375,41.41095
53.64945,41.449575
53.740275,41.534375
53.8996,41.551175
53.93935,41.5786
53.963575,41.61205
54.08155,41.62515
54.24995,41.6509
54.27515,41.69325
54.4895,41.727025
54.52235,41.74855
54.685275,41.786175
54.71205,41.8151
54.8123,41.856825
54.89845,41.899225
55.156075,41.93925
55.1882,41.971825
55.217675,42.049975
55.356575,42.0733
55.558475,42.108725
55.592525,42.152825
55.629075,42.211775
55.66475,42.2592
55.76505,42.28995
55.798875,42.299575
55.83905,42.346925
55.9394,42.3701
55.96125,42.39065
56.019975,42.449175
56.167775,42.4991
56.220175,42.532425
56.380325,42.573875
56.768725,42.5986
56.801675,42.6309
56.911675,42.65055
57.062575,42.66185
57.1604,42.6905
57.174575,42.7563
57.1835,42.800075
57.306425,42.8419
57.4046,42.89775
57.41755,42.94245
57.517225,42.959775
57.535725,42.992175
57.8196,43.000025
57.982775,43.05825
58.013875,43.10555
58.06085,43.18445
58.177025,43.21015
58.2576,43.23465
58.561275,43.2463
58.66475,43.272
58.74485,43.315325
58.836175,43.34505
58.947,43.381025
58.97355,43.405
59.036025,43.4453
59.2132,43.487325
59.271,43.5197
59.302625,43.545775
59.363825,43.569875
59.48165,43.609775
59.62345,43.634875
59.6537,43.67465
59.685925,43.704275
59.792225,43.743175
59.84375,43.77015
59.9788,43.828
60.0413,43.84635
60.22035,43.85995
60.2647,43.88355
60.3232,43.9532
60.476575,43.97495
60.60555,44.024425
60.615275,44.06125
60.872475,44.098975
60.996425,44.12265
61.006675,44.156375
61.08805,44.184175
61.23925,44.21415
61.270375,44.249425
61.318625,44.289775
61.445625,44.328575
61.6084,44.35005
61.752,44.375825
61.8732,44.40885
61.909725,44.43875
61.96745,44.4555
62.1401,44.4927
62.264075,44.507375
62.399675,44.51135
62.744975,44.525525
62.895575,44.54185
63.029675,44.563875
63.083825,44.59875
63.10295,44.6334
63.17495,44.638825
63.29915,44.6814
63.696175,44.70265
63.8007,44.736675
64.055925,44.767125
64.183225,44.80115
64.28995,44.8185
64.466425,44.851125
64.500025,44.8745
64.53855,44.9065
64.583775,44.946225
64.587575,44.98
64.868175,45.022825
64.958675,45.088825
65.069775,45.122075
65.107475,45.154275
65.1625,45.179275
65.2398,45.22825
65.27605,45.310975
65.508675,45.3432
65.525825,45.3673
65.565825,45.381125
65.5678,45.420425
65.628475,45.445925
65.780475,45.47825
65.824975,45.5183
65.8471,45.55535
65.95735,45.585
65.9747,45.620025
66.17415,45.680575
66.185925,45.72475
66.292425,45.726225
66.3272,45.771675
66.420775,45.7887
66.498225,45.83075
66.53745,45.855925
66.703,45.8964
66.86185,46.038525
67.020575,46.076825
67.0463,46.202175
67.065925,46.230975
67.249975,46.308525
67.404625,46.3881
67.472325,46.41205
67.7353,46.44965
67.73635,46.514175
67.8022,46.5392
67.833825,46.58525
68.0158,46.605225
68.197775,46.65115
68.386975,46.701925
68.503825,46.76465
68.6497,46.848825
68.697125,46.866775
68.7221,46.879225
68.804525,46.88795
69.180925,46.896175
69.19275,46.921675
69.476275,46.92985
69.727875,46.97895
70.207525,47.0081
70.447875,47.063525
70.505725,47.104175
70.717025,47.1639
70.7759,47.23045
70.907125,47.2637
70.941975,47.3159
71.058325,47.366
71.195475,47.370175
71.22895,47.4311
71.24025,47.46355
71.284225,47.58635
71.344275,47.62405
71.4468,47.6809
71.694475,47.7452
71.72835,47.789
71.810425,47.8303
72.133575,47.866275
72.1926,47.91095
72.2491,47.9613
72.2807,48.027275
72.311,48.0633
72.470175,48.110225
72.49065,48.151125
72.60015,48.20005
72.654875,48.227275
72.7201,48.27415
72.83525,48.318475
72.884925,48.34315
72.922775,48.403875
73.0331,48.448575
73.079125,48.46155
73.11055,48.497975
73.149375,48.527575
73.2016,48.5401
73.724525,48.57285
73.7445,48.613925
73.851575,48.70835
73.87375,48.7636
73.95875,48.81005
74.3123,48.8664
74.5137,48.89495
74.550475,48.927275
74.57465,48.965525
74.59365,48.994975
74.670475,49.044725
74.767625,49.06075
74.91685,49.076325
75.25435,49.095125
75.3324,49.116225
75.566025,49.18105
75.56855,49.22205
75.62355,49.24995
75.658525,49.290975
75.896475,49.32615
75.952025,49.34535
75.998875,49.359725
76.013925,49.382125
76.2919,49.426075
76.30445,49.465425
76.376875,49.515875
76.593125,49.536675
76.6142,49.570975
76.7369,49.610875
76.926475,49.65525
76.96815,49.688125
77.029125,49.721625
77.07165,49.752125
77.1391,49.787375
77.168875,49.84195
77.191125,49.8596
77.245075,49.914425
77.3391,49.944625
77.358025,49.969875
77.37495,49.983675
77.493975,50.03565
77.81695,50.064025
77.929575,50.0994
78.1327,50.131325
78.151525,50.155775
78.3991,50.1989
78.4366,50.23185
78.5166,50.24965
78.576025,50.265725
78.6839,50.28845
78.7131,50.310025
78.789375,50.332175
79.172,50.363275
79.218225,50.4044
79.3311,50.44785
79.3483,50.4905
79.512875,50.524775
79.84775,50.571475
79.88335,50.6035
80.0618,50.63515
80.106375,50.6755
80.1299,50.732375
80.206625,50.77735
80.265925,50.8081
80.368875,50.87145
80.439175,50.88755
80.46245,50.91655
80.52685,50.959475
80.5798,50.993075
80.602725,51.0188
80.63335,51.022075
80.74535,51.08065
80.884875,51.128175
81.3649,51.195175
81.4277,51.236775
81.5765,51.270625
81.60515,51.2903
81.780825,51.308725
81.7902,51.3181
81.925875,51.3289
81.9595,51.386525
82.01245,51.45345
82.068375,51.50465
82.149425,51.6024
82.1748,51.623825
82.41425,51.652875
82.46125,51.692525
82.61155,51.728075
82.7477,51.746675
82.7674,51.7609
82.835175,51.79755
82.92285,51.872625
82.967425,51.9255
83.195825,51.95485
83.2521,52.036925
83.342225,52.071275
83.40655,52.11605
83.4412,52.13325
83.456825,52.149125
83.4885,52.186775
83.872125,52.2224
83.950475,52.299725
83.964775,52.3757
84.033625,52.45205
84.120875,52.4733
84.204075,52.502525
84.347975,52.52775
84.377575,52.59525
84.398075,52.64095
84.606025,52.695825
84.6204,52.8228
84.77985,52.876825
84.86105,52.916875
85.1481,52.94365
85.206025,52.96505
85.263325,52.97655
85.378875,52.9973
85.464775,53.020325
85.84115,53.03275
85.915925,53.11495
86.068625,53.165425
86.186675,53.250575
86.208425,53.283925
86.2608,53.2965
86.371225,53.3107
86.513175,53.346075
86.536275,53.3768
86.6491,53.419675
86.7218,53.462325
86.818475,53.490375
86.93895,53.58935
87.270925,53.67065
87.422675,53.6842
87.5264,53.699425
87.5446,53.710825
87.6336,53.76005
88.00735,53.789525
88.034875,53.8248
88.06415,53.870375
88.13325,53.90445
88.28045,53.92855
88.432525,53.958725
88.468,53.988175
88.480575,54.013825
88.704775,54.050325
88.806625,54.0897
88.993425,54.1177
89.094825,54.1584
89.15495,54.196425
89.277525,54.238175
89.33365,54.243725
89.4402,54.265025
89.4944,54.284525
89.576825,54.303675
89.668975,54.344875
89.691125,54.38
89.701025,54.4235
89.7914,54.45
89.889125,54.4827
89.904225,54.51535
89.961125,54.5924
89.96315,54.656775
89.97975,54.7087
90.115125,54.7779
90.153025,54.833775
90.3742,54.871425
90.498675,54.89725
90.694225,54.934725
90.70625,54.9635
90.9716,54.98085
90.988875,55.003025
91.081775,55.019775
91.374475,55.0483
91.5547,55.0756
91.5694,55.15325
91.624,55.2119
91.6291,55.236675
91.650375,55.2808
92.0634,55.345275
92.081,55.389325
92.197,55.424025
92.38125,55.4842
92.425725,55.52335
92.49865,55.5485
92.72335,55.566125
92.8587,55.585025
93.0205,55.590475
93.03325,55.63555
93.117575,55.683525
93.2228,55.70405
93.2546,55.726175
93.3119,55.763125
93.33825,55.784975
93.506625,55.802925
93.795375,55.84215
93.934225,55.9
93.9492,55.9971
93.96685,56.027275
93.9818,56.06415
94.034275,56.080125
94.312275,56.090875
94.502625,56.1102
94.60715,56.15445
94.696,56.19795
94.704825,56.217
94.882875,56.240825
95.373,56.267875
95.41075,56.328375
95.559825,56.3522
95.583425,56.372575
95.611075,56.404675
95.864775,56.455775
95.911975,56.48515
95.9471,56.519025
95.9769,56.59565
96.068375,56.639875
96.35735,56.660025
96.485075,56.6803
96.625425,56.698925
96.9307,56.718625
96.9561,56.73805
97.036575,56.754375
97.1865,56.768025
97.19125,56.7849
97.270225,56.8053
97.342975,56.8163
97.447025,56.845475
97.5596,56.88845
97.819425,56.91125
97.842575,56.9572
98.060175,57.013675
98.278525,57.070025
98.3239,57.1088
98.4167,57.1362
98.572725,57.157475
98.824025,57.1767
98.8304,57.1989
98.994225,57.228275
99.0082,57.254825
99.69405,57.2761
99.800775,57.287375
99.901725,57.3021
100.063475,57.32065
100.226375,57.344475
100.383175,57.37655
100.49195,57.39665
100.658925,57.417375
100.821125,57.42875
100.98555,57.438475
101.046725,57.47085
101.211375,57.531
101.338175,57.561425
101.3572,57.599425
101.3789,57.63285
101.411925,57.65865
101.47465,57.701725
101.822775,57.746775
101.89365,57.77555
102.2073,57.80795
102.28585,57.8405
102.3849,57.8789
102.5298,57.951225
102.648275,57.976175
102.693925,58.03765
102.741525,58.05845
102.771425,58.075325
102.843875,58.089775
103.0895,58.11455
103.115025,58.176825
103.33975,58.247
103.377975,58.293875
103.600375,58.330825
103.89995,58.337025
103.950975,58.36515
104.041725,58.400075
104.164,58.43245
104.37085,58.4632
104.372975,58.48475
104.7233,58.579825
104.8874,58.635025
104.903625,58.70985
104.977375,58.769525
105.0228,58.82025
105.198125,58.8641
105.3883,58.932025
105.7543,58.952375
105.823975,58.98215
106.02955,59.019275
106.33245,59.078825
106.608075,59.121775
106.8691,59.151275
107.052225,59.17025
107.356425,59.220975
107.539225,59.2601
107.823175,59.2968
107.838025,59.32295
107.994,59.364725
108.040575,59.378025
108.057275,59.399125
108.093175,59.451425
108.3,59.4796
108.43435,59.52085
108.480025,59.562925
108.842975,59.5994
109.41,59.635875
109.874225,59.67995
110.07025,59.72165
110.2201,59.817225
110.452325,59.835425
110.5434,59.895275
110.651525,59.940075
110.681875,60.035075
110.701725,60.1024
110.746075,60.18095
110.757525,60.396825
110.7838,60.445225
110.865825,60.54525
110.935125,60.634525
111.2655,60.68755
111.54595,60.732825
111.703225,60.743175
111.771275,60.759175
112.415,60.804875
112.5159,60.8502
112.7728,60.88795
112.9206,60.92145
112.956975,60.949475
