SPK_SPKC01a (excited),SPK_SPKC04a (inhibited),SPK_SPKC09b (excited),SPK_SPKC10b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (excited),SPK_SPKC12a (excited),SPK_SPKC13a (excited),SPK_SPKC14a (excited),SPK_SPKC15a (NA),SPK_SPKC16a (excited)
6.425075,2.935625,17.259225,13.45775,11.436675,41.025175,9.34215,35.48485,123.1611,25.82045,29.391975
6.45125,2.95285,17.2976,13.474525,11.456925,41.048675,9.376125,35.579925,123.5602,25.8468,29.4753
6.486925,2.966875,17.31745,13.524125,11.57475,41.1516,9.437025,35.664925,123.656425,25.8871,29.55065
6.5147,2.975975,17.337,13.5636,11.58975,41.212625,9.4859,35.851825,123.891925,25.96275,29.582575
6.541825,2.99015,17.39675,13.65855,11.635925,41.2465,9.5252,35.95225,124.094975,26.04135,29.699325
6.573875,3.00175,17.457225,13.8452,11.660675,41.419775,9.56995,36.182925,124.4636,26.0826,29.73725
6.60185,3.011775,17.58195,13.9091,11.686125,41.447,9.676325,36.264625,124.6984,26.11745,29.7604
6.6403,3.029325,17.70175,13.936375,11.7048,41.480275,9.716175,36.38535,125.841225,26.154175,29.761825
6.6739,3.040225,17.735575,13.9585,11.727825,41.75075,9.76455,36.489075,126.059825,26.157475,29.811975
6.73445,3.054725,17.7966,13.987725,11.791475,41.7696,9.786075,36.587775,126.5704,26.21095,29.946375
6.758975,3.068875,17.827425,14.022375,11.875725,41.79025,9.81535,36.73635,126.94055,26.247025,29.973625
6.77955,3.085325,17.85825,14.06205,11.942425,41.8421,9.835975,36.7699,126.9771,26.318225,30.081775
6.80575,3.092725,17.8766,14.085225,12.027525,41.857525,9.8536,36.809075,127.267725,26.33605,30.100575
6.8307,3.1062,17.89385,14.0985,12.045525,41.922275,9.91895,36.868125,128.830075,26.3735,30.15995
6.870775,3.121075,17.92275,14.10965,12.06575,41.94235,9.97135,36.88335,129.05865,26.45765,30.2365
6.893925,3.12665,17.941925,14.11825,12.0997,41.981025,10.07185,37.0149,129.166675,26.480025,30.36805
6.932625,3.1415,17.9619,14.135025,12.1349,42.056225,10.1061,37.34155,129.25805,26.4945,30.4254
6.964675,3.14985,17.9836,14.15175,12.178125,42.076325,10.12295,37.38655,131.0797,26.4975,30.918375
6.9954,3.160525,18.02125,14.16735,12.199675,42.136625,10.13915,37.6705,132.11875,26.520725,31.100925
7.011375,3.173425,18.29925,14.1776,12.2193,42.1521,10.26965,37.734125,132.93675,26.551875,31.4361
7.0441,3.2044,18.340525,14.199,12.2932,42.1708,10.318775,37.80365,134.019225,26.58965,31.45875
7.0687,3.2166,18.40275,14.2568,12.34855,42.20465,10.357875,37.8476,134.7995,26.60965,31.537025
