SPK_SPKC04a (NA),SPK_SPKC08a (excited),SPK_SPKC12a (inhibited)
131.92475,46.48125,15.9245
132.1835,46.535025,15.938925
132.274025,46.553625,15.95695
132.334125,46.605075,15.98215
132.39745,46.7264,15.98795
132.41545,46.73465,16.024825
132.47675,46.769375,16.042325
132.687475,46.793375,16.065675
132.90025,46.82405,16.103975
133.1692,46.83545,16.1274
133.2046,46.8394,16.133775
133.387975,46.8578,16.14715
133.5086,46.8787,16.161675
133.92135,46.943425,16.174025
134.006675,47.149075,16.196725
134.185675,47.181125,16.246775
134.2081,47.193375,16.2747
134.2884,47.242975,16.2904
134.323425,47.253925,16.3095
134.8255,47.2631,16.32125
135.195425,47.270025,16.3318
135.310325,47.299125,16.3607
135.372225,47.31215,16.372975
135.4443,47.373525,16.39825
135.6298,47.41455,16.4222
135.818925,47.485,16.445025
135.986325,47.490475,16.494
136.23385,47.5168,16.5017
136.38935,47.59995,16.571875
136.863225,47.6817,16.585125
136.933475,47.721175,16.633475
137.113225,47.749875,16.677
137.19045,47.765425,16.688025
137.278125,47.80255,16.73805
137.7746,47.80985,16.76125
137.9158,47.82305,16.763125
138.088,47.86235,16.772875
138.308375,47.90385,16.82635
138.487525,47.956625,16.852825
138.6579,48.03885,16.874675
139.194775,48.06865,16.885975
139.2291,48.083175,16.900825
139.503025,48.113875,16.928275
139.677825,48.1822,16.935125
139.89715,48.1996,16.9483
140.042275,48.281125,16.962025
140.0822,48.3378,16.998375
140.1994,48.415475,17.0503
140.27245,48.4563,17.0621
140.322275,48.476475,17.0946
140.382375,48.523825,17.116975
140.484425,48.5361,17.131475
140.531325,48.61465,17.1484
141.049325,48.627275,17.19915
141.279575,48.645075,17.20915
141.3555,48.693275,17.227125
141.470525,48.7808,17.24165
141.663825,48.825225,17.2561
141.760525,48.844425,17.27725
141.82985,48.87695,17.28905
142.2375,48.969125,17.3029
142.644375,49.002725,17.3147
142.7396,49.044775,17.3302
142.759325,49.07195,17.3472
142.8644,49.1108,17.349175
142.92015,49.137825,17.38295
142.9338,49.166325,17.386425
143.062625,49.250375,17.391825
143.0739,49.3086,17.40545
143.09655,49.334725,17.427575
143.108175,49.3775,17.456525
143.14265,49.4144,17.4839
143.199225,49.4715,17.55275
143.21515,49.596625,17.581775
143.29175,49.659325,17.604975
143.46635,49.69785,17.634225
143.470225,49.796975,17.68715
143.8407,49.840575,17.695525
143.8902,49.920475,17.7042
144.078375,49.95115,17.718325
144.2046,49.986725,17.73035
144.257425,50.011075,17.751525
144.491875,50.037875,17.7938
144.6088,50.077175,17.81895
144.66265,50.101,17.8323
144.80395,50.118075,17.873125
144.914425,50.170375,17.898975
145.059675,50.201775,17.9438
145.097925,50.243675,17.95655
145.347725,50.2679,17.997
