SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC10a
46.10315,90.85145,7.92195,13.573575,7.644375
46.289375,91.420275,7.95755,13.6029,7.65395
46.377275,91.510475,8.032975,13.6185,7.7044
46.57405,92.65975,8.05235,13.67325,7.71595
46.5831,92.711475,8.059575,13.73065,7.723325
46.82395,92.96105,8.07375,13.746375,7.7355
46.857125,93.50715,8.08035,13.7741,7.74085
46.86775,93.84685,8.092025,13.7901,7.752825
47.338125,93.8927,8.107925,13.803275,7.7641
47.3785,94.182525,8.1187,13.890775,7.773175
47.6944,94.223825,8.13035,13.892375,7.79355
48.009475,94.2697,8.1395,13.927475,7.811475
48.039625,94.486875,8.148325,13.9419,7.8188
48.14975,94.70565,8.161725,13.948875,7.836075
48.242975,94.7936,8.1801,13.95545,7.84335
48.287025,94.9641,8.200125,13.9619,7.84995
48.3737,95.01045,8.22145,13.9736,7.859975
49.104825,95.40325,8.269575,14.06595,7.874375
49.166975,95.586375,8.28225,14.076925,7.8893
49.6262,95.78955,8.32075,14.110175,7.898775
49.751025,95.9434,8.348575,14.11965,7.908
49.8175,96.905125,8.395625,14.155,7.9141
49.884925,96.9289,8.403375,14.224075,7.933675
49.95555,96.95945,8.4121,14.239125,7.963375
50.255625,97.011675,8.423275,14.25905,7.968675
50.39005,97.276025,8.439,14.289,8.001175
50.475875,97.342975,8.4521,14.298025,8.0102
50.631575,97.3847,8.46205,14.374525,8.02885
50.7584,97.508425,8.479575,14.4156,8.03965
50.86475,98.463625,8.491575,14.449275,8.046825
50.8687,98.563725,8.5328,14.46255,8.054575
50.89495,98.96225,8.555625,14.51115,8.062575
51.1689,99.085725,8.575975,14.5301,8.0718
51.241825,99.34255,8.601225,14.5416,8.08255
51.2668,100.018725,8.619225,14.597475,8.0912
51.362675,100.09525,8.6308,14.66555,8.11285
51.417225,100.436975,8.64505,14.69415,8.117825
51.6657,100.6401,8.65905,14.70465,8.127725
51.75575,100.864475,8.672275,14.75555,8.150525
51.915225,101.3351,8.686125,14.770875,8.159
51.926475,101.509275,8.69635,14.822725,8.17385
51.96565,101.6141,8.708075,14.8575,8.18045
52.05315,101.6282,8.717375,14.91325,8.188325
52.0634,101.87525,8.727575,14.9426,8.1982
52.106625,102.180125,8.7343,14.953775,8.22405
52.1153,102.19995,8.74045,15.0024,8.236775
52.208625,102.351275,8.75515,15.11385,8.249075
52.2198,102.36485,8.775175,15.1325,8.291275
52.3097,102.689225,8.785925,15.235075,8.304225
52.32525,103.135,8.823175,15.2602,8.347875
52.379,104.381175,8.852075,15.28815,8.392375
52.4492,104.491525,8.89745,15.317825,8.40965
52.621725,104.679075,8.93255,15.36415,8.424325
52.636,104.759275,8.952525,15.390225,8.4384
52.740275,105.08755,8.975925,15.45125,8.45305
52.746225,105.3191,8.994975,15.466075,8.475475
52.777675,105.39545,9.036425,15.485475,8.4891
52.8761,105.708675,9.054775,15.495625,8.4981
52.90145,106.04895,9.0656,15.52765,8.50455
52.914675,106.08825,9.07965,15.5539,8.5109
53.053025,106.11225,9.09715,15.5861,8.517425
53.075225,106.18975,9.11575,15.600225,8.5236
