SPK_SPKC02a (short excitation),SPK_SPKC05a (no effect),SPK_SPKC07a (no effect),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect),SPK_SPKC11b (no effect)
86.4026,,155.45795,,12.51585,248.14275
86.425175,,155.976875,,12.66125,249.14325
86.435625,,159.04235,,12.85055,249.162225
86.82565,,159.338475,,12.867725,249.536525
86.87295,,159.773025,,12.88015,249.628875
86.9607,,159.7967,,12.9107,249.835875
87.063275,,160.135575,,12.91715,249.8417
87.163125,,161.166475,,12.933775,251.090375
87.26535,,162.10795,,12.940725,251.222275
87.39645,,164.290625,,12.960525,251.7081
87.712375,,164.86585,,12.97285,251.822325
87.727725,,166.369375,,12.992325,251.97115
88.058875,,167.08705,,13.030175,254.455275
88.430725,,168.42065,,13.061575,255.178725
88.4601,,170.435575,,13.086425,255.24045
88.934,,173.501725,,13.19575,255.428275
89.418975,,175.0301,,13.332775,255.734625
89.471475,,175.0726,,13.3639,255.82235
89.626175,,177.0831,,13.378825,256.331725
89.655475,,180.05925,,13.4018,256.414475
89.8666,,180.1795,,13.406975,256.805
90.118075,,180.369825,,13.414675,256.944925
90.25725,,180.4591,,13.42985,257.348725
90.3647,,180.513825,,13.439675,257.690975
90.747125,,182.790325,,13.448725,257.7902
90.95185,,182.896375,,13.455625,259.38525
90.990825,,183.391075,,13.4607,260.344975
91.0085,,183.8108,,13.470125,260.46935
91.04095,,183.852925,,13.481425,261.105075
91.061075,,184.17195,,13.492775,261.38275
91.1255,,184.2702,,13.511025,263.5959
91.13745,,187.122575,,13.543525,264.177925
91.850125,,187.5609,,13.588725,264.38445
92.146025,,188.32935,,13.6842,264.577225
92.244675,,189.3717,,13.744525,264.6471
92.322425,,191.03985,,13.75815,264.70515
92.3482,,192.9827,,13.770625,264.750825
92.483825,,197.3051,,13.7825,266.111975
92.649075,,198.766975,,13.79155,266.700475
92.70315,,200.748925,,13.80635,267.4785
92.711175,,201.627475,,13.81165,267.488975
92.738525,,201.797475,,13.816175,268.08955
92.75385,,201.92805,,13.8246,268.12525
93.07935,,205.563075,,13.830975,268.442875
93.179575,,205.785425,,13.851275,268.912775
93.202875,,206.508775,,13.865125,269.30135
93.22035,,207.0786,,13.877525,270.686
93.476775,,209.513575,,13.922325,271.079875
93.511925,,212.099675,,13.99895,271.104625
93.5374,,212.247175,,14.04765,271.222425
93.6128,,213.872975,,14.083475,271.47205
93.61805,,220.762125,,14.1045,271.504925
93.68435,,223.4814,,14.117075,271.51915
93.724175,,224.54025,,14.12355,271.6259
93.804525,,226.73375,,14.148375,271.752825
93.90985,,228.268175,,14.1648,272.6891
93.965175,,228.462675,,14.1728,273.144775
93.98725,,229.37535,,14.18915,273.2137
94.0004,,229.461025,,14.200425,273.735275
94.0532,,230.801475,,14.2085,273.863525
94.129975,,231.6174,,14.221725,274.1974
94.4233,,233.82275,,14.235675,274.637675
94.49895,,233.889825,,14.250425,275.183275
94.786075,,235.852975,,14.2627,275.43255
95.505775,,236.47665,,14.281925,275.992075
95.57685,,237.471575,,14.313125,276.945875
95.61,,238.031825,,14.449175,277.23675
95.67615,,238.054525,,14.5162,277.9282
95.694075,,239.379425,,14.546325,278.77905
95.76195,,243.01175,,14.56145,279.036075
96.066475,,243.43445,,14.5714,279.110375
96.080825,,245.422525,,14.58305,279.206925
96.1438,,247.8948,,14.5933,279.456675
96.176825,,251.628725,,14.617725,279.6809
96.362825,,253.8663,,14.67525,279.906525
96.693675,,254.29375,,14.70265,280.062625
96.758975,,255.002525,,14.718675,280.29435
96.7926,,255.25555,,14.73835,280.57635
96.85675,,256.548,,14.806675,281.08755
96.9158,,260.606425,,14.83085,281.2441
97.307425,,260.973725,,14.87875,281.249575
97.706675,,261.004025,,14.927525,281.568175
97.730425,,261.550775,,14.954675,281.735775
97.795425,,262.954025,,14.967825,282.3666
97.819125,,265.6017,,14.9939,282.6941
97.893325,,266.24835,,14.997475,283.114075
97.9999,,267.512275,,15.002975,283.159325
98.165825,,269.4432,,15.021775,283.336175
98.20885,,270.638775,,15.04165,283.641
98.343325,,273.7016,,15.050525,283.656525
98.38285,,276.294575,,15.067775,284.737175
98.397825,,278.40795,,15.0755,285.656025
98.5155,,279.030975,,15.091925,285.8595
98.584025,,280.29225,,15.10895,285.918125
98.84455,,282.040775,,15.120375,286.403825
98.919275,,282.09565,,15.13235,286.80985
99.02265,,282.13775,,15.152575,287.333225
99.528375,,285.272525,,15.184125,287.60375
99.93615,,287.7347,,15.221125,287.862775
100.05955,,288.124225,,15.232975,288.528275
100.070575,,291.042125,,15.254925,288.91235
100.10575,,292.5698,,15.282725,289.13505
100.479525,,297.999975,,15.316975,289.553925
100.52965,,299.9644,,15.340075,289.855425
100.803575,,300.2716,,15.35605,290.069925
100.971875,,,,15.358025,290.43095
101.3313,,,,15.3742,290.718275
101.4612,,,,15.3948,291.12435
101.52295,,,,15.40735,292.372025
101.598275,,,,15.42465,292.809325
