SPK_SPKC06a (no effect),SPK_SPKC09a (excited),SPK_SPKC11a (no effect),SPK_SPKC11b (excited),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect),SPK_SPKC15a (excited)
45.525675,35.648025,19.975725,18.13195,18.413975,8.893625,45.07835
45.62525,35.657425,19.9839,18.1481,18.489975,8.9607,45.132725
45.708575,35.684225,20.03325,18.268525,18.52685,9.064025,45.1786
45.7883,35.744875,20.05655,18.274925,18.580975,9.0779,45.33825
45.9269,35.815075,20.060075,18.30695,18.59065,9.085625,45.35485
46.2212,35.872775,20.1593,18.339475,18.6163,9.103225,45.378925
46.272175,35.9303,20.16525,18.37905,18.638775,9.1406,45.431925
46.301025,35.93845,20.264575,18.4418,18.64965,9.162225,45.483775
46.323475,35.950325,20.26805,18.46175,18.7778,9.269575,45.583275
46.363825,35.96765,20.3414,18.5135,18.779125,9.3545,45.6176
46.3876,36.0221,20.371725,18.61205,18.86075,9.387975,45.683475
46.47365,36.03335,20.4119,18.694675,18.8775,9.394025,45.712875
46.595975,36.264625,20.4929,18.7349,18.924475,9.4064,45.8062
46.99475,36.27815,20.50185,18.74875,18.973525,9.4132,45.922925
47.069775,36.30495,20.554525,18.773325,19.031325,9.4463,46.025375
47.17155,36.357875,20.601175,18.850525,19.075,9.464625,46.042775
47.30275,36.415,20.6866,19.148425,19.229575,9.504575,46.0639
47.33545,36.6002,20.74105,19.16865,19.377825,9.524325,46.092775
47.37945,36.624675,20.934075,19.257975,19.4137,9.555925,46.305
47.5088,36.692675,20.944675,19.367825,19.4762,9.593275,46.383475
47.63655,36.766775,20.992175,19.652925,19.623275,9.616075,46.435925
47.751925,36.88315,21.103,19.675725,19.628575,9.653025,46.4502
47.883125,36.940775,21.115575,19.715025,19.637175,9.68135,46.612
48.165,37.01455,21.1506,19.732875,19.665775,9.6989,46.680275
