SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
512.433225,514.329925,513.630775,,507.478875,
512.4597,514.3783,513.696575,,507.526575,
512.504575,514.408025,513.731675,,507.550725,
512.5152,514.453925,513.8176,,507.6718,
512.542825,514.56465,513.949925,,507.74565,
512.56675,514.63795,514.088675,,507.761425,
512.65315,514.673825,514.183175,,507.793075,
512.6856,514.803625,514.266775,,507.79995,
512.711575,514.884225,514.327925,,507.8406,
512.74335,514.915175,514.393575,,507.9061,
512.765025,514.9516,514.4464,,507.9335,
512.777025,514.994575,514.619175,,507.94005,
512.813675,515.08095,514.74845,,507.953425,
512.8333,515.10955,514.8122,,507.9827,
512.86135,515.178225,514.870075,,508.007,
512.894,515.194075,514.9174,,508.02395,
512.92785,515.349125,514.9575,,508.05325,
513.0267,515.374,515.043825,,508.093225,
513.07305,515.458025,515.1064,,508.11655,
513.107475,515.541375,515.178725,,508.170675,
513.233725,515.56635,515.2431,,508.1738,
513.261575,515.598725,515.283825,,508.188575,
513.29525,515.617125,515.345825,,508.197875,
513.3614,515.627,515.3817,,508.212975,
513.414075,515.68085,515.4322,,508.236375,
513.4405,515.705725,515.4708,,508.2718,
513.442125,515.724025,515.5164,,508.284375,
513.462225,515.74725,515.559975,,508.298875,
513.495,515.82155,515.639725,,508.31895,
513.565075,515.9107,515.68135,,508.3387,
513.6043,515.961725,515.712575,,508.367975,
513.616325,516.047,515.7694,,508.379475,
513.636725,516.07925,515.811925,,508.406325,
513.676125,516.10585,515.859025,,508.421375,
513.73505,516.116325,515.898425,,508.44395,
513.792175,516.120575,515.9324,,508.4844,
513.852575,516.1468,515.9523,,508.506575,
513.88395,516.180975,515.9898,,508.515,
513.8992,516.213075,516.0139,,508.520275,
513.950175,516.288625,516.082375,,508.553975,
513.9779,516.314425,516.11635,,508.587025,
514.067375,516.3371,516.154325,,508.6058,
514.09655,516.34945,516.170725,,508.6294,
514.116325,516.3925,516.204,,508.644975,
514.145575,516.420025,516.2297,,508.649775,
514.1824,516.437675,516.297475,,508.683875,
