SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC07a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC15a
3807.52185,3834.768225,3831.05595,3830.9405,3855.39875,3809.0259
3807.665925,3834.971725,3833.4124,3831.043275,3855.7644,3809.127925
3807.87295,3836.663,3833.569525,3831.1555,3856.12835,3809.188175
3808.0202,3837.677875,3834.88765,3831.445825,3856.2254,3809.232375
3808.53925,3838.55125,3835.636775,3831.5631,3856.31415,3809.345125
3808.585775,3839.644425,3837.69105,3831.8798,3856.630875,3809.4056
3808.618875,3841.996475,3838.460975,3832.440525,3858.445775,3809.446675
3808.733225,3842.65725,3839.6477,3832.5987,3864.871125,3809.505375
3808.82175,3843.1192,3841.006175,3832.699275,3865.851675,3809.78685
3809.1023,3843.385575,3842.018625,3833.10655,3866.2869,3809.869325
3809.1192,3844.57105,3844.442,3834.832375,3866.298475,3809.914075
3809.1723,3845.23935,3846.518525,3834.8903,3867.1245,3809.963425
3809.467725,3845.77985,3846.556225,3835.3203,3868.39445,3810.1656
3809.48185,3846.76155,3846.76285,3835.6037,3870.10435,3810.1925
3809.576275,3847.89145,3847.822525,3835.816925,3870.819475,3810.505575
3810.53335,3848.0026,3847.877975,3835.9396,3871.23695,3810.5312
3810.7098,3848.175675,3848.13335,3836.045825,3873.255725,3810.59585
3811.1969,3848.4978,3848.2835,3836.626175,3874.134175,3810.6624
3811.304225,3848.499425,3848.861875,3836.867525,3875.08125,3810.73235
3811.80375,3848.76125,3849.13005,3837.232025,3876.5953,3810.734375
3811.983725,3848.8546,3849.489825,3837.502625,3877.704275,3810.762275
3812.5622,3849.185725,3849.74675,3837.676375,3877.7453,3810.83655
3812.713525,3851.450175,3849.858775,3837.9452,3878.548975,3811.2038
3813.060775,3852.081125,3850.47265,3838.46175,3880.27355,3811.27685
3813.08885,3852.2656,3851.328375,3838.61695,3880.32345,3811.641825
3813.3627,3852.7095,3852.020925,3838.7607,3881.912675,3811.699775
3813.781,3853.537775,3852.184675,3838.938575,3882.9353,3812.2109
3813.928825,3854.5802,3854.30855,3839.146225,3885.111975,3812.5782
3814.06145,3856.45845,3854.559725,3840.249225,3885.437525,3812.877875
3814.114575,3857.142075,3855.3108,3840.777975,3886.6817,3813.048125
3814.1988,3857.5349,3855.43895,3841.320825,3888.297375,3813.11415
3814.49165,3857.928975,3856.3133,3842.887075,3889.89895,3813.342325
3814.56085,3858.721425,3856.437175,3843.879025,3892.663575,3813.582825
3814.9146,3860.866,3857.6831,3844.598625,3893.394725,3813.67085
3815.1533,3864.718525,3858.046225,3845.84235,3893.417175,3813.7508
3815.2051,3865.51475,3859.042475,3845.874475,3894.095075,3813.8927
3815.539875,3865.84895,3859.953625,3846.559525,3894.30485,3813.92115
3815.69035,3868.776475,3860.221675,3846.8831,3894.83995,3814.108125
3815.880575,3869.751375,3860.61355,3847.541025,3894.930775,3814.189
3815.9448,3872.845475,3860.89035,3848.91665,3895.898925,3814.275575
3816.20265,3873.502375,3862.438075,3849.419025,3896.2239,3814.614025
3816.38275,3873.71675,3863.407825,3849.61725,3898.70025,3815.119675
3816.949175,3873.779575,3864.3346,3850.0778,3898.990825,3815.182325
3817.12805,3874.486875,3864.7439,3850.340425,3899.759275,3815.42305
3817.165375,3875.157225,3864.832275,3851.8022,3899.996475,3815.525325
3817.1746,3878.36395,3865.5871,3852.0628,3901.395275,3815.687325
3817.40755,3879.724125,3866.969625,3854.58565,3905.725575,3815.84395
3817.660675,3879.9953,3867.082425,3854.5968,3906.697425,3816.0113
3818.0267,3880.077125,3867.25315,3854.658375,3907.12755,3816.30765
3818.7639,3881.0473,3867.35665,3855.74715,3907.47825,3816.42005
3818.956525,3881.2682,3867.4978,3856.864425,3909.479125,3816.459475
