SPK_SPKC01a (exc),SPK_SPKC10a (exc),SPK_SPKC16a (exc)
183.92075,190.857675,183.272825
183.98445,190.8979,183.292975
184.033375,190.90965,183.3663
184.057275,191.0051,183.38855
184.109125,191.031875,183.415025
184.151925,191.059575,183.451
184.2089,191.087975,183.45815
184.25215,191.11,183.49485
184.304525,191.1261,183.52405
184.340925,191.1551,183.57875
184.405875,191.173575,183.596275
184.454325,191.20395,183.6408
184.504425,191.21645,183.68465
184.5564,191.236075,183.72115
184.592225,191.27185,183.7471
184.64735,191.3026,183.773525
184.685875,191.33005,183.82345
184.723275,191.3416,183.84885
184.7768,191.35385,183.878225
184.80485,191.40195,183.921525
184.849875,191.426,183.97075
184.88535,191.448925,183.98905
184.92865,191.4692,184.04725
184.97055,191.492025,184.075825
185.02035,191.51455,184.095975
185.065025,191.539875,184.1615
185.1149,191.553075,184.2361
185.1636,191.56885,184.273625
185.226575,191.581825,184.28775
185.294175,191.59605,184.33125
185.350075,191.61425,184.353925
185.38245,191.666875,184.378025
185.4222,191.685925,184.410375
185.47745,191.706275,184.426975
185.529575,191.73255,184.447825
185.581925,191.748975,184.463625
185.634275,191.79675,184.502725
185.68935,191.8249,184.58305
185.74775,191.84555,184.62705
185.794425,191.866425,184.65725
185.8308,191.88455,184.674225
185.879575,191.9048,184.7029
185.928425,191.9535,184.7503
185.98605,191.99035,184.7978
186.020925,192.0186,184.816225
186.058075,192.036575,184.844525
186.13625,192.05,184.864725
186.1763,192.084275,184.887325
186.20515,192.0987,184.903025
186.263275,192.14165,184.9279
186.3252,192.157025,184.9513
186.3858,192.180875,184.971175
186.4443,192.2731,185.0382
186.4937,192.3057,185.057475
186.562075,192.32795,185.065375
186.6153,192.377225,185.0992
186.66855,192.4,185.12675
186.7138,192.457675,185.1761
186.762,192.513675,185.203275
186.82785,192.533475,185.247125
186.9019,192.565775,185.2913
186.941525,192.5976,185.330225
187.006425,192.614775,185.45445
187.042475,192.648775,185.508275
187.095075,192.660025,185.544725
187.145625,192.682075,185.585025
187.186675,192.762325,185.6117
187.233075,192.7772,185.64325
187.2709,192.805,185.6856
187.316725,192.8369,185.710525
187.366775,192.84785,185.745525
187.42025,192.874525,185.76635
187.47625,192.89095,185.7993
187.518275,192.9402,185.821075
187.57205,192.979675,185.86555
187.6298,192.9998,185.9644
187.681025,193.0184,186.01075
187.75275,193.039,186.0387
187.79995,193.053825,186.0675
187.861375,193.09745,186.095525
187.9176,193.1434,186.113025
187.952375,193.162425,186.148075
187.99875,193.1773,186.20065
188.035875,193.19435,186.237875
188.0981,193.2104,186.265575
188.175925,193.234675,186.2898
188.233875,193.262725,186.32245
188.331975,193.2938,186.3573
188.397475,193.3111,186.4055
188.418425,193.340725,186.41675
188.525625,193.37005,186.4394
188.60705,193.41635,186.4555
188.651125,193.4458,186.523275
188.7024,193.46445,186.554875
188.75635,193.48175,186.592075
188.7852,193.5327,186.623725
188.81455,193.556375,186.666225
188.854975,193.6099,186.6946
188.897875,193.6405,186.751525
188.964675,193.65525,186.8108
189.012325,193.680725,186.832975
189.059975,193.7087,186.88325
189.110025,193.748275,186.914175
189.1479,193.777,186.96595
189.192625,193.8101,186.99175
189.226425,193.8322,187.0215
189.248275,193.86695,187.082
189.286925,193.88455,187.1136
